年份,人民法院审理婚姻家庭、继承一审案件结案中判决件数,人民法院审理婚姻家庭一审案件结案中判决件数,人民法院审理离婚一审案件结案中判决件数,人民法院审理赡养纠纷一审案件结案中判决件数,人民法院审理抚养、扶养关系纠纷一审案件结案中判决件数,人民法院审理抚育费纠纷一审案件结案中判决件数,人民法院审理其他婚姻家庭一审案件结案中判决件数,人民法院审理继承一审案件结案中判决件数,人民法院审理法定继承一审案件结案中判决件数,人民法院审理遗嘱继承一审案件结案中判决件数,人民法院审理其他继承一审案件结案中判决件数
2019,673926,643142,539727,9914,,,50858,30349,8558,2742,19049
2018,655674,628619,536690,9564,,,46314,26563,7886,2476,16201
2017,651196,626717,539023,9618,2031.0,28806.0,45243,23602,7455,2399,13748
2016,623132,600889,516408,9626,14434.0,13365.0,47056,22243,8615,2423,11205
2015,587431,566319,486744,9584,12438.0,11739.0,45814,21112,8571,2386,10155
2014,494784,476255,411494,7901,9481.0,9337.0,38042,18529,8498,2230,7801
2013,441084,410394,355797,6635,8439.0,7888.0,31635,30690,7193,1908,21589
2012,412250,372511,314468,5458,7629.0,6901.0,38055,39739,6808,1743,31188
2011,416136,381118,313119,5877,8271.0,6958.0,46893,35018,6989,1700,26329
2010,387185,373883,321316,6838,9584.0,6902.0,29243,13302,6861,1439,5002
2009,399461,387710,332779,8009,10731.0,7838.0,28353,11751,6260,1256,4235
2008,416077,404818,348337,8689,11712.0,8893.0,27187,11259,5945,1046,4268
2007,406179,396333,343039,8907,11571.0,8167.0,24649,9846,4717,720,4409
2006,398484,389836,336430,9949,10782.0,8296.0,24379,8648,4391,640,3617
2005,398241,390242,332730,11698,10501.0,9102.0,26211,7999,4179,601,3219
2004,426472,,,,,,,,,,
2003,476010,,,,,,,,,,
2002,485029,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
