年份,人民法院审理权属、侵权纠纷及其他民事一审案件结案中判决件数,人民法院审理所有权及其相关权利一审案件结案中判决件数,人民法院审理特别程序一审案件结案中判决件数,人民法院审理人身权纠纷一审案件结案中判决件数,人民法院审理人身损害赔偿一审案件结案中判决件数,人民法院审理特殊侵权纠纷一审案件结案中判决件数,人民法院审理不当得利一审案件结案中判决件数,人民法院审理票据、证券、股票纠纷一审案件结案中判决件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中判决件数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,942862.0,151908.0,61294.0,549860.0,532083.0,75078.0,21397.0,19901.0,63424.0
2015,854514.0,134605.0,46969.0,474051.0,457530.0,117752.0,15900.0,5146.0,60091.0
2014,709596.0,99943.0,57527.0,378855.0,364430.0,105993.0,12018.0,13568.0,41692.0
2013,592560.0,84090.0,56588.0,320410.0,308301.0,77963.0,9570.0,9593.0,34346.0
2012,521302.0,81721.0,31535.0,301963.0,290325.0,54102.0,7738.0,8561.0,35682.0
2011,508823.0,100452.0,25667.0,316465.0,304472.0,26663.0,7488.0,8383.0,23705.0
2010,491173.0,109793.0,20541.0,310000.0,298696.0,15893.0,7339.0,1283.0,26324.0
2009,456423.0,110989.0,19512.0,275873.0,264665.0,15008.0,7686.0,1731.0,25624.0
2008,448430.0,122863.0,24354.0,252105.0,244755.0,12156.0,5985.0,2362.0,28605.0
2007,417614.0,34110.0,26796.0,228062.0,223969.0,9667.0,4688.0,145.0,114146.0
2006,419104.0,,,,,,,,
2005,403578.0,,,,,,,,
2004,380663.0,,,,,,,,
2003,383443.0,,,,,,,,
2002,405094.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
