年份,人民法院审理权属、侵权纠纷及其他民事一审案件结案数,人民法院审理所有权及其相关权利一审案件结案数,人民法院审理特别程序一审案件结案数,人民法院审理人身权纠纷一审案件结案数,人民法院审理人身损害赔偿一审案件结案数,人民法院审理特殊侵权纠纷一审案件结案数,人民法院审理不当得利一审案件结案数,人民法院审理票据、证券、股票纠纷一审案件结案数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,2324903.0,353455.0,387749.0,1159543.0,1120488.0,158576.0,48033.0,40143.0,177404.0
2015,2225229.0,314047.0,394721.0,1080452.0,1044407.0,220569.0,36769.0,9157.0,169514.0
2014,2015667.0,255454.0,376192.0,978342.0,944708.0,212154.0,29116.0,31305.0,133104.0
2013,1941679.0,251233.0,389546.0,953359.0,921164.0,176927.0,25498.0,22404.0,122712.0
2012,1838707.0,272606.0,221762.0,1005177.0,966590.0,139948.0,23699.0,26828.0,148687.0
2011,1661823.0,314260.0,168950.0,939627.0,903394.0,77639.0,22248.0,25343.0,113756.0
2010,1444615.0,334986.0,124560.0,808994.0,779340.0,45411.0,21124.0,2924.0,106616.0
2009,1262051.0,306701.0,135304.0,663058.0,635114.0,38693.0,20328.0,3979.0,93988.0
2008,1154946.0,305099.0,148092.0,580194.0,562899.0,30964.0,13754.0,4496.0,72347.0
2007,1026223.0,79004.0,151462.0,497171.0,488264.0,23313.0,10356.0,303.0,264614.0
2006,986082.0,,,,,,,,
2005,972075.0,,,,,,,,
2004,907508.0,,,,,,,,
2003,880408.0,,,,,,,,
2002,864677.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
