年份,人民法院审理行政一审案件结案中其他案件数,人民法院审理土地等资源一审案件结案中其他案件数,人民法院审理公安一审案件结案中其他案件数,人民法院审理城建一审案件结案中其他案件数,人民法院审理交通运输一审案件结案中其他案件数,人民法院审理工商一审案件结案中其他案件数,人民法院审理环保一审案件结案中其他案件数,人民法院审理计划生育一审案件结案中其他案件数,人民法院审理税务一审案件结案中其他案件数,人民法院审理卫生一审案件结案中其他案件数,人民法院审理乡政府一审案件结案中其他案件数,人民法院审理劳动和社会保障一审案件结案中其他案件数,人民法院审理其他行政一审案件结案中其他案件数
2019,10205,1410,489,2713,220,151,102,6,21,34,637,491,3931
2018,8493,1242,491,1464,21,128,35,13,23,10,263,370,4433
2017,16842,1397,693,1232,29,510,26,6,17,14,237,2318,10088
2016,106633,11317,12663,15682,1448,1468,602,858,278,424,3037,8101,50755
2015,94921,10491,12200,13869,1067,1350,427,1168,287,339,2380,7582,43761
2014,53749,7733,5334,9954,534,1283,269,1121,144,210,925,4646,21596
2013,41148,6524,2826,6975,557,1037,310,1730,109,347,607,3326,16800
2012,36703,5962,2144,8325,470,1361,359,3153,129,376,376,2898,11150
2011,41504,7449,2209,8232,414,858,924,2991,119,836,538,2579,14355
2010,39218,5532,2523,6834,350,762,480,2638,84,1048,673,1895,16399
2009,38554,4752,2005,6740,738,828,333,2199,83,824,482,2050,17520
2008,31688,4430,2018,8924,1129,614,329,1788,59,325,474,1646,9952
2007,26797,3694,1714,5151,501,580,1566,1053,73,243,677,1390,10155
2006,24823,5890,1949,5463,798,655,216,1108,80,324,746,1600,5994
2005,16519,2908,871,2563,530,295,766,2283,46,180,864,863,4350
2004,24702,4597,2065,4798,1246,605,306,686,416,698,1233,1657,6395
2003,23123,4762,1883,4826,515,561,173,532,312,226,3292,1096,4945
2002,18386,2471,1914,3674,426,659,255,544,453,194,1217,1175,5404
2001,21736,,,,,,,,,,,,
2000,14078,,,,,,,,,,,,
