年份,人民法院审理行政一审案件结案中撤销件数,人民法院审理土地等资源一审案件结案中撤销件数,人民法院审理公安一审案件结案中撤销件数,人民法院审理城建一审案件结案中撤销件数,人民法院审理交通运输一审案件结案中撤销件数,人民法院审理工商一审案件结案中撤销件数,人民法院审理环保一审案件结案中撤销件数,人民法院审理计划生育一审案件结案中撤销件数,人民法院审理税务一审案件结案中撤销件数,人民法院审理卫生一审案件结案中撤销件数,人民法院审理乡政府一审案件结案中撤销件数,人民法院审理劳动和社会保障一审案件结案中撤销件数,人民法院审理其他行政一审案件结案中撤销件数
2019,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
2016,15505.0,2607.0,922.0,2089.0,152.0,476.0,38.0,38.0,27.0,39.0,366.0,1395.0,7356.0
2015,14581.0,2314.0,775.0,2268.0,120.0,406.0,82.0,36.0,26.0,40.0,339.0,1443.0,6732.0
2014,10452.0,2176.0,568.0,1780.0,73.0,266.0,18.0,27.0,34.0,26.0,263.0,1167.0,4054.0
2013,7258.0,1612.0,370.0,1355.0,62.0,181.0,11.0,28.0,15.0,20.0,183.0,925.0,2496.0
2012,6980.0,1744.0,424.0,1264.0,30.0,143.0,9.0,23.0,17.0,19.0,133.0,854.0,2320.0
2011,6944.0,2037.0,428.0,1559.0,49.0,168.0,14.0,24.0,9.0,24.0,163.0,698.0,1771.0
2010,7340.0,1996.0,488.0,1931.0,108.0,154.0,35.0,66.0,14.0,34.0,260.0,630.0,1624.0
2009,8241.0,2301.0,615.0,2328.0,133.0,177.0,8.0,40.0,13.0,25.0,255.0,752.0,1594.0
2008,8564.0,2545.0,564.0,2275.0,110.0,213.0,78.0,33.0,17.0,40.0,393.0,699.0,1597.0
2007,8600.0,2563.0,645.0,2143.0,107.0,209.0,28.0,70.0,12.0,25.0,462.0,771.0,1565.0
2006,9595.0,2930.0,842.0,2272.0,131.0,303.0,22.0,44.0,27.0,40.0,469.0,846.0,1669.0
2005,11764.0,3866.0,969.0,2701.0,241.0,322.0,28.0,50.0,26.0,70.0,88.0,945.0,2458.0
2004,11636.0,3340.0,1326.0,2796.0,287.0,298.0,44.0,137.0,70.0,99.0,564.0,667.0,2008.0
2003,10337.0,2467.0,1342.0,2559.0,184.0,276.0,29.0,80.0,60.0,64.0,467.0,628.0,2181.0
2002,11042.0,2654.0,1593.0,2386.0,187.0,296.0,31.0,86.0,73.0,58.0,763.0,423.0,2492.0
2001,12943.0,,,,,,,,,,,,
2000,13635.0,,,,,,,,,,,,
