年份,劳动争议案件上期未结案数,当期劳动争议案件受理数,当期受理集体劳动争议案件数,当期受理劳动者申诉案件数,劳动报酬争议案件受理数,社会保险争议案件受理数,变更劳动合同争议案件受理数,解除、终止劳动合同争议案件受理数,其他劳动争议案件受理数,受理劳动争议案件劳动者当事人数,受理集体劳动争议案件劳动者当事人数,劳动争议案件结案数,仲裁调解劳动争议案件处理数,仲裁裁决劳动争议案件处理数,其他处理方式劳动争议案件处理数,用人单位胜诉的劳动争议案件处理数,劳动者胜诉的劳动争议案件处理数,双方部分胜诉的劳动争议案件处理数,案外调解劳动争议案件数
2019,48687,1069638,9235,1021334,446572,149966,,259550,,1274124,220174,1068413,552584,430309,85520,112747,314097,641569,242479
2018,35506,894053,8699,869421,380751,144533,,195063,,1110175,234943,884223,458353,357666,68204,93823,276642,513758,214288
2017,38545,785323,7513,762572,331463,135211,,169456,,979016,203963,790448,390278,336073,64097,89928,259898,440622,208491
2016,37977,828410,9745,801190,345685,145671,,188642,,1112408,289924,827717,389109,366742,71866,92405,285824,369429,240101
2015,39580,813859,10466,784229,321179,158002,,182396,,1159687,341588,812461,362814,368409,81238,90785,287544,434132,258114
2014,31796,715163,8041,690418,258716,160961,,155870,,997807,267165,711044,321598,313175,76271,82541,250284,378219,227447
2013,34478,665760,6783,641932,223351,165665,,147977,,888430,218521,669062,311806,283341,73915,82519,217551,368992,215595
2012,36151,641202,7252,620849,225981,159649,,129108,,882487,231894,643292,302552,268530,72210,79187,213453,350652,212937
2011,42308,589244,6592,568768,200550,149944,,118684,,779490,174785,592823,278873,244942,69008,74189,195680,322954,194338
2010,77926,600865,9314,558853,209968,,,31915,,815121,211755,634041,250131,266506,117404,85028,229448,319565,163997
2009,83709,684379,13779,627530,247330,,,43876,,1016922,299601,689714,251463,290971,147280,95470,255119,339125,185598
2008,33084,693465,21880,650077,225061,,,139702,,1214328,502713,622719,221284,274543,126892,80462,276793,265464,237283
2007,25424,350182,12784,325590,108953,97731,4695.0,80261,,653472,271777,340030,119436,149013,71581,49211,156955,133864,151902
2006,22165,317162,13977,301233,,,3456.0,67868,,679312,348714,310780,104435,141465,64880,39251,146028,125501,
2005,17829,313773,16217,293710,,,7567.0,68873,28257.0,744195,409819,306027,104308,131745,69974,39401,145352,121274,
2004,17117,260471,19241,249335,,,4465.0,57021,17776.0,764981,477992,258678,83400,110708,64550,35679,123268,94041,
2003,16276,226391,10823,215512,,,5494.0,52060,13131.0,801042,514573,223503,67765,95774,59954,34272,109556,79475,
2002,12472,184116,11024,172253,59144,32622,3765.0,43848,,608396,374956,178744,50925,77340,50479,27017,84432,67295,77342
2001,8739,154621,9847,146781,45172,31158,4254.0,39336,,467150,286680,150279,42933,72250,35096,31544,71739,46996,
2000,6374,135206,8247,120043,41671,31350,3829.0,31965,,422617,259445,130688,41877,54142,34669,13699,70544,37247,
