年份,城乡居民社会养老保险参保人数,城乡居民社会养老保险实际领取待遇人数,城乡居民社会养老保险基金收入,城乡居民社会养老保险基金支出,城乡居民社会养老保险累计结余
2019,53265.9855,16031.8675,4107.0295,3114.2912,8249.2438
2018,52391.6608,15898.1418,3837.698,2905.5014,7250.3158
2017,51254.9776,15597.884,3304.2314,2372.2167,6317.5857
2016,50847.1015,15270.3443,2933.2896,2150.4778,5385.2047
2015,50472.1871,14800.3223,2854.6197,2116.7041,4592.3139
2014,50107.4792,14312.7366,2310.2167,1571.1548,3844.566
2013,49750.0686,14122.2998,2052.2665741722,1348.2787997415,3005.6626315354997
2012,48369.5352,13382.1759,1829.2445008957502,1149.7356289352201,2302.17522974432
2011,,,,,
2010,,,,,
2009,,,,,
2008,,,,,
2007,,,,,
2006,,,,,
2005,,,,,
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
