年份,参加失业保险人数,年末领取失业保险金人数,失业保险基金收入,失业保险基金支出,失业保险累计结余
2019,20542.6638,228.3022,1284.2333,1333.1621,4625.3715
2018,19643.454,223.091,1171.128,915.307,5816.994
2017,18784.1767,220.2,1112.62775836,893.7564897251,5552.3720849191
2016,18088.836,230.372,1228.911084048,976.117299993,5333.3322482221
2015,17325.987,226.753,1367.7914800752,736.394295464,5082.9691572599
2014,17042.574,207.156,1379.7918988399,614.74194347,4451.4826597179
2013,16416.833,197.049,1288.9007453167,531.6451588441,3685.8605047941
2012,15224.714,204.026,1138.9204666247,450.5755310939,2929.0352921912
2011,14317.0725,196.9765,923.07,432.77,2240.21
2010,13375.595,209.1019,649.7770272099999,423.25711756999993,1749.79740058
2009,12715.4688,235.2668,580.3817803239,366.7863449101,1523.612465071
2008,12399.8484,261.2236,585.1224649309,253.4633501779,1310.1389234573
2007,11644.6,286.0834,471.7,217.7,979.1
2006,11186.6,326.5464,402.4,198.0092943121,724.8368109858
2005,10647.6656,362.3416,340.3,206.9,519.0
2004,10583.9,418.6378,290.8,211.3,385.8
2003,10372.9,414.9224,249.5,199.8,303.5
2002,10181.6,439.8318,215.6,186.6,253.8418
2001,10354.6,312.4789,187.324,156.5684,226.2089
2000,10408.4,190.0,160.4436,123.4324,195.9333
