年份,火灾平均每起事故损失,特大火灾平均每起事故损失,重大火灾平均每起事故损失,较大火灾平均每起事故损失,一般火灾平均每起事故损失
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,14308.7,,13494227.5,3301046.0,12834.8
2011,16405.0,,16514571.0,1971913.0,14235.0
2010,14789.0,,28461500.0,1529000.0,13049.0
2009,12551.0,150722000.0,763750.0,139814.0,11305.0
2008,13315.4910658823,150135600.0,23398519.0,1399478.0,9655.0
2007,6880.0,301338.0,1891690.0,720067.454545454,6498.77596270328
2006,3522.5,4770764.3,449908.9,,2730.9
2005,5776.35934407331,2360606.06060606,434640.0,,4991.64042807798
2004,,,,,
2003,6265.00795488556,3223945.94594595,435636.06557377,,5279.11589573721
2002,5979.0,4875200.0,405814.0,,4974.0
2001,6473.0,2368086.0,387557.0,,5515.36812338857
2000,8046.0,3280967.0,433982.0,,6122.0
