年份,粮食产量,夏收粮食产量,秋粮产量,谷物产量,稻谷产量,早稻产量,中稻和一季晚稻产量,双季晚稻产量,小麦产量,冬小麦产量,春小麦产量,玉米产量,谷子产量,高粱产量,其他谷物产量,大麦产量,豆类产量,绿豆产量,红小豆产量,大豆产量,薯类产量,马铃薯产量,棉花产量,油料产量,花生产量,油菜籽产量,芝麻产量,葵花籽产量,胡麻籽产量,糖料产量,麻类产量,黄红麻产量,亚麻产量,大麻产量,苎麻产量,甘蔗产量,甜菜产量,烟叶产量,烤烟产量,蔬菜产量
2019,66384.3441403756,14160,49597,61369.7257534646,20961.3951183523,2627,,,13359.6257298044,,,26077.8888004048,,,,,2131.89707670028,,,,2882.72131021075,,588.903106010674,3492.9803418,1751.9595998,1348.47166,46.704169,,,12169.061428,23.389254,2.91997966666667,,,,10938.806551,1227.292077,215.338939,202.11065,72102.564040362
2018,65789.2159810127,13881.0233112007,49049.176249312,61003.5768479251,21212.9018801228,2859.0164205,15212.3681933728,3141.51723625,13144.0489697402,12500.5237879878,643.525090222424,25717.3922975084,234.176112864414,290.943767464456,404.113820224758,95.6458267397542,1920.26548264825,68.1095113166494,27.7925093916342,1596.70985841711,2865.37365043937,1798.37011530147,610.277183,3433.3891798,1733.203841,1328.116203,43.149623,249.424153,33.518898,11937.4101637959,20.305964,2.864353,1.29548,10.622846,5.386606,10809.7096587959,1127.662605,224.101156,210.96697780786,70346.7196931732
2017,66160.7300643688,14174.4595793031,48999.1021379627,61520.5436747292,21267.5933339008,2987.16034710302,14957.2803898089,3323.1525969889,13424.1267522055,12794.0860990364,630.040653169028,25907.0749558523,254.785009939794,246.485119280065,420.47450355071,108.523646252005,1841.56097120846,65.0620013109453,36.0045477136506,1528.24905884903,2798.6214184312,1769.63367561383,565.25248,3475.23847293233,1709.19125457797,1327.41305124365,36.6465077623431,314.94343119991,30.0990151046247,11378.8402627159,21.794981697313,2.91311563194774,1.07606668011,12.4657358224159,5.0829683026675,10440.4300971929,938.406803742061,239.142242633078,227.874474272905,69192.6811227701
2016,66043.509993724,14050.1566059684,48890.7833316927,61666.5299207683,21109.4214913824,3102.57205606287,14638.8615706924,3367.98786462715,13318.8328440148,12660.8436539588,657.991190055981,26361.3114575919,233.024303785629,223.446411393482,420.492412600144,119.236939381262,1650.66411783913,56.4870955364608,27.5365982355734,1359.54915802112,2726.31695511655,1698.56568271726,534.284340478691,3400.04904829223,1636.06388440407,1312.80358296169,35.2048628440523,320.098928385141,32.5029710047433,11176.029327754,18.1288256003158,3.38590271083903,1.2338805756259,7.15864811494563,5.2178614819328,10321.53806068,854.493807638658,257.389332401045,244.500243675178,67434.1603073827
2015,66060.2740334452,14074.939512666,48778.0878097115,61818.4090698804,21214.1913196627,3207.24671106769,14475.7287048667,3531.2159037283,13255.5159933865,12624.8025004815,630.713492904955,26499.22026155,211.948948458141,220.2498126413,417.282734181802,141.143216821809,1512.51551392937,52.3784111504374,17.5678534167031,1236.74032319257,2729.34944963548,1645.3298011754,590.739218311676,3390.46668527742,1596.13378608599,1385.92141857291,45.0341237432691,287.20175135731,31.188663071609,11215.2181211117,15.5635360922647,4.77918363995226,1.09651437513296,2.60045943337976,5.82712271856828,10706.4302454664,508.787875645231,267.727792143156,249.517968862631,66425.0998277871
2014,63964.8270421056,13587.5242617207,47134.2510443214,59601.5412939888,20960.9125900962,3243.05173606352,14142.3366747985,3575.52417923413,12823.5206264415,12230.9850395543,592.535586887192,24976.4436661095,197.242818156385,249.984980785871,393.436612399347,146.135607160112,1564.52115017594,49.8058422158629,19.026039135625,1268.57040125875,2798.76459794096,1683.11005858782,629.943749210958,3371.9240291848,1590.07609134415,1391.43323987026,43.6611722834228,258.211780534119,32.263299341832,12088.7300591468,16.5112457746645,5.05950263731027,1.01699170807399,3.13592082614602,6.2955307874378,11578.8246831052,509.905376041591,284.672136777102,269.68181889497,64948.6464233544
2013,63048.2042317796,13112.3277432761,46660.0670500878,58650.3545127503,20628.5633315813,3275.80943841578,13879.0869408951,3473.6669522704,12363.9313713719,11763.6775622042,600.253809167634,24845.3171591383,177.639427282452,242.953043362291,391.950180014079,153.522046612274,1542.40438137938,55.0352955474954,18.5096627074447,1240.70575332779,2855.44533764995,1717.59033397939,628.156967815427,3348.0,1610.88993571477,1363.62746512951,43.8971785273261,244.826734818988,33.0030546243167,12555.0063484901,17.5571212277134,5.73459316879055,2.08958582588017,1.80316258711304,6.76654305855639,11926.3505409595,628.655807530616,321.953940695228,304.018719602616,63197.97988429
2012,61222.6247386721,12939.9843283896,45052.7465748419,56659.0270677163,20653.2322224406,3229.89383544058,13828.2262897053,3595.11209729468,12247.4923023571,11629.1006329806,618.391669376532,22955.8987371571,177.468681736688,198.963477750445,425.97164627437,168.455416007117,1680.64111041411,66.5710656326015,19.2968781690213,1343.59120305784,2882.95656054175,1687.16781569365,660.802050549466,3285.61530711415,1579.22738088727,1340.14930175441,46.5845735090007,226.716111446204,33.1124829595904,12451.8129529292,19.6233919646173,6.34793063706214,3.38677696206439,1.39830612437073,7.6744961134519,11574.6104863618,877.202466567401,324.599645617451,302.311722259347,61624.4645526209
2011,58849.3292002356,12529.4705027108,43130.0953017943,54061.7254395065,20288.2531144169,3189.76339573056,13612.6189375447,3485.87078114167,11856.9542373654,11230.4535425647,626.500694800667,21131.596359805,173.73367205076,189.160223334409,422.027832534142,190.372928721049,1863.30142682255,75.3213188905616,24.8097872614495,1487.8473575166,2924.30233390654,1631.45597341055,651.885460612652,3212.507639635,1530.24225558809,1313.73287982316,45.7556122230568,240.199590111563,30.803623907017,11663.1080842335,22.3393352279981,7.02040459935706,3.10222634758874,1.33848978689463,9.7052718133635,10867.3509133094,795.757170924126,299.78394688892,278.578240689234,59766.6291267436
2010,55911.3080650364,12203.6143032963,40617.5921571801,51196.747973671,19722.5706953987,3090.10160455998,13069.6635308797,3562.80555995899,11609.3355496892,10975.7598697079,633.575679981311,19075.1806983557,161.878460252843,193.305041867104,434.477528107482,195.166945617634,1871.8426974343,74.668124585778,21.9696045338879,1540.98787962676,2842.71739393106,1530.62808947975,577.039022192809,3156.77393902009,1513.56232864938,1278.80852140327,46.1982316139035,235.534262078279,31.4350789243299,11303.3553557237,24.231039896151,6.48065865591304,3.77748266730383,1.00032742883513,12.2130074729102,10598.2329793803,705.122376343347,283.195654666341,261.186260794261,57264.8559777222
2009,53940.8601618107,12175.1778533912,38472.4247408517,49243.3493953827,19619.6741363859,3293.25756756775,12774.483438572,3551.93313024611,11579.6114000779,10843.2670314513,736.344368626552,17325.8566874633,125.546774984574,150.342295433544,442.318101037461,221.032177498047,1904.59227498279,71.5533121061939,22.9846243206427,1522.41519643586,2792.91849144519,1396.68539981147,623.583751256913,3139.41673503558,1460.41512374149,1353.59251087444,53.5273166095904,198.55989259553,29.4804514268247,11746.8976721998,31.910136330325,7.13136060725113,8.36777938196819,1.15252698424528,14.6480894489097,11200.3674291724,546.530243027489,296.195330735424,275.047278684219,59139.476712695
2008,53434.288576036,11993.1083553003,38322.1522588955,48569.4442760753,19261.2191912884,3119.02796184021,12677.4913365421,3464.69989290608,11290.129726694,10707.8857750136,582.243951680454,17211.9508302903,124.727500975776,174.876699421729,506.540327405072,260.76690600588,2021.86172948455,83.6404950218031,28.0781734078137,1570.89578355985,2842.98257047616,1371.46986038836,723.234552388022,3036.76199164859,1463.53839166085,1240.31606097744,51.5458718727742,199.320521269728,34.5556594383592,13005.963647965,56.0920954419426,8.01554351717727,25.4651729102387,2.96792594417774,18.8424474544157,12152.0633775456,853.900270419397,275.943677765562,258.200386341352,58669.2076220877
2007,50413.8544932075,11633.7197897538,35638.3738977035,45962.9596798785,18638.1050934108,3141.7608057502,12056.154084121,3440.19020353953,10949.1548588897,10401.9249445653,547.229914324464,15512.2539876441,152.125771611317,174.906999615369,536.41296870718,278.038746046989,1709.13252929491,78.5369081307278,27.5907304448061,1279.33630305486,2741.76228403412,1275.46199634292,759.7127244753,2786.99128368527,1381.47659152642,1138.16496052697,52.0028110404528,146.023224942972,26.8938174517231,12082.3528975538,66.124616359939,9.64153175657273,26.1478594890534,4.69003115648961,24.0091898067171,11179.4428536786,902.910043875205,242.224418889116,224.94455521578,57537.8229569022
