年份,农村居民家庭经营耕地面积,农村居民家庭经营山地面积,农村居民家庭园地面积,农村居民家庭养殖水面面积
2019,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,2.339326526,0.484185071,0.101728418,0.035769943
2011,2.301,0.4879,0.1075,0.0375
2010,2.2792,0.3493,0.105,0.037
2009,2.256,0.341,0.1047,0.036
2008,2.18,0.33,0.1,0.04
2007,2.1587,0.3196,0.1,0.0424
2006,2.108919678,0.310230898,0.1,0.03
2005,2.084022162,0.31772263,0.08,0.03
2004,2.001314804,0.208878746,0.07,0.02
2003,1.9634,0.1864,0.0717,0.0232
2002,2.0,0.28,0.07,0.03
2001,1.994152382,0.276269724,0.062923562,0.033018081
2000,1.983478484,0.284329121,0.062474368,0.030547697
