年份,农村居民人均猪肉出售量,农村居民人均羊肉出售量,农村居民人均牛肉出售量,农村居民人均家禽出售量,农村居民人均蛋类出售量,农村居民人均牛羊奶出售量,农村居民人均蚕茧出售量,农村居民人均水产品出售量
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,,,,,,,,
2014,,,,,,,,
2013,,,,,,,,
2012,30.74215589,3.316233068,3.343480504,8.085488947,10.13455735,9.32235453,,9.709598479
2011,29.76,2.99,3.4,8.32,9.149,10.42,0.81,9.135
2010,33.1,2.76,2.56,10.5,12.87,11.27,0.78,11.13088259
2009,31.7,2.81,2.69,11.35,12.91,12.66,0.8,10.72
2008,25.36,2.61,2.83,10.82,12.84,15.05,0.98,10.26
2007,27.55,3.0,3.02,10.21,10.69,14.62,1.16,9.852029581
2006,34.44091013,3.12,3.07,8.856833677,10.96327922,13.26615226,1.053411162,8.93886314
2005,32.19312581,3.26,2.87,9.623445388,10.51869232,11.27061058,0.908131372,8.54
2004,26.61521651,2.94,2.49,6.874520799,6.385786617,7.673436698,0.792371386,7.283944234
2003,29.49,2.87,2.71,6.67,7.06,7.29,0.76,7.47
2002,32.2985011,2.5,2.73,6.014257617,6.537184831,4.873967778,0.765033336,8.04345804
2001,30.86,2.31,2.76,5.030096426,5.95790243,3.646430551,0.80422847,6.528597607
2000,30.19033624,2.06,2.4,4.59787463,6.31756837,2.670488458,0.644086217,5.820839245
