年份,人均粮食产量,人均棉花产量,人均油料产量,人均糖料产量,人均水果产量,人均园林水果产量,人均瓜果类产量,人均蔬菜产量
2019,474.949071451445,4.21332750961873,24.9906478917376,87.1,196,,,
2018,472.375952130081,4.38187719802115,24.6522239041307,85.7123072224763,184.446045913036,126.121165336393,58.324880576643,505.09947867263
2017,477.214084473536,4.07713876636889,25.0667268197904,82.0750238042973,182.068573751461,122.254928653212,59.8136450982492,499.083458341743
2016,479.039592603889,3.87537465938927,24.6618942839067,81.0641405109583,177.020823251275,117.526085078199,59.494738173076,489.126512295465
2015,481.762766247905,4.30812866142323,24.7259133127975,81.7900710397432,178.852549649308,118.149614183114,60.7029354661936,484.423358963457
2014,468.857535840454,4.61744192286687,24.7159581987789,88.6095132132703,170.806603155874,111.204976986947,59.6016261689272,476.068860440781
2013,464.484552828093,4.62771639345966,24.7,92.4944109128623,167.588318724119,108.113950496013,59.474368228106,465.587970091573
2012,453.267575127413,4.89231136969831,24.3253681039328,92.1881916563633,163.556575228968,105.106927695526,58.4496475334418,456.242634737087
2011,437.824683626105,4.8498691392399,23.9002748218922,86.7706850098837,156.373331380355,98.2184781598325,58.1548532205222,444.649171782071
2010,417.964409679536,4.31364928884028,23.5984311863983,84.4981169669221,150.222726482561,91.8375184672946,58.3852080152663,428.08284321074
2009,405.186516246343,4.68416200634672,23.5822959830204,88.2389440995737,143.425847018798,87.2413640284666,56.1844829903311,444.236863668216
2008,403.382681347491,5.45979558743992,22.9249275596181,98.183781044612,137.991377674368,82.2769203532758,54.4285222269909,442.901794218779
2007,382.536067207742,5.7646359468034,21.1474543202576,91.679872656217,133.997719990311,78.7202165095143,55.2775034807965,436.592137833743
2006,379.889147548774,5.74574453661535,20.1394206611344,79.7849748030249,130.447799591158,73.2196137219992,57.2283638385384,411.535503561522
2005,371.262160929641,4.38297993702636,23.602729405087,72.4995382444083,123.646909612493,67.7714658438929,55.8754437686006,433.003157426441
2004,362.224017900199,4.87896887140019,23.6553401616419,73.8433470285284,118.364153309029,64.7657998186833,53.5983534903458,424.857052431379
2003,334.286915243713,3.77189459795095,21.8177615647314,74.8342587705681,112.677829866501,58.6116244954983,54.0662053710028,419.375345389631
2002,356.964620431115,3.8395954076851,22.6273424867229,80.3864250624805,54.2953787878788,54.2955326460481,,
2001,355.888430239415,4.2,22.5,68.0514843810198,52.3489405197154,52.3492369383182,,
2000,366.037326406076,3.49848373850132,23.4,60.4709201715447,49.3024328294968,49.3020603574243,,
