年份,灌区有效灌溉面积,3.3万公顷以上灌区有效灌溉面积,2.0-3.3万公顷灌区有效灌溉面积,水库数,大型水库数,中型水库数,小型水库数,水库容量,大型水库容量,中型水库容量,小型水库容量,节水灌溉面积,除涝面积,水土流失治理面积,堤防长度,堤防保护面积
2019,33500.549,12608.528,5385.677,98112,744,3978,93390,8983.2080754,7149.776201,1126.673791,706.1904834,37059.312,24529.61,137324.527,32.024976,41903.21
2018,33324.085,12398.704,5400.184,98822,736,3954,94132,8952.8857024,7116.685161,1125.66916,709.9637814,36134.723,24261.74,131531.63,31.190724,41409.21
2017,33262.0,12457.0,5425.0,98795,732,3934,94129,9035.0,7210.0,1117.0,708.0,34319.0,23824.0,125839.0,30.6,40946.0
2016,33046.0,12394.0,5430.0,98461,721,3890,93850,8993.18,7192.0,1096.0,705.0,32847.0,23066.67,120412.29,29.9,41087.0
2015,32302.0,12024.0,5663.0,97988,707,3844,93437,8581.0,6812.0,1068.0,701.0,31060.44,22712.71,115578.0,29.1417,40844.0
2014,30216.0,6241.0,5010.0,97735,697,3799,93239,8395.63,6618.0,1077.0,701.0,29019.0,22369.35,111609.31,28.4,42794.0
2013,30216.0,6241.0,5010.0,97721,687,3774,93260,8298.05,6529.0,1070.0,699.0,27109.0,21943.09,106891.91,27.5,40317.0
2012,30087.0,6243.0,5017.0,89220,573,3379,85268,7210.97,5609.0,955.0,647.0,31217.0,21857.35,111862.8,27.7,42597.0
2011,29748.0,10999.0,4796.0,88605,567,3346,84692,7200.53,5602.0,954.0,645.0,29179.0,21721.64,109663.83,30.0,45956.0
2010,29415.0,10918.0,4740.0,87873,552,3269,84052,7162.0,5594.0,930.0,638.0,27314.0,21692.0,106800.0,29.4,46831.0
2009,29562.0,10828.0,4747.0,87151,544,3259,83348,7063.67,5506.0,921.0,636.0,25755.0,21584.34,104544.89,29.1,46547.0
2008,29440.0,11207.0,5517.0,86353,529,3181,82643,6924.01,5386.0,910.0,628.0,24436.0,21424.55,101587.03,28.7,45712.0
2007,28340.0,10520.0,4149.0,85412,493,3110,81809,6344.52,4836.0,883.0,625.0,23489.0,21419.14,99870.96,28.4,45518.0
2006,28021.0,10520.0,4092.0,85849,482,3000,82367,5842.0,4379.0,851.6,611.0,22426.0,21376.0,97491.0,28.1,45486.0
2005,26419.0,10230.0,4080.0,85108,470,2934,81704,5624.0,4197.0,826.0,602.0,21338.0,21339.0,94650.0,27.7,44120.0
2004,25506.0,9714.0,4057.0,85160,460,2869,81831,5542.0,4147.0,796.0,599.0,20346.0,21198.0,92004.5,27.7,43934.0
2003,25244.0,9381.0,4084.0,85153,453,2827,81873,5658.0,4278.0,783.0,597.0,19443.0,21139.0,89713.6,27.8,43875.0
2002,25030.0,9158.0,4072.0,85288,445,2781,82062,5595.0,4229.0,767.0,597.0,18627.0,21097.0,85410.0,27.4,42862.0
2001,24766.0,8617.0,4054.0,85136,433,2736,81967,5281.34,3927.0,758.0,595.0,17446.3,21021.1,81539.3,27.34,40671.0
2000,24493.0,7883.0,3440.0,83260,420,2704,80136,5184.0,3842.0,746.0,594.0,16389.0,20989.0,80960.0,27.0,39600.0
