年份,瓜果类面积,西瓜面积,甜瓜面积,草莓播种面积
2019,,,,
2018,2117.20049658869,1517.93123599813,376.123827553093,119.970279897937
2017,2112.87221134234,1519.71608403296,348.822593794254,107.768602616842
2016,2119.09849480408,1515.06220677283,345.932324021333,102.387147898667
2015,2194.31611137946,1630.89239075351,345.563342614974,108.269739460109
2014,2164.95443985308,1633.89583005904,335.186239126463,94.8163566201253
2013,2174.70981214204,1641.58658543356,336.231748458023,91.2690261781828
2012,2156.81106514741,1631.33865977203,333.913848067825,82.5971236652374
2011,2200.94092964056,1669.79455910464,346.296389072781,78.12119744022
2010,2227.25052363124,1697.2378172611,354.540919979976,70.5035492808415
2009,2148.07414872768,1634.44322493972,339.665510666759,73.5137569619254
2008,2142.02693490823,1639.58342781829,335.659679875687,76.5983870228886
2007,2159.54407102803,1660.61713229772,336.322718087078,75.1048379283579
2006,2245.94626666667,1752.61053333333,346.421466666667,79.2505333333333
2005,2207.73953333333,1707.47826666667,338.939666666667,84.1957333333334
2004,2146.76126666667,1660.045,319.416,82.872
2003,2353.96666666667,1836.26866666667,355.377333333333,76.8616666666667
2002,2354.88206666667,1846.8296,366.843266666667,66.367
2001,2267.7,1822.33893333333,329.907,
2000,2043.713,1625.352,309.183,
