年份,肉类产量,猪肉产量,牛肉产量,羊肉产量,牛奶产量,绵羊毛产量,细羊毛产量,半细羊毛产量,山羊粗毛产量,羊绒产量,禽蛋产量,蜂蜜产量
2019,7758.77749858916,4255.30707685057,667.279865721546,487.523293021881,3201.23941120406,341120.156777666,108972.8497,113283.801727666,24875.2555555823,14964.4254,3308.97708426643,44.405378932
2018,8624.62853644696,5403.73573640278,644.060378787574,475.071601924504,3074.56411017305,356607.551166092,117891.25432,120429.887846091,26964.9580353221,15437.7564,3128.28369723028,44.68785576
2017,8654.43127829933,5451.79688182664,634.623418248429,471.06829488098,3038.62094773913,410523.0,127920.729437913,133458.484224428,32862.6882189926,17852.2700817565,3096.28907128633,54.2543574254644
2016,8628.32802037058,5425.4937602194,616.905049656225,460.251005246075,3064.0289593241,411642.392761842,129164.201292881,137972.73594201,35785.2747775913,18844.2120458637,3160.53866018428,55.5283630023967
2015,8749.52172596961,5645.40900084916,616.885977336881,439.932290099292,3179.82902218281,413133.769492537,130536.607404537,134905.289572523,35486.8268822959,18683.5586607823,3046.12716279548,47.3156902449044
2014,8817.90241321886,5820.80230196479,615.7223880434,427.633151924179,3159.88289434372,407230.120988591,122250.822995913,132692.753575739,38655.3530415386,18465.1207906125,2930.30835585397,46.2988774664961
2013,8632.77050098473,5618.59907434657,613.087333252468,409.900057943022,3000.81719084631,402080.833263269,131729.883021481,128335.400722186,40214.9388792406,17307.246799319,2905.5469234507,43.6552181275413
2012,8471.10274598813,5443.54849411842,614.746379536571,404.498932738092,3174.92851913183,393724.550044712,124716.030064921,127312.945597673,40505.2974688505,17210.8230620942,2885.39431556969,43.8392596041494
2011,8022.98124057137,5131.64741333831,610.707092402328,397.964049814007,3109.93231317036,386486.777288807,132876.701110665,113305.310707468,38070.331425062,17125.8758564164,2830.36453288197,41.1784655119752
2010,7993.60578356198,5138.43665500557,629.068649287176,406.017852832043,3038.93104200998,385125.381349552,123504.234325086,113997.929631644,36225.9378467637,17847.8902173632,2776.87881200106,38.1894620339735
2009,7706.66861205567,4932.84619714198,626.177738259498,399.431461248675,2995.1334434685,358121.077214775,124364.780582659,109013.276366254,35909.6340303368,16593.2132370109,2751.87720161098,39.6658114393996
2008,7370.87798972401,4682.01650231823,617.67985409837,393.242621935872,3010.56501151375,369664.590887312,119278.937443109,105272.417604146,35477.2235371107,16533.6196283952,2699.61922007031,38.4716751009825
2007,6916.39665643208,4307.85191182854,626.219165772246,385.679737575345,2947.09457975658,371074.88086483,124262.211626959,108634.996203649,35333.170371515,15664.7321706647,2546.70484708632,37.9731673551195
2006,7099.85466210042,4650.34303122271,590.332021025997,367.727145861091,2944.6151108,387642.9,130959.31,116042.98,35171.14,16222.91,2424.00279573337,33.370059
2005,6938.865,4555.3275,568.0988,350.0601,2753.3729,393171.592,127862.211,123067.814,36903.881,15434.832,2438.1201,29.3211329
2004,6608.7,4341.0,560.4,332.9,2260.6,373901.69,130413.18,119513.71,37727.14,14514.7,2370.6,29.32
2003,6443.3,4238.6,542.5,308.7,1746.3,338058.23,120263.0,110249.23,36691.65,13528.0,2333.1,28.9
2002,6234.3,4123.1,521.9,283.5,1299.8,307588.0,112193.0,102418.68,35459.05,11765.0,2265.7,26.5
2001,6105.8,4051.7,508.6,271.8,1025.5,298254.0,114651.0,88075.0,34241.0,10968.0,2210.1,25.2
2000,6013.9015,3965.988,513.1166,264.1301,827.4307,292502.0,117386.0,84921.0,33266.0,11057.0,2182.0057,24.6
