年份,实有茶园面积,本年采摘茶园面积
2019,3104.8,2469.8
2018,2985.79587533333,2310.75823133333
2017,2848.71506684008,2191.07267518504
2016,2722.7744744381,2071.41087207262
2015,2640.83923357685,2007.96842427202
2014,2525.96853320865,1895.45743339182
2013,2367.04831900062,1775.8114969157
2012,2201.34505135539,1673.2816104901
2011,2055.50924378794,1577.9591874872
2010,1931.8335476406,1404.55285748984
2009,1830.29361645895,1329.46610882457
2008,1716.08841449064,1281.1037246241
2007,1598.60923328722,1212.6287356414
2006,1431.27293333333,1100.16334666667
2005,1351.93946666667,1041.18617333333
2004,1262.31,971.78
2003,1207.246,925.102
2002,1134.2362,894.562682018097
2001,1140.67313333333,887.7152
2000,1088.95303333333,879.616033333333
