年份,各类医疗卫生机构实际开放总床日数,医院实际开放总床日数,综合医院实际开放总床日数,中医医院实际开放总床日数,中西医结合医院实际开放总床日数,民族医院实际开放总床日数,专科医院实际开放总床日数,护理院实际开放总床日数,基层医疗卫生机构实际开放总床日数,社区卫生服务中心(站)实际开放总床日数,卫生院实际开放总床日数,街道卫生院实际开放总床日数,乡镇卫生院实际开放总床日数,门诊部实际开放总床日数,专业公共卫生机构实际开放总床日数,专科疾病防治院(所、站)实际开放总床日数,妇幼保健院(所、站)实际开放总床日数,其他医疗卫生机构实际开放总床日数,疗养院实际开放总床日数,临床检验中心实际开放总床日数
2019,3041900968.0,2383122157.0,1587956944.0,326610566.0,40268189.0,14106305.0,388807492.0,25372661.0,552453787.0,74853143.0,477562077.0,4241100,473320977.0,,98555321.0,13760877.0,84794444.0,7769703,7769703,
2018,2907361548.0,2264527244.0,1534689133.0,305397931.0,37451363.0,13117870.0,354113867.0,19757080.0,539264458.0,73874398.0,465365480.0,4019667,461345813.0,,95074393.0,13916566.0,81157827.0,8495453,8495453,
2017,2744899692.0,2126064128.0,1458630330.0,286312239.0,34039874.0,11304806.0,320234861.0,15542018.0,519033984.0,69859797.0,449133600.0,3995494,445138106.0,,90443702.0,13638748.0,76804954.0,9357878,9357878,
2016,2579030278.0,1986184210.0,1380484814.0,267556110.0,30480546.0,8746252.0,287269233.0,11647255.0,497325644.0,66221637.0,431056461.0,3002169,428054292.0,,85491157.0,13753170.0,71737987.0,10029267.0,,
2015,2436600510.0,1859097179.0,1304751402.0,251315143.0,27031125.0,8257644.0,258974127.0,8767738.0,485323468.0,65025656.0,420251114.0,2910065,417341049.0,,81651181.0,13632341.0,68018840.0,10528682.0,10528682.0,
2014,2298714536.0,1733694710.0,1227613016.0,233129982.0,23243356.0,7518775.0,235414471.0,6775110.0,475868566.0,64217281.0,411541055.0,3100395,408440660.0,,77458421.0,12784056.0,64674365.0,11692839.0,11692839.0,
2013,2148404431.0,1598950217.0,1139573537.0,213152174.0,20147550.0,6329659.0,214656106.0,5091191.0,462413044.0,62810315.0,399496179.0,3158298,396337881.0,,74591707.0,13053352.0,61538355.0,12449463.0,12449463.0,
2012,1986683159.0,1456856660.0,1044807614.0,192032007.0,17205708.0,5045096.0,193921233.0,3845002.0,448272393.0,62322668.0,385905915.0,3463777,382442138.0,,68384126.0,11909924.0,56474202.0,13169980.0,13169980.0,
2011,1794446284.0,1297094201.0,936687060.0,166798815.0,13358742.0,4639453.0,172777947.0,2832184.0,422382040.0,59629062.0,360029327.0,3508902,356520425.0,2683136.0,61373398.0,10796301.0,50577097.0,13596645.0,13595915.0,730.0
2010,1672352895.0,1193243907.0,863967042.0,150213113.0,,,159775220.0,,408797756.0,53846520.0,352323125.0,6543158,345779967.0,2587231.0,57107868.0,9683250.0,47424618.0,13203364.0,13202634.0,730.0
2009,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
