年份,各类医疗卫生机构诊疗人次数,医院诊疗人次数,综合医院诊疗人次数,中医医院诊疗人次数,中西医结合医院诊疗人次数,民族医院诊疗人次数,专科医院诊疗人次数,护理院诊疗人次数,基层医疗卫生机构诊疗人次数,社区卫生服务中心(站)诊疗人次数,卫生院诊疗人次数,街道卫生院诊疗人次数,乡镇卫生院诊疗人次数,门诊部诊疗人次数,专业公共卫生机构诊疗人次数,专科疾病防治院(所、站)诊疗人次数,妇幼保健院(所、站)诊疗人次数,其他医疗卫生机构诊疗人次数,疗养院诊疗人次数,临床检验中心诊疗人次数
2019,87.19873082,38.42405,27.787946,5.862015,0.745662,0.145148,3.85884,0.024437,45.30871,8.591635,11.864405,0.11904,11.74536483,1.56317,3.447059,0.214867,3.151172,0.018917,0.018917,
2018,83.0801693,35.77375208,25.89187506,5.48404757,0.68210337,0.13911425,3.55534833,0.0212635,44.06319887,7.99093996,11.28353217,0.12395544,11.15957673,16.72070355,3.21537198,0.21973008,2.92464552,0.02784637,0.02035173,
2017,81.83109952,34.38920699,25.02286843,5.28492241,0.63629909,0.11675428,3.31139633,0.01696645,44.28915804,7.67255934,11.22983195,0.12227668,11.10755527,1.20446719,3.12396189,0.21889773,2.83703134,0.0287726,0.02509228,
2016,79.31700496,32.69558934,23.8513,5.0774,0.59272579,0.09686676,3.06270874,0.01455416,43.66633038,7.1888917,10.91144751,0.08814498,10.8233,1.02887017,2.93001213,0.22465645,2.64006149,0.02507311,,
2015,76.99251846,30.8364,22.5675,4.8503,0.5401,0.0967,2.7703,0.0115,43.4193,7.0645,10.6256,0.0792,10.54643,0.9394,2.6392,0.2257,2.3529,0.0977,0.0224,
2014,76.01866343,29.72069922,21.81929759,4.71641676,0.5101348,0.07925522,2.58673803,0.00885682,43.63948798,6.85307699,10.37585832,0.089267,10.28659132,0.87860542,2.60461378,0.22252528,2.32292262,0.05386245,0.02358032,
2013,73.14009678,27.41776872,20.15764738,4.37262634,0.44660646,0.07601409,2.35754922,0.00732523,43.24310461,6.57097799,10.17124808,0.09997436,10.07127372,0.83785538,2.42064895,0.21871927,2.15080771,0.0585745,0.02234711,0.03622739
2012,68.88329138,25.41616095,18.7352993,4.0705193,0.3769097,0.0645932,2.16336668,0.00547277,41.09205577,5.9868703,9.77668921,0.10091082,9.67577839,0.75395486,2.2736387,0.2124761,2.01480649,0.10143596,0.02446479,0.04635611
2011,62.71226278,22.58837284,16.7408072,3.61206068,0.29587754,0.05891324,1.87559909,0.00511509,38.05597851,5.46537408,8.77536917,0.11038457,8.6649846,0.70842182,1.99348538,0.19619419,1.756892,0.07442605,0.02479327,0.04963
2010,58.37615842,20.39633314,15.10581819,3.27701645,0.27025861,0.05537871,1.68215297,0.00570821,36.11556359,4.84515523,9.01187461,0.26986731,8.74,0.6561325,1.82447398,0.18965655,1.59673151,0.03978771,0.02347828,0.01630943
2009,54.87671412,19.21938815,14.35612246,3.01458467,0.24499165,0.05369665,1.54467974,0.00531298,33.92365275,3.76974907,9.19458825,0.42850593,8.76608232,0.60865227,1.70468393,0.18826013,1.48469684,0.02898929,0.0211415,0.00784779
2008,49.00897,17.81669786,13.41,2.75,,,1.38,,,2.57,8.62,0.35,8.26800671,0.51,,0.18,1.36,,0.02,
2007,,16.37695812,,,,,,,,,,,7.58558682,,,,,,,
2006,,14.71012912,,,,,,,,,,,7.01,,,,,,,
2005,,13.86533401,,,,,,,,,,,6.79,,,,,,,
2004,,13.04526796,,,,,,,,,,,6.81,,,,,,,
2003,,12.127341,,,,,,,,,,,6.91,,,,,,,
2002,,12.43059545,,,,,,,,,,,7.1,,,,,,,
2001,,,,,,,,,,,,,8.24,,,,,,,
2000,,,,,,,,,,,,,8.24,,,,,,,
