年份,社区卫生服务中心数,无床的社区卫生服务中心数,1-9张床位数的社区卫生服务中心数,10-29张床位数的社区卫生服务中心数,30-49张床位数的社区卫生服务中心数,50-99张床位数的社区卫生服务中心数,100张及以上床位数的社区卫生服务中心数,社区卫生服务站数,无床的社区卫生服务站数,1-9张床位数的社区卫生服务站数,10张及以上床位数的社区卫生服务站数
2019,9557,4148,537,1976,1282,1269,345,25450,23581,1402,467
2018,9352,4159,497,1890,1212,1249,345,25645,23610,1465,570
2017,9147,4116,497,1852,1159,1204,319,25505,23440,1496,569
2016,8918,4110,492,1830,1164,1051,271,25409,23224,1561,624
2015,8806,4067,490,1803,1156,1020,270,25515,23290,1563,662
2014,8669,4002,505,1809,1137,958,258,25569,22971,1796,802
2013,8488,3907,510,1810,1071,927,263,25477,22721,1928,828
2012,8182,3676,506,1795,1037,913,255,25380,22129,2263,988
2011,7861,3594,440,1698,1019,853,257,24999,21758,2321,920
2010,6903,3213,378,1456,878,750,228,25836,22072,2833,931
2009,,,,,,,,,,,
2008,,,,,,,,,,,
2007,,,,,,,,,,,
2006,,,,,,,,,,,
2005,,,,,,,,,,,
2004,,,,,,,,,,,
2003,,,,,,,,,,,
2002,,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
