年份,鼠疫病死率,人感染高致病性禽流感病死率,狂犬病病死率,艾滋病病死率,流行性脑脊髓膜炎病死率,新生儿破伤风病死率,脊髓灰质炎病死率,流行性乙型脑炎病死率,钩端螺旋体病病死率,流行性出血热病死率,炭疽病死率,甲型H1N1流感病死率,疟疾病死率,病毒性肝炎病死率,肺结核病死率,麻疹病死率,百日咳病死率,血吸虫病病死率,梅毒病死率,细菌性和阿米巴性痢疾病死率,伤寒和副伤寒病死率,猩红热病死率,淋病病死率,霍乱病死率,布鲁氏菌病病死率,登革热病死率,传染性非典型肺炎病死率,白喉病死率
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,100.0,33.3333,92.4242,26.6475,7.0588,3.5211,,3.38,1.2048,0.6856,1.2097,,0.8216,0.0421088436,0.2519,0.0532,0.0587,,0.0165,0.0026,,,0.0021,,0.0035,0.0128,,
2013,,100.0,96.2457,27.05,9.8592,9.1463,,2.9385,1.4164,0.8509,0.5181,,0.5133,0.059,0.2848,0.0868,,0.0175,0.017,0.0069,0.0212,0.0058,0.001,1.8868,,,,
2012,100.0,100.0,95.5088,27.6062,12.3077,7.7744,,3.3466,1.1364,0.7815,0.4219,0.2799,0.612,0.05,0.2798,0.1294,0.0458,0.0833,0.0193,0.0063,0.025,,,,,,,
2011,100.0,100.0,98.02,45.11,10.96,6.62,5.0,3.88,1.26,1.1,0.97,0.8,0.73,0.34,0.3,0.1,0.08,0.04,0.02,0.01,0.01,,,,,,,
2010,28.5714,,98.3398,48.4483,10.1538,8.1362,,3.6206,1.6248,1.2387,2.0761,,0.1895,0.067,0.3026,0.0708,0.0567,,0.0192,0.0143,0.0214,,0.0009,,0.003,,,
2009,25.0,,96.2946,49.6649,11.68,9.7025,,4.3956,1.9573,1.1893,0.8547,,0.0709,0.0714,0.3513,0.0743,0.062,0.0568,0.0206,0.014,0.0531,,,,,,,
2008,100.0,,96.23,53.57,11.93,10.69,,4.77,2.09,1.14,0.3,,0.08,0.07,0.24,0.08,0.04,,0.02,0.02,0.04,,,,,,,
2007,50.0,,100.0,40.14,10.35,9.8,,5.24,3.8,1.31,0.24,,0.03,0.08,0.32,0.06,,,0.03,,0.03,,,,0.01,,,
2006,0.0,,98.0482,19.952,9.3469,10.4407,,6.0578,2.5518,1.1458,2.6608,,0.0565,0.1013,0.2961,0.0351,0.157,,0.0514,,0.0654,0.0,0.0019,1.2579,,,,0.0
2005,30.0,,100.0,23.4122,8.887,11.0829,,4.1985,3.1802,1.2981,2.2556,,0.1135,0.1011,0.2701,0.0447,0.052,,0.0585,,0.0404,0.008,0.0006,0.4111,0.0217,2.5,,
2004,40.9090909090909,,100.0,24.2632612966601,6.11564121571535,10.155721056195,,3.68867576540022,3.95968322534197,1.01433648815942,1.14566284779051,,,,0.147895757710677,,0.191285866099894,,,,,,,0.409836065573771,,0.0,,0.0
2003,7.6923,,97.2018,33.1004,5.4832,14.5097,,4.6565,3.3278,0.7593,1.6611,,0.1407,0.115,0.1566,0.1056,0.0545,,0.0528,,0.0586,0.0099,,0.4082,,,,33.3333
2002,,,97.31,38.25,5.02,14.35,,2.61,3.3,0.71,2.81,,0.14,0.12,0.18,0.22,0.08,,0.03,,0.07,0.01,0.01,0.75,0.0,,,22.22
2001,8.43,,95.88,46.21,4.31,12.54,,2.26,2.8,0.59,2.22,,0.11,0.6,0.12,0.16,0.08,,0.01,,0.05,0.02,0.01,0.54,0.03,0.34,,
2000,0.8,,93.94,42.24,4.62,12.6,,2.86,2.73,0.74,1.87,,0.16,0.07,0.11,0.17,0.13,,0.02,,0.08,0.04,,0.48,0.06,,,
