年份,社区卫生服务中心诊疗人次,社区卫生服务中心入院人数,社区卫生服务中心病床使用率,社区卫生服务中心出院者平均住院日,社区卫生服务站诊疗人次
2019,6.911069,339.52,49.65,9.7,1.680566
2018,6.38978662,339.5371,52.0,9.9,1.60115334
2017,6.07432288,344.2497,54.84,9.5,1.59823646
2016,5.63270221,313.7143,54.6218001719,9.7040930518,1.55618949
2015,5.59026,305.5499,54.7,9.8,1.47425
2014,5.36187933,298.0571,55.6220400868,9.8580464199,1.49119766
2013,5.07885866,292.063,57.0199164976,9.8348006948,1.49211933
2012,4.54751077,268.6554,55.4717994843,10.0544507384,1.43935953
2011,4.09499505,247.3426,54.3534497504,10.1506614516,1.37037903
2010,3.47404131,218.0577,56.07,10.4,1.37111392
2009,2.60802371,164.2427,59.7882458579,10.5525478609,1.16172536
2008,1.72473026,103.2788,58.6677340971,13.4145806406,0.84250889
2007,1.2712446,74.3186,59.6,13.1,0.98749683
2006,0.82854794,43.6288,57.94,15.51,0.93789368
2005,0.59385194,26.6215,60.68,17.18,0.62814512
2004,0.46155902,15.1965,61.2,20.97,0.50955234
2003,0.38043852,10.2844,67.1,23.76,0.36119003
2002,0.35878718,10.6091,68.1,19.1,1.11623067
2001,,,,,
2000,,,,,
