年份,原煤开采新开工规模,焦炭新开工规模,天然原油开采新开工规模,天然气开采新开工规模,铁矿开采(原矿)新开工规模,生铁新开工规模,粗钢新开工规模,铁合金新开工规模,铜采矿(原矿)新开工规模,铜选矿处理原矿新开工规模,铜选矿铜含量新开工规模,铜冶炼新开工规模,电解铜新开工规模,铅锌采矿新开工规模,铅锌选矿处理原矿新开工规模,铅含量新开工规模,锌含量新开工规模,铅冶炼新开工规模,电解铅新开工规模,锌冶炼新开工规模,电解锌新开工规模,氧化铝新开工规模,电解铝新开工规模,水力发电新开工规模,火力发电新开工规模,核能发电新开工规模,风能发电新开工规模,其他发电新开工规模,水泥新开工规模,平板玻璃新开工规模,电石新开工规模,氮肥新开工规模,磷肥新开工规模,钾肥新开工规模,塑料树脂及共聚物新开工规模,轮胎外胎新开工规模,轮胎内胎新开工规模,载货汽车制造新开工规模,客车制造新开工规模,轿车制造新开工规模,其他汽车制造新开工规模,电视机新开工规模,化学纤维新开工规模,棉纺锭新开工规模,毛纺锭新开工规模,啤酒新开工规模,白酒新开工规模,其他酒新开工规模,卷烟新开工规模,机制纸浆新开工规模,家用电冰箱新开工规模,家用洗衣机新开工规模,新建铁路投产里程新开工规模,新建公路新开工规模,改建公路新开工规模,新(扩)建港口码头年吞吐量新开工规模,新(扩)建港口码头泊位新开工规模,城市自来水供水能力(万吨/日)新开工规模
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,13620.01,1556.8,2800.87,198.94,8944.58,1059.28,,,1158.66,,,,46750.0,,,,,,,,,,1060000.0,2965.06,4426.55,,2218.82,536.84,6370.84,,,3650915.0,1703180.0,2453725.0,2382309.0,4199.26,,154635.0,2315781.6,1191736.0,108947.7,270.0,2761696.0,13010399.0,,149.44,145.83,50.85,1598066.6,229.19,202.7,,,74162.5,,18728.75,197.0,3692.13
2015,25306.43,2192.18,4088.0,269.0,14601.81,898.2,2490.85,,2023.68,,,,375920.0,3530.2,,172559.0,124273.0,,,,,,1229350.0,1538.0,8774.0,528.0,3569.0,845.0,11779.69,10760.0,,3976526.6,1369016.2,1521797.2,3643335.97,6377.8,,192014.0,214440.0,2020160.0,146316.0,810.9,2650042.0,10492013.2,,322.06,119.28,34.27,120361.0,97.93,992.0,,,70595.0,78648.0,42515.62,327.6,1683.1
2014,34765.7,4816.11,2778.83,224.89,14832.91,747.7,1847.28,,1742.75,806.54,78948.5,1301933.5,263100.0,3821.22,1242.58,177830.0,116040.0,559525.9,140030.0,898263.0,,45926.5,1036306.5,1319.72,10361.67,332.01,2774.73,565.4,23703.91,6409.5,,9537858.83,1836560.2,2736570.0,4905753.36,10281.23,1153.9,132800.0,228100.0,2047181.0,179450.0,458.0,3133633.0,8692662.0,78875.6,216.58,149.02,110.77,1217015.0,121.83,631.0,155.0,3361.59,64753.73,76066.1,23251.3,255.0,1497.25
2013,44237.83,7300.28,2790.8,142.28,25735.78,1119.81,2506.84,,5061.1,3103.68,69734.0,1697690.0,456067.0,4599.75,781.6,192364.9,242255.0,570481.0,332900.0,608341.0,252377.0,3400400.0,2302000.0,3894.01,5072.74,500.0,2137.33,555.33,31296.54,7510.3,,6625065.0,2888761.0,1216803.0,8041558.7,7983.7,2036.0,51130.0,132199.0,1324775.0,169440.0,491.0,6301814.6,9083024.0,140877.0,164.44,188.74,105.66,880600.0,123.11,725.0,268.0,2688.22,66886.78,70201.1,30830.7,383.82,1460.22
2012,65208.67,7126.05,2799.96,274.56,21159.42,3661.04,2490.51,,2906.19,1934.78,68041.35,1971595.0,914934.0,3865.86,1871.55,343946.0,317275.0,1037019.1,461200.0,693380.0,495800.0,3076508.1,4493219.0,2349.64,5713.27,473.0,2477.75,1294.87,39515.71,6772.09,10888406.7,11074722.3,2557623.0,2809269.0,10720465.0,5659.78,2230.5,77403.0,353663.0,2753860.0,337941.0,1275.0,5572379.0,11217702.0,61531.0,436.3,1944.23,103.02,1338000.0,267.78,2014.5,801.0,1588.91,82462.35,73790.42,72328.2,402.0,2177.59
2011,60739.88,9318.19,2864.81,386.18,17516.09,4513.55,3204.3,597669.3,3253.3,2953.04,85771.0,1304290.0,485000.0,18418.67,2136.67,213095.5,261201.0,577954.0,401530.0,1101225.0,725000.0,5139617.0,2323448.0,1776.84,4144.81,300.0,2447.07,676.34,37871.75,14121.36,2900777.0,10387232.5,2709446.0,957565.0,9251167.0,7724.5,1933.0,367778.0,322470.0,2569339.0,335908.0,364.0,6504500.0,13275293.0,410800.0,385.42,222.01,24.86,337000.0,236.83,803.2,240.0,1919.48,59818.28,79577.09,29012.56,329.1,1623.74
2010,57410.0,11182.0,3635.0,477.0,17152.0,2277.0,1595.0,2475420.0,2182.0,893.0,17552.0,2362872.0,1265100.0,2241.0,2547.0,245689.0,195265.0,1064372.0,213793.0,1281743.0,175112.0,3736165.0,3152600.0,1649.0,6820.0,1368.0,,3239.0,42074.0,18052.0,2971915.0,7990427.0,3506526.0,1659243.0,4121353.0,7920.0,4665.0,487500.0,719320.0,1178700.0,529761.0,126.0,2904942.0,12237186.0,77635.0,730.0,205.0,86.0,854600.0,300.0,1371.0,812.0,4528.0,76487.0,129330.0,47088.0,198.0,1344.0
