年份,房地产开发企业住宅竣工套数,房地产开发企业别墅、高档公寓竣工套数,房地产开发企业住宅销售套数,房地产开发企业别墅、高档公寓销售套数
2019,6452838,141022,13216466.0,260475
2018,6229216,138880,13285469.0,281919
2017,6770598,153900,13361411.0,294616
2016,7455409,218297,12822565.0,258582
2015,7050109,126972,10578898.0,191594
2014,7659418,145182,10104351.0,167469
2013,7493133,126444,11046279.0,202081
2012,7642379,161899,9446424.0,184001
2011,7219163,155923,9139672.0,191881
2010,6019767,163207,8817526.0,223596
2009,5548897,143621,8040470.0,240129
2008,4939189,144618,5565827.0,157455
2007,4401203,159423,6251263.0,257776
2006,4005305,139632,5049094.0,219982
2005,3682523,135276,4235372.0,152339
2004,4042219,144949,,
2003,3021134,108525,,
2002,2629616,97751,,
2001,2414392,72207,,
2000,2139702,59880,,
