年份,全社会固定资产投资,内资企业全社会固定资产投资,国有全社会固定资产投资,集体全社会固定资产投资,股份合作全社会固定资产投资,联营全社会固定资产投资,有限责任公司全社会固定资产投资,股份有限公司全社会固定资产投资,私营全社会固定资产投资,个体全社会固定资产投资,其他全社会固定资产投资,港、澳、台商投资全社会固定资产投资,外商投资全社会固定资产投资
2019,560874.3,,,,,,,,,,,,
2018,645675.0,,,,,,,,,,,,
2017,641238.4,616322.1855,139073.3309,7678.4829,910.4008,664.142,211642.7635,17304.4055,203474.9282,11804.0024,23769.7293,13603.9965,11312.2035
2016,606465.7,580396.1295,129038.4586,8928.536,1121.7375,831.993,201075.8487,17820.342,187214.056,12110.4555,22254.7022,14223.2114,11846.3191
2015,561999.8,539323.0473,139711.3036,15447.7877,1780.3049,1613.3883,146057.436,20832.3694,171345.3658,12439.2645,30095.8271,11930.4422,10746.3431
2014,512020.7,489033.6,125005.1637,15188.861,1992.4698,1562.1387,136462.2484,22371.4901,149539.308,12602.5367,24309.3455,11934.5,11052.6
2013,446294.1,424136.1037,109849.9209,13312.3638,1867.9922,1358.4755,121606.5138,23257.2878,121217.1241,12420.1304,19246.2952,11027.6534,11130.3331
2012,374694.7,353871.7282,96220.2474,11973.7247,1745.48,1265.9701,102511.8371,21484.863,91422.3476,11588.6737,15658.5846,10275.8755,10547.1318
2011,311485.1,292768.3,82494.7844,10245.108,1627.5203,988.602,86254.937,19023.4434,71337.9805,10483.2286,10312.6569,9431.0,9285.9
2010,278121.9,260914.4,83316.5,10041.9,1445.6,831.0,70321.5,17203.0,60572.3,9506.7,7676.0,8295.1,8912.4
2009,224598.8,209111.0,69692.4994,8482.9569,1158.2333,666.3576,53592.6308,14092.4729,46903.2075,8891.7186,5630.9576,7091.7,8396.0
2008,172828.4,157421.4017,48704.8928,6297.2766,1031.1819,645.9054,42044.2554,12052.3484,35575.6199,7190.7986,3879.1227,6956.1535,8450.8446
2007,137323.9,123970.0376,38706.3453,4637.4446,874.0046,607.556,33509.3302,9655.3388,27055.5856,6058.6659,2865.7666,5998.5067,7355.3938
2006,109998.2,99139.9038,32963.3865,3604.1178,757.2008,519.7071,26265.4708,8174.235,19267.1838,5163.8724,2424.7296,4745.1365,6113.1221
2005,88773.6,,,,,,,,,,,,
2004,70477.4,,,,,,,,,,,,
2003,55566.6,,,,,,,,,,,,
2002,43499.9,,,,,,,,,,,,
2001,37213.5,,,,,,,,,,,,
2000,32917.7,30311.5,,,,,,,,,,1293.0,1313.2
