年份,固定资产投资(不含农户)其他费用,农、林、牧、渔业固定资产投资(不含农户)其他费用,农业固定资产投资(不含农户)其他费用,林业固定资产投资(不含农户)其他费用,畜牧业固定资产投资(不含农户)其他费用,渔业固定资产投资(不含农户)其他费用,农、林、牧、渔服务业固定资产投资(不含农户)其他费用,采矿业固定资产投资(不含农户)其他费用,煤炭开采和洗选业固定资产投资(不含农户)其他费用,石油和天然气开采业固定资产投资(不含农户)其他费用,黑色金属矿采选业固定资产投资(不含农户)其他费用,有色金属矿采选业固定资产投资(不含农户)其他费用,非金属矿采选业固定资产投资(不含农户)其他费用,其他采矿业固定资产投资(不含农户)其他费用,制造业固定资产投资(不含农户)其他费用,农副食品加工业固定资产投资(不含农户)其他费用,食品制造业固定资产投资(不含农户)其他费用,饮料制造业固定资产投资(不含农户)其他费用,烟草制品业固定资产投资(不含农户)其他费用,纺织业固定资产投资(不含农户)其他费用,纺织服装、鞋、帽制造业固定资产投资(不含农户)其他费用,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)其他费用,木材加工及木竹藤棕草制品业固定资产投资(不含农户)其他费用,家具制造业固定资产投资(不含农户)其他费用,造纸及纸制品业固定资产投资(不含农户)其他费用,印刷业和记录媒介的复制固定资产投资(不含农户)其他费用,文教体育用品制造业固定资产投资(不含农户)其他费用,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)其他费用,化学原料及化学制品制造业固定资产投资(不含农户)其他费用,医药制造业固定资产投资(不含农户)其他费用,化学纤维制造业固定资产投资(不含农户)其他费用,橡胶制品业固定资产投资(不含农户)其他费用,塑料制品业固定资产投资(不含农户)其他费用,非金属矿物制品业固定资产投资(不含农户)其他费用,黑色金属冶炼及压延加工业固定资产投资(不含农户)其他费用,有色金属冶炼及压延加工业固定资产投资(不含农户)其他费用,金属制品业固定资产投资(不含农户)其他费用,通用设备制造业固定资产投资(不含农户)其他费用,专用设备制造业固定资产投资(不含农户)其他费用,交通运输设备制造业固定资产投资(不含农户)其他费用,电气机械及器材制造业固定资产投资(不含农户)其他费用,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)其他费用,仪器仪表文化办公用机械制造业固定资产投资(不含农户)其他费用,工艺品及其他制造业固定资产投资(不含农户)其他费用,废弃资源和废旧材料回收加工业固定资产投资(不含农户)其他费用,电力燃气水的生产供应业固定资产投资(不含农户)其他费用,电力、热力的生产和供应业固定资产投资(不含农户)其他费用,燃气生产和供应业固定资产投资(不含农户)其他费用,水的生产和供应业固定资产投资(不含农户)其他费用,建筑业固定资产投资(不含农户)其他费用,房屋和土木工程建筑业固定资产投资(不含农户)其他费用,建筑安装业固定资产投资(不含农户)其他费用,建筑装饰业固定资产投资(不含农户)其他费用,其他建筑业固定资产投资(不含农户)其他费用,交通运输、仓储和邮政业固定资产投资(不含农户)其他费用,铁路运输业固定资产投资(不含农户)其他费用,道路运输业固定资产投资(不含农户)其他费用,城市公共交通业固定资产投资(不含农户)其他费用,水上运输业固定资产投资(不含农户)其他费用,航空运输业固定资产投资(不含农户)其他费用,管道运输业固定资产投资(不含农户)其他费用,装卸搬运和其他运输服务业固定资产投资(不含农户)其他费用,仓储业固定资产投资(不含农户)其他费用,邮政业固定资产投资(不含农户)其他费用,信息传输、计算机服务和软件业固定资产投资(不含农户)其他费用,电信和其他信息传输服务业固定资产投资(不含农户)其他费用,计算机服务业固定资产投资(不含农户)其他费用,软件业固定资产投资(不含农户)其他费用,批发和零售业固定资产投资(不含农户)其他费用,批发业固定资产投资(不含农户)其他费用,零售业固定资产投资(不含农户)其他费用,住宿和餐饮业固定资产投资(不含农户)其他费用,住宿业固定资产投资(不含农户)其他费用,餐饮业固定资产投资(不含农户)其他费用,金融业固定资产投资(不含农户)其他费用,银行业固定资产投资(不含农户)其他费用,证券业固定资产投资(不含农户)其他费用,保险业固定资产投资(不含农户)其他费用,其他金融活动固定资产投资(不含农户)其他费用,房地产业固定资产投资(不含农户)其他费用,租赁和商务服务业固定资产投资(不含农户)其他费用,租赁业固定资产投资(不含农户)其他费用,商务服务业固定资产投资(不含农户)其他费用,科学研究、技术服务和地质勘查业固定资产投资(不含农户)其他费用,研究与试验发展固定资产投资(不含农户)其他费用,专业技术服务业固定资产投资(不含农户)其他费用,科技交流和推广服务业固定资产投资(不含农户)其他费用,地质勘查业固定资产投资(不含农户)其他费用,水利、环境和公共设施管理业固定资产投资(不含农户)其他费用,水利管理业固定资产投资(不含农户)其他费用,环境管理业固定资产投资(不含农户)其他费用,公共设施管理业固定资产投资(不含农户)其他费用,居民服务和其他服务业固定资产投资(不含农户)其他费用,居民服务业固定资产投资(不含农户)其他费用,其他服务业固定资产投资(不含农户)其他费用,教育固定资产投资(不含农户)其他费用,卫生、社会保障和社会福利业固定资产投资(不含农户)其他费用,卫生固定资产投资(不含农户)其他费用,社会保障业固定资产投资(不含农户)其他费用,社会福利业固定资产投资(不含农户)其他费用,文化、体育和娱乐业固定资产投资(不含农户)其他费用,新闻出版业固定资产投资(不含农户)其他费用,广播、电视、电影和音像业固定资产投资(不含农户)其他费用,文化艺术业固定资产投资(不含农户)其他费用,体育固定资产投资(不含农户)其他费用,娱乐业固定资产投资(不含农户)其他费用,公共管理和社会组织固定资产投资(不含农户)其他费用,中国共产党机关固定资产投资(不含农户)其他费用,国家机构固定资产投资(不含农户)其他费用,人民政协和民主党派固定资产投资(不含农户)其他费用,群众团体、社会团体和宗教组织固定资产投资(不含农户)其他费用,基层群众自治组织固定资产投资(不含农户)其他费用,国际组织固定资产投资(不含农户)其他费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,75854.9188,2590.5431,1326.522,520.7809,416.719,87.4003,239.1209,829.6679,289.7396,198.1387,81.266,122.9859,118.7596,5.7781,10653.933,647.4042,296.4167,,8.9956,354.6438,,,270.086,250.7633,154.6028,80.9223,,246.9203,860.0434,344.0161,65.4563,,,952.3315,221.729,317.2409,487.9903,616.0746,632.7635,,653.4075,636.8687,,,94.267,2348.1917,1842.937,125.7483,379.5064,226.6891,,12.8769,,,8320.0855,1344.5517,5826.6307,,176.4301,289.0001,51.7264,75.3887,536.7015,19.6563,487.6264,119.158,,,1076.87,484.5062,592.3638,429.5975,331.4344,98.1631,123.876,,,24.5758,26.2191,33854.1419,1442.5489,21.1134,1421.4355,405.0412,139.8099,111.3304,153.9009,,10110.9314,1248.0493,482.2417,8380.6404,192.1129,125.6991,41.8562,933.276,499.0743,333.5151,30.7882,,912.6022,9.5093,17.0,400.1399,177.53,308.423,418.1098,1.9239,305.7694,0.6973,24.5436,54.3874,
2016,69444.6143,2784.4204,1358.6608,533.4793,453.3202,96.9277,342.0324,956.7883,322.2028,217.0937,55.765,203.2673,141.8206,5.8446,11205.2748,692.0442,362.4587,,15.007,358.5642,,,270.5615,199.9524,171.9689,91.1422,,252.5905,971.6564,340.5404,69.7167,,,1034.9807,216.2135,321.5235,564.1349,717.6494,687.7737,,634.2071,573.1536,,,93.3431,2525.8903,2016.182,128.8308,380.8775,225.4745,,9.4746,,,7405.9391,1613.1791,4610.3123,,235.8161,212.9274,27.0403,99.1052,593.1081,14.4506,398.478,151.5947,,,1332.7685,595.0146,737.7539,497.4175,379.0315,118.386,106.9708,,,6.0973,18.1984,29013.6562,1137.7036,29.3725,1108.3311,496.4589,179.8468,153.8648,162.7473,,8182.0714,986.9187,475.3977,6719.755,202.6793,126.5128,42.9379,833.2226,465.0953,321.5087,25.3995,,995.65,12.483,105.2553,467.3758,120.8645,289.6714,678.6448,1.0817,517.2141,0.0183,33.7756,101.1556,
2015,62338.8986,2351.1008,1089.9491,496.9185,433.8701,91.0365,239.3266,1062.9396,313.2675,259.7875,104.7239,190.3056,150.2479,7.067,10749.8423,672.6673,322.7263,,13.7988,336.6645,,,283.7858,197.4839,164.0837,101.2591,,168.1158,930.3557,382.4874,52.1219,,,1083.5988,207.1388,350.052,531.2478,710.6604,705.7584,,583.532,466.7159,,,114.4375,2261.6679,1791.2723,148.7355,321.6601,290.1084,,6.6228,,,6236.6207,1613.6795,3524.898,,197.5541,203.7665,22.0453,89.392,557.355,27.9303,301.3968,82.6096,,,1547.7421,691.3739,856.3682,588.1209,451.0385,137.0824,161.0096,,,7.303,21.8824,26760.721,862.8106,22.7664,840.0442,382.1647,139.7263,134.583,107.8554,,6272.8337,694.4317,248.6462,5329.7558,198.1726,119.478,39.2439,572.8335,408.2803,296.4587,29.7963,,693.4418,12.0831,47.5177,332.3459,103.6731,197.822,637.0913,1.1925,443.0182,0.2098,55.2707,107.6038,
2014,60722.4598,1920.9993,754.9078,434.0786,390.8492,73.6589,267.5048,1258.8657,428.1221,301.4672,135.5343,193.365,173.1109,5.5371,11553.6739,695.3731,335.6421,,21.9407,323.9934,,134.9527,236.9572,201.6889,184.2511,94.8581,139.3327,285.9762,1082.673,380.5177,64.1228,87.8734,287.5965,1125.106,273.3923,405.7505,607.5866,805.4906,751.5269,,649.5057,493.6123,95.9851,,113.9513,2040.1835,1612.056,172.5754,255.5521,250.3193,,15.5898,8.8839,,5645.3729,1309.5428,3481.455,1050.9389,130.7721,84.698,22.2235,104.4784,494.9483,17.2548,203.9806,54.4996,,123.8322,1497.7263,684.695,813.0313,586.0191,452.0324,133.9867,120.9532,,,13.8402,17.0029,26292.9882,941.0024,13.2799,927.7225,390.805,142.6347,148.9075,99.2628,43.5594,5488.4884,685.973,242.2208,4560.2946,201.4877,125.0254,47.0598,619.4931,304.399,218.7886,25.744,85.6104,753.5735,8.8584,81.6918,365.4617,110.275,187.2866,652.1287,1.0412,490.3235,0.6731,47.0493,87.2976,
2013,56117.0654,1545.7653,563.8807,400.9255,305.977,71.0688,203.9133,1289.3907,533.5208,270.3431,120.4029,162.9663,166.2613,5.5956,10947.0098,667.9473,280.5293,,26.1735,298.2839,,,212.2632,167.7185,182.5801,83.9103,,283.3525,1048.3816,382.0005,82.0015,,,1020.9477,322.9953,357.8038,518.9402,720.033,722.7792,,633.3621,520.6452,,,97.0228,1994.2146,1609.3082,192.228,192.6784,240.0845,,7.6141,,,5510.1432,1210.2183,3393.6925,,186.1846,61.0708,55.1976,112.9738,485.7478,5.0578,208.593,64.7609,,,1466.3157,660.7633,805.5524,675.0368,516.0523,158.9845,149.9505,,,18.2995,31.0347,23657.7713,843.5258,13.9592,829.5666,356.5827,105.8883,127.435,123.2594,,5065.5107,659.1843,209.3089,4197.0175,209.5705,127.739,52.0019,511.5043,229.9951,175.7365,37.1615,,709.767,10.9089,56.1019,327.5479,110.4521,204.7562,506.3339,3.101,323.6381,0.7755,59.4494,82.2084,
2012,52314.7579,1331.0907,470.3173,354.3996,282.0727,50.1848,174.1163,1417.2387,635.3783,288.3241,143.9861,145.6778,173.6447,6.2967,10279.8476,601.616,232.852,,30.6898,287.2947,,121.0206,190.7062,161.4827,184.79,82.9644,95.8376,225.4123,930.5063,299.3719,60.1073,140.2667,228.1257,989.4796,402.2397,385.7599,473.9892,665.8591,656.3336,,636.6168,504.2146,112.0454,,84.3259,1790.3996,1484.1044,131.9947,174.3005,270.1324,,7.3241,8.3708,,4751.5667,1176.4215,2723.5608,760.0514,205.2182,52.3997,25.1119,82.7008,480.4269,5.7269,198.4999,74.4822,,,1320.5814,558.812,761.7694,679.3238,506.8892,172.4346,194.3602,,25.4243,44.4657,22.5877,21556.893,792.2329,7.7588,784.4741,351.7018,122.9833,131.3575,97.361,33.6425,5221.5304,920.843,150.7386,4149.9488,226.6482,86.3354,104.628,455.269,239.4561,185.8581,33.7614,53.598,627.6387,9.6671,30.6034,294.1955,104.7451,188.4276,610.3468,2.0889,390.0088,1.0916,81.5396,101.8565,
2011,45171.3939,1196.8175,394.2647,354.8487,247.6078,38.6924,161.4039,1313.508,599.8139,285.8038,126.4381,154.4676,141.7717,5.2129,9069.0375,465.6054,193.2257,187.4073,30.6948,281.3893,218.6658,84.7304,166.4738,124.314,165.7448,64.0649,36.1835,209.3705,763.4069,231.7867,38.9154,124.4305,220.5573,920.2547,362.7416,330.9113,419.7296,623.4561,528.7156,835.5724,632.0348,450.7873,101.3238,204.0797,52.4636,1674.5989,1391.7762,105.4292,177.3935,310.447,275.9964,6.8809,6.3731,21.1966,3900.8344,887.7311,1789.1734,603.9286,173.9141,65.1598,13.304,51.9015,308.3012,7.4207,136.8529,70.53,23.8917,42.4312,1073.8475,529.7076,544.1399,491.317,369.5882,121.7288,84.7275,41.7913,13.2771,12.4278,17.2313,18581.0526,580.2542,6.6228,573.6314,259.7815,106.0516,47.4634,66.926,39.3405,4462.2223,678.2939,205.1232,3578.8052,236.2281,112.534,123.6941,464.5232,211.4941,148.9253,22.1089,40.4599,515.5278,9.4885,19.9257,208.2505,65.9789,211.8842,608.3219,3.3937,482.682,0.257,31.0327,90.9565,
2010,41137.0122,927.4,233.5,304.5,179.1,33.3,177.0,1140.2,530.8,240.4,124.2,140.9,99.5,4.3,7335.8,360.9,188.4,139.8,23.7,195.0,133.9,66.3,131.5,91.2,127.9,51.0,26.8,261.1,698.6,209.4,43.1,86.5,161.1,670.1,302.6,303.3,343.8,454.5,443.2,729.5,475.0,338.4,64.4,180.7,34.1,1794.4,1501.1,116.3,177.0,226.6,182.3,4.3,3.2,36.8,4367.4,1284.6,1777.8,635.3,241.5,100.1,12.6,45.8,267.1,2.7,168.1,89.8,37.5,40.8,796.8,330.4,466.4,459.3,341.4,117.8,83.1,43.4,22.3,3.3,14.1,16322.6,465.9,5.3,460.5,218.0,77.6,56.6,45.4,38.4,5031.1,651.9,241.4,4137.8,158.9,56.6,102.3,385.5,184.2,143.3,16.5,24.5,409.1,9.3,23.1,127.7,65.3,183.7,662.6,3.1,536.5,0.3,24.7,98.1,
