年份,集体控股固定资产投资(不含农户),农、林、牧、渔业集体控股固定资产投资(不含农户),农业集体控股固定资产投资(不含农户),林业集体控股固定资产投资(不含农户),畜牧业集体控股固定资产投资(不含农户),渔业集体控股固定资产投资(不含农户),农、林、牧、渔服务业集体控股固定资产投资(不含农户),采矿业集体控股固定资产投资(不含农户),煤炭开采和洗选业集体控股固定资产投资(不含农户),石油和天然气开采业集体控股固定资产投资(不含农户),黑色金属矿采选业集体控股固定资产投资(不含农户),有色金属矿采选业集体控股固定资产投资(不含农户),非金属矿采选业集体控股固定资产投资(不含农户),其他采矿业集体控股固定资产投资(不含农户),制造业集体控股固定资产投资(不含农户),农副食品加工业集体控股固定资产投资(不含农户),食品制造业集体控股固定资产投资(不含农户),饮料制造业集体控股固定资产投资(不含农户),烟草制品业集体控股固定资产投资(不含农户),纺织业集体控股固定资产投资(不含农户),纺织服装、鞋、帽制造业集体控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业集体控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业集体控股固定资产投资(不含农户),家具制造业集体控股固定资产投资(不含农户),造纸及纸制品业集体控股固定资产投资(不含农户),印刷业和记录媒介的复制集体控股固定资产投资(不含农户),文教体育用品制造业集体控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业集体控股固定资产投资(不含农户),化学原料及化学制品制造业集体控股固定资产投资(不含农户),医药制造业集体控股固定资产投资(不含农户),化学纤维制造业集体控股固定资产投资(不含农户),橡胶制品业集体控股固定资产投资(不含农户),塑料制品业集体控股固定资产投资(不含农户),非金属矿物制品业集体控股固定资产投资(不含农户),黑色金属冶炼及压延加工业集体控股固定资产投资(不含农户),有色金属冶炼及压延加工业集体控股固定资产投资(不含农户),金属制品业集体控股固定资产投资(不含农户),通用设备制造业集体控股固定资产投资(不含农户),专用设备制造业集体控股固定资产投资(不含农户),交通运输设备制造业集体控股固定资产投资(不含农户),电气机械及器材制造业集体控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业集体控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业集体控股固定资产投资(不含农户),工艺品及其他制造业集体控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业集体控股固定资产投资(不含农户),电力燃气水的生产供应业集体控股固定资产投资(不含农户),电力、热力的生产和供应业集体控股固定资产投资(不含农户),燃气生产和供应业集体控股固定资产投资(不含农户),水的生产和供应业集体控股固定资产投资(不含农户),建筑业集体控股固定资产投资(不含农户),房屋和土木工程建筑业集体控股固定资产投资(不含农户),建筑安装业集体控股固定资产投资(不含农户),建筑装饰业集体控股固定资产投资(不含农户),其他建筑业集体控股固定资产投资(不含农户),交通运输、仓储和邮政业集体控股固定资产投资(不含农户),铁路运输业集体控股固定资产投资(不含农户),道路运输业集体控股固定资产投资(不含农户),城市公共交通业集体控股固定资产投资(不含农户),水上运输业集体控股固定资产投资(不含农户),航空运输业集体控股固定资产投资(不含农户),管道运输业集体控股固定资产投资(不含农户),装卸搬运和其他运输服务业集体控股固定资产投资(不含农户),仓储业集体控股固定资产投资(不含农户),邮政业集体控股固定资产投资(不含农户),信息传输、计算机服务和软件业集体控股固定资产投资(不含农户),电信和其他信息传输服务业集体控股固定资产投资(不含农户),计算机服务业集体控股固定资产投资(不含农户),软件业集体控股固定资产投资(不含农户),批发和零售业集体控股固定资产投资(不含农户),批发业集体控股固定资产投资(不含农户),零售业集体控股固定资产投资(不含农户),住宿和餐饮业集体控股固定资产投资(不含农户),住宿业集体控股固定资产投资(不含农户),餐饮业集体控股固定资产投资(不含农户),金融业集体控股固定资产投资(不含农户),银行业集体控股固定资产投资(不含农户),证券业集体控股固定资产投资(不含农户),保险业集体控股固定资产投资(不含农户),其他金融活动集体控股固定资产投资(不含农户),房地产业集体控股固定资产投资(不含农户),租赁和商务服务业集体控股固定资产投资(不含农户),租赁业集体控股固定资产投资(不含农户),商务服务业集体控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业集体控股固定资产投资(不含农户),研究与试验发展集体控股固定资产投资(不含农户),专业技术服务业集体控股固定资产投资(不含农户),科技交流和推广服务业集体控股固定资产投资(不含农户),地质勘查业集体控股固定资产投资(不含农户),水利、环境和公共设施管理业集体控股固定资产投资(不含农户),水利管理业集体控股固定资产投资(不含农户),环境管理业集体控股固定资产投资(不含农户),公共设施管理业集体控股固定资产投资(不含农户),居民服务和其他服务业集体控股固定资产投资(不含农户),居民服务业集体控股固定资产投资(不含农户),其他服务业集体控股固定资产投资(不含农户),教育集体控股固定资产投资(不含农户),卫生、社会保障和社会福利业集体控股固定资产投资(不含农户),卫生集体控股固定资产投资(不含农户),社会保障业集体控股固定资产投资(不含农户),社会福利业集体控股固定资产投资(不含农户),文化、体育和娱乐业集体控股固定资产投资(不含农户),新闻出版业集体控股固定资产投资(不含农户),广播、电视、电影和音像业集体控股固定资产投资(不含农户),文化艺术业集体控股固定资产投资(不含农户),体育集体控股固定资产投资(不含农户),娱乐业集体控股固定资产投资(不含农户),公共管理和社会组织集体控股固定资产投资(不含农户),中国共产党机关集体控股固定资产投资(不含农户),国家机构集体控股固定资产投资(不含农户),人民政协和民主党派集体控股固定资产投资(不含农户),群众团体、社会团体和宗教集体控股固定资产投资(不含农户),基层群众自治组织集体控股固定资产投资(不含农户),国际组织集体控股固定资产投资(不含农户)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,15450.8854,965.9041,475.1178,76.7415,136.8731,88.2291,188.9426,250.9611,82.2791,0.6148,9.4418,105.3881,46.2198,0.3527,2051.0539,130.5521,53.3272,,6.3511,50.3262,,,23.4587,12.263,43.4596,21.5982,,28.5691,165.9858,106.3269,8.0716,,,147.3206,32.6546,66.8441,71.0603,143.8793,98.9288,,173.7,167.9335,,,12.3397,648.5845,431.0643,31.7403,185.7799,202.799,,19.6961,,,834.8513,13.2204,612.4407,,32.3312,9.7591,10.1815,10.4682,144.3077,2.1425,83.4593,37.6718,,,587.6364,216.0502,371.5862,199.2222,151.6567,47.5655,82.7822,,,1.3954,5.6189,4277.7461,478.9419,10.9871,467.9548,142.9523,35.5847,66.783,40.5846,,3014.5176,345.174,136.3503,2532.9933,126.0574,99.9783,16.997,348.1338,246.9043,165.9379,11.5056,,344.6555,1.6672,4.5448,186.9064,64.9626,86.5745,563.7225,0.306,115.1706,0.4702,46.9797,389.2904,
2016,19397.6663,1073.5618,479.9039,102.1789,166.254,97.5436,227.6814,346.6032,128.5065,14.4716,35.0707,84.8877,75.1865,0.8091,3072.0652,152.1223,52.1347,,13.9886,105.381,,,37.5388,18.3855,105.6853,32.0872,,24.3587,287.4225,124.6541,1.0268,,,228.4658,77.5438,176.0346,260.1089,165.87,207.096,,203.046,182.197,,,31.807,820.1623,557.3745,64.0726,198.7152,279.2872,,13.2544,,,945.6472,20.9594,599.6937,,79.2543,20.148,8.6828,21.0667,194.7664,1.0759,102.9153,53.6168,,,781.7431,316.9248,464.8183,271.0692,208.7302,62.339,92.754,,,4.01,2.3715,5502.0631,679.9058,4.6846,675.2212,214.3322,28.3996,114.674,71.2586,,3263.3549,405.3039,125.4628,2732.5882,206.421,141.7073,54.4478,338.1076,282.258,182.3168,30.8351,,402.8458,0.064,4.548,227.3149,63.2659,107.653,722.5694,0.2213,151.7623,,47.3962,492.3545,
2015,24141.6949,1153.9285,504.0136,129.8203,150.2455,91.6682,278.1809,435.9753,176.3488,13.0417,33.1932,62.5057,75.7477,0.5524,3506.2132,183.8462,67.2098,,14.1165,82.0608,,,32.9313,44.2159,37.4564,41.5432,,62.0948,273.4692,146.9008,22.2836,,,289.029,140.0344,97.5601,201.1635,195.7368,319.1884,,163.0579,217.9248,,,41.8988,754.5426,441.7808,52.1224,260.6394,267.9623,,4.1746,,,1254.9911,58.3843,777.4714,,96.6052,51.7847,5.8173,49.9287,209.1782,5.8213,176.923,58.9669,,,1056.8475,355.5198,701.3277,263.3931,205.1442,58.2489,111.0793,,,1.4611,5.9458,7661.3303,678.3329,63.4999,614.833,267.483,52.3919,130.0829,85.0082,,3939.0368,431.5753,158.2018,3349.2597,317.7717,215.2179,86.1063,381.174,310.1753,209.7811,57.3096,,537.8646,0.009,58.3942,333.4893,68.4191,77.553,1066.6704,0.291,230.2868,,69.9245,708.8585,
2014,24144.5387,1047.0211,422.0727,121.7854,156.1292,110.0278,237.006,532.6778,263.5123,9.5814,43.5099,95.0976,64.2896,1.4675,3900.4046,187.4572,68.6055,,4.7178,93.6143,,,28.1287,42.3671,68.0323,60.1845,,93.0166,371.4924,204.5234,14.1794,,,302.1213,273.5458,114.9076,250.7091,165.7059,286.6857,,201.5787,125.9568,,,21.7021,781.0709,502.5092,82.3886,196.1731,318.984,,9.6918,,,1115.3186,75.6015,695.2279,,66.6921,18.877,11.1104,34.443,208.621,4.7457,88.548,33.7695,,,965.8705,335.678,630.1925,290.9675,217.2198,73.7477,118.3435,,,0.5132,6.2724,8244.116,805.2545,112.5214,692.7331,306.5909,78.2993,163.2621,65.0295,,3141.9731,392.319,130.7475,2618.9066,334.723,249.2722,68.7882,420.7909,286.231,213.343,53.985,,511.1339,0.89,108.7655,237.7208,59.8974,103.8602,934.5189,0.8022,216.119,0.299,47.1136,616.2001,
2013,22092.72,978.959,393.1528,100.7969,152.5152,80.7907,251.7034,654.8003,381.2634,44.4035,46.5089,81.9962,68.1864,0.715,3928.3259,194.6394,61.9975,,7.6687,75.2659,,,48.6953,29.127,48.8485,32.0595,,159.1545,446.4497,143.4481,12.3816,,,302.628,288.3621,104.1742,152.0181,226.6962,356.6366,,232.694,153.9559,,,40.4735,775.0143,465.6751,107.6232,201.716,256.4075,,7.3576,,,1002.9432,53.2498,592.8434,,98.1243,31.3337,12.6311,27.1358,185.1102,2.5149,68.8979,19.1824,,,878.3287,325.7793,552.5494,275.8337,185.7104,90.1233,118.2446,,,1.9632,14.018,7533.0895,588.7003,5.8779,582.8224,237.7014,58.101,108.8367,70.7637,,2558.8472,329.2236,139.8687,2089.7549,349.3542,241.1818,90.1724,375.6221,232.2623,176.8342,40.9337,,393.2529,2.0319,13.97,213.1042,65.7835,98.3633,886.135,5.6452,210.3627,0.115,55.0398,574.0386,
2012,20402.4583,875.4939,397.054,74.4031,114.7425,65.8218,223.4725,643.3966,408.1049,12.1491,69.225,85.9808,51.608,0.7105,3942.8665,162.6503,62.1696,,3.5874,91.5105,,,48.2313,28.7801,43.1355,25.0602,,97.2049,398.5894,144.8394,12.9214,,,288.975,256.4552,113.6865,142.1052,202.9044,387.1232,,273.0625,135.2753,,,31.6859,710.8813,475.7638,76.7727,158.3448,331.5383,,11.2244,,,879.4535,30.4034,526.8589,,77.2483,40.6431,7.5225,35.9496,158.3255,2.5022,80.9257,23.4024,,,760.8296,272.0772,488.7524,276.3749,188.3852,87.9897,108.6354,,,8.6253,9.2902,6966.3054,509.6134,15.8085,493.8049,187.5684,42.9244,96.5011,48.1429,,2030.6877,241.2055,93.7988,1695.6834,228.4915,152.5972,52.5259,323.0052,176.948,137.3647,56.3031,,386.3096,6.4349,33.0229,241.524,41.8011,63.5267,983.1334,0.793,279.1511,6.9753,51.2,588.7109,
2011,18214.9757,807.661,320.6077,105.8767,112.7272,57.2898,211.1596,632.7658,392.2303,15.3637,46.2525,124.2223,52.1147,2.5823,3745.4934,188.3802,63.8157,56.3338,3.1667,76.2445,72.5722,21.1132,35.3635,16.5947,42.3231,21.4734,9.7088,106.1128,331.8847,87.0015,15.9984,102.928,47.4865,319.5343,203.423,158.0463,194.4603,261.8779,280.6159,354.2155,336.1305,184.7585,32.9835,109.3485,11.5975,666.7485,459.2061,41.7266,165.8158,277.0674,203.8444,9.6904,4.7597,58.7729,840.1336,26.4127,455.9643,29.082,68.3909,59.8843,5.8936,25.3349,163.5865,5.5844,59.2971,27.5356,14.4171,17.3444,719.1195,276.6819,442.4376,212.8357,152.679,60.1567,85.0886,77.1966,0.707,3.7328,3.4522,5834.3307,382.515,5.033,377.482,162.7402,40.6287,56.7802,43.6322,21.6991,1891.9279,238.5911,152.5418,1500.795,225.6579,167.8018,57.8561,269.8008,201.0741,127.0524,38.3264,35.6953,284.4606,6.3695,9.9402,151.0692,30.7901,86.2916,916.2579,0.275,326.6396,0.3221,38.1745,550.8467,
2010,13512.0,345.6,120.1,35.6,63.3,27.7,99.0,494.9,289.9,16.3,40.2,97.3,49.1,2.0,3321.8,151.7,73.6,54.8,2.5,61.1,46.3,13.2,36.9,13.0,50.5,21.6,3.5,113.5,350.0,102.7,10.9,75.6,36.6,341.5,165.0,222.4,189.8,214.3,194.2,275.1,237.3,152.0,15.7,70.5,25.9,649.5,506.6,28.4,114.6,172.8,123.1,3.6,1.3,44.7,766.4,75.4,325.7,59.4,101.4,16.8,14.3,24.3,148.1,0.8,54.1,24.4,8.5,21.2,562.1,170.6,391.6,201.6,145.5,56.2,56.0,49.2,0.8,3.2,2.8,4070.9,271.9,8.8,263.1,64.0,11.8,22.8,17.9,11.4,1224.8,114.3,91.6,1018.9,111.6,69.6,42.0,158.1,118.2,84.5,13.7,20.0,196.7,2.2,10.2,88.2,10.8,85.4,671.0,0.1,223.3,,31.6,415.9,
