年份,全社会固定资产本年资金来源小计,全社会固定资产投资中国家预算内资金,全社会固定资产投资中国内贷款,全社会固定资产投资中利用外资,全社会固定资产投资中自筹和其他资金,全社会固定资产投资中自筹资金,全社会固定资产投资中其他资金
2019,,,,,,,
2018,,,,,,,
2017,639369.3901,38741.7128,72435.1016,2146.3186,526046.2571,417700.0413,108346.2158
2016,616933.4948,36211.6666,67200.299,2270.3382,511251.191,413828.6008,97422.5902
2015,584198.7604,30924.2791,61053.991,2854.4487,489366.0416,414802.3947,74563.6469
2014,543480.5511,26745.4219,65221.0323,4052.861,447461.2359,379737.7977,67723.4382
2013,491612.5154,22305.2551,59442.0359,4319.4445,405545.7799,334280.0157,71265.7642
2012,409675.6463,18958.6617,51593.4959,4468.7778,334654.7109,277792.3587,56862.3522
2011,345984.17,14843.2898,46344.5062,5061.9946,279734.3794,229346.8351,50387.5443
2010,285779.244,13012.7468,44020.8273,4703.6425,224042.0274,178744.3431,45297.6843
2009,250229.7016,12685.7299,39302.8212,4623.7341,193617.4164,153514.8013,40102.6151
2008,182915.2943,7954.7529,26443.7413,5311.9357,143204.8644,118510.445,24694.4194
2007,150803.6125,5857.0572,23044.1967,5132.689,116769.6696,91373.2301,25396.4395
2006,118956.9897,4672.0031,19590.4714,4334.3148,90360.2004,71076.4529,19283.7475
2005,94590.84,4154.2907,16319.0093,3978.7991,70138.7409,55105.7756,15032.9653
2004,74564.88,3254.91,13788.04,3285.68,54236.3,41272.59,12963.7
2003,58616.3,2687.82,12044.36,2599.35,41284.76,31449.8,9834.9
2002,45046.9,3160.96,8859.07,2084.98,30941.91,22816.7,8125.2
2001,37987.0,2546.42,7239.79,1730.73,26470.04,18914.0,7556.1
2000,33110.3,2109.45,6727.27,1696.3,22577.4,16317.3,6260.1
