年份,国内生产总值,农林牧渔业增加值,工业增加值,建筑业增加值,批发和零售业增加值,交通运输、仓储和邮政业增加值,住宿和餐饮业增加值,金融业增加值,房地产业增加值,其他行业增加值
2019,986515.2,73576.9,311858.7,70648.1,95650.9,42466.3,17903.1,76250.6,70444.8,227715.8
2018,919281.129066646,67558.7472089371,301089.349876263,65493.0370851427,88903.7321832173,40337.2474127212,16520.606068113,70610.2562902868,64622.9921496828,204145.160792282
2017,832035.948559918,64660.0402756142,275119.253542733,57905.5575135762,81156.6064833078,37121.8747578051,15056.0444020413,64844.3036374238,57085.9549857745,179086.312961642
2016,746395.059483517,62451.0286109999,245406.435839961,51498.9309330299,73724.4527337003,33028.6940984902,13607.7992081776,59963.9769428358,49969.3954242252,156744.345692098
2015,688858.218049283,59852.6329982801,234968.909896279,47761.3383411058,67719.5749520125,30519.5058925527,12306.1111581181,56299.8478864087,42573.815095032,136856.481829494
2014,643563.104543766,57472.235040888,233197.372297119,45401.6931761126,63170.365458487,28534.4106824144,11228.7432470784,46853.3949304168,38086.3692420211,119618.520469229
2013,592963.229548957,54692.430707006,222333.153837524,40896.7620383839,56288.8537325154,26042.6571599969,10228.2625732899,41293.3785240981,35340.4198914775,105847.311084665
2012,538579.953468974,50581.1983213051,208901.431936053,36896.1171977128,49835.450246036,23763.2427895486,9536.92252687094,35272.1699273166,30751.8623118595,93041.5582122713
2011,487940.180525355,46122.5933920447,195139.132218908,32926.5432799568,43734.4968064008,21841.9675828296,8565.39236691233,30747.2215770144,27780.6672966731,81082.1660046152
2010,412119.255796083,39618.9790222461,165123.124530265,27259.2872969821,35907.9068644806,18783.6191374142,7711.98821023034,25733.0832879512,23326.6160976878,68654.651348826
2009,348517.743734819,34659.656735114,138092.581004441,22681.4668330152,29004.6105380238,16522.4085359417,6957.04852807246,21836.8456041292,18760.5322347916,60002.5937212898
2008,319244.612778466,33428.1240272189,131723.995033523,18807.5654899187,26186.163193858,16367.5689049004,6616.07128846553,18345.5679387287,14600.2526349971,53169.3042668557
2007,270092.323718075,28483.74504723,111690.826772626,15348.0176852166,20941.0950795371,14605.0953360351,5548.11366853728,15199.9526263518,13713.9730103453,44561.5044921965
2006,219438.474816681,24036.3613458218,92235.7969950329,12450.1033236272,16533.4291781685,12186.2505391259,4792.58571133658,9972.28413219642,10320.8705235502,36910.7930678218
2005,187318.903117653,22416.2348014861,77958.3125967485,10400.4579316212,13968.5291001443,10668.7715777319,4195.71660418904,7486.03035789715,8482.7110823537,31742.1390654808
2004,161840.160906841,21410.7346807296,65774.8968455155,8720.49987501373,12455.7973500923,9306.45637554964,3664.82750186816,6600.1927023727,7152.11293079211,26754.6426449071
2003,137422.034917922,17380.5715787179,55362.166672249,7510.75235770434,11171.1758476971,7914.76127617958,3126.05691056563,6045.69452274793,6157.02743516201,22753.8283168985
2002,121717.424748288,16535.6942831749,47774.860227568,6482.11987267623,9996.82768492422,7494.25780543965,2724.75005516694,5555.7874818869,5334.53890058834,19818.5884368627
2001,110863.123046248,15779.9923834323,43854.2791761008,5945.47960579724,9120.75679785151,6871.33726622061,2400.12998671144,5202.78333443564,4705.77712078889,16982.5873749097
2000,100280.139253433,14943.6057773091,40258.5428771211,5534.02002070922,8159.82252574827,6161.87523289249,2146.25994733699,4842.21450032077,4140.88491452378,14092.9134574712
