年份,资本和金融项目差额(贷-借),资本项目差额(贷-借),金融项目差额(贷-借),金融项目中直接投资差额(贷-借),金融项目中我国在外直接投资差额(贷-借),金融项目中外国在华直接投资差额(贷-借),金融项目中证券投资差额(贷-借),金融项目中证券投资的资产差额(贷-借),金融项目中股本证券投资的资产差额(贷-借),金融项目中债务证券投资的资产差额(贷-借),金融项目中(中)长期债券的债务证券投资资产差额(贷-借),金融项目中货币市场工具的债务证券投资资产差额(贷-借),金融项目中证券投资的负债差额(贷-借),金融项目中股本证券投资的负债差额(贷-借),金融项目中债务证券投资的负债差额(贷-借),金融项目中(中)长期债券的债务证券投资的负债差额(贷-借),金融项目中货币市场工具的债务证券投资的负债差额(贷-借),金融项目中其它投资差额(贷-借),金融项目中其它投资的资产差额(贷-借),金融项目中其它投资的贸易信贷资产差额(贷-借),金融项目中其它投资的长期贸易信贷资产差额(贷-借),金融项目中其它投资的短期贸易信贷资产差额(贷-借),金融项目中其它投资的贷款资产差额(贷-借),金融项目中其它投资的长期贷款资产差额(贷-借),金融项目中其它投资的短期贷款资产差额(贷-借),金融项目中其它投资的货币和存款资产差额(贷-借),金融项目中其它投资的其它资产差额(贷-借),金融项目中其它投资的长期其它资产差额(贷-借),金融项目中其它投资的短期其它资产差额(贷-借),金融项目中其它投资的负债差额(贷-借),金融项目中其它投资的贸易信贷负债差额(贷-借),金融项目中其它投资的长期贸易信贷负债差额(贷-借),金融项目中其它投资的短期贸易信贷负债差额(贷-借),金融项目中其它投资的贷款负债差额(贷-借),金融项目中其它投资的长期贷款负债差额(贷-借),金融项目中其它投资的短期贷款负债差额(贷-借),金融项目中其它投资的货币和存款负债差额(贷-借),金融项目中其它投资的其它负债差额(贷-借),金融项目中其它投资的长期其它负债差额(贷-借),金融项目中其它投资的短期其它负债差额(贷-借)
2019,5671823.75732729,-32729.747887,5704553.50521429,5811190.08397415,,,5794764.5385638,-8941884.995902,-2933223.500451,-6008661.495451,,,14736649.5344658,4490604.911609,10246044.6228568,,,-7594990.32342484,-3229121.21688213,3679999.99999999,,,3313128.778859,,,-8632360.95603701,-1323984.58874712,,,-4365869.10654271,-2875000,,,4253977.122906,,,-5573425.89675008,-351694.787071623,,
2018,15322670.6570035,-56860.766662,15379531.4236655,9233847.33524804,,,10687352.5546722,-5350747.40344786,-1771226.16061,-3579521.24283786,,,16038099.95812,6066792.846648,9953726.29773802,,,-2037612.96101499,-14180276.1877035,-6530000.0,,,-8183005.123925,,,-7311096.911786,2239240.09761349,,,12142663.2266885,4080000,,,3211516.102708,,,5143649.06617453,-313474.023898015,,
2017,1792960.91422759,-9149.607344,1802110.52157159,2779098.79195091,,,2949779.30982632,-9480318.77374967,-3769689.970581,-7168973.33667667,,,12430098.083576,3395413.144967,8286381.247977,,,5189441.54716389,-10084711.0552347,-1940000.00000001,,,-3973194.447596,,,-3703338.66418012,1923154.25968242,,,15274152.6023986,-120000,,,4957067.325596,,,10545454.2613758,-318654.555785204,,
2016,2725000.0,-34440.74272,2759400.0,-4167500.0,,,-5227100.0,-10277000.0,-3853965.08932637,-6485608.232468,,,5049900.0,1894531.26282331,2226734.635316,,,-31674100.0,-34990600.0,-10080000.0,,,-11472178.792339,,,-4348335.779369,-7431008.75521263,,,3316500.0,1620000,,,-1956907.432581,,,1015118.46716105,2388701.32021172,,
2015,-9120681.67562714,31609.356628,-9152291.03225514,6809864.97647788,,,-6647006.188331,-7320898.416432,-3967880.044304,-3353018.372128,,,673892.228101001,1496449.65656,-822557.428459,,,-43400361.586762,-8246528.20083473,-4596623.2231,,,-4746429.99266,,,-10012198.806341,6918582.16479327,,,-35153833.3859273,-6228315.7057,,,-16666721.359178,,,-12255232.9998554,-242819.770635873,,
2014,-16917390.55354,-3274.79839200003,-16914115.755148,14496762.6758575,-8041848.542326,28909718.1064335,8242944.738675,-1081474.37202733,-140153.924096,-941320.447931333,-922642.286649333,-18678.161282,9324419.11070234,5191578.89398445,4132840.21671788,4095895.41801562,36944.7987022614,-27875810.9880571,-32890949.0393169,-6875562.2169,-137511.244338,-6738050.972562,-7378737.87178531,-4554769.85491605,-2823968.01686926,-15968169.9563542,-76239.6942773895,,-76239.6942773895,5015138.05125975,-207937.994300004,-3638.91490025007,-204299.079399754,-3432927.89987191,-573062.096263,-2859865.80360891,8137907.00932746,518096.936104204,575591.301094204,-57494.36499
2013,-8527916.27114087,305201.193848,-8833117.46498887,21795755.1783694,-7324400.221931,25821590.249982,5289111.77441312,-535297.391335377,-253106.696646,-282190.694689377,-282081.439389377,-109.2553,5824409.1657485,3259497.07741325,3330453.07424674,1598902.72924358,1731550.34500316,7219958.27844065,-14196231.5748575,-6026614.56,-120532.2912,-5906082.2688,-3194727.34937169,-4215052.00401944,1020324.65464775,-201413.296098848,-4230159.76175774,1000000.0,-5230159.76175774,21416189.8532981,4493653.7,78638.93975,4415014.76025,9344283.1906157,1941284.69032146,7402998.50029423,7576160.86115027,2092.10153216627,79920.2601251663,-77828.158593
2012,-12831738.4135447,427227.697435,-13258966.1109797,17625048.163742,-6235495.972225,25347494.429963,4777927.45700752,-639066.304952224,202923.570679,-841989.875631224,-491007.53825124,-350982.337379984,5416993.76195974,2990270.20741387,2426723.55454587,1729630.38782627,697093.166719606,-26006784.7798962,-23168025.7685894,-6181200.0,-123624.0,-6057576.0,-6533210.60195078,-5679304.99179156,-853905.610159219,-10470957.0192736,25323.5721514278,-1000000.0,1025323.57215143,-2838759.01130681,4232600,74070.5,4158529.5,-1678432.7101,1023696.83,-2702129.5401,-5937602.79228521,544676.49107841,467146.56107841,77529.9300000001
2011,26547043.7755263,544628.797459,26002414.9780673,23165157.8090287,-4842064.10596476,28007221.9149935,1963914.64810331,624768.677208495,110411.879659,514356.797549495,499139.396658044,15217.4008914512,1339145.97089482,530842.7622574,808303.208637416,297508.716942332,510794.491695084,873342.520935232,-18360410.8633383,-7095781.0,-141915.62,-6953865.38,-4527504.42567495,-4332048.45601254,-195455.969662404,-11553127.2609372,4816001.82327377,0.0,4816001.82327377,19233753.3842736,3802691,64565.365,3738125.635,10506106.3637,1302105.0,9204001.3637,4828309.61715645,96646.4034171184,-147585.008782882,244231.4122
2010,28686462.6052254,463045.154024785,28223417.4512006,18574983.5191821,-5795359.9366357,24370343.4558178,2403844.22730131,-764250.638251999,-842909.075521,78658.4372690015,185176.822663001,-106518.385394,3168094.8655533,3135709.3655533,32385.5,32370.5,15.0,7244589.70471726,-11626201.6846644,-6163533.58419584,-431447.350893709,-5732086.23330213,-2104133.61597299,-2766737.8874725,662604.271499511,-5801344.0642518,2442809.57975622,0.0,2442809.57975622,18870791.3893817,4951541.8941,346607.932586999,4604933.961513,7910472.79,1004886.06,6905586.72999999,6034711.73884639,-25935.0335647178,-38374.2286647178,12439.1951
