年份,贷方储备资产,贷方货币黄金储备资产,贷方特别提款权储备资产,贷方在基金组织的储备头寸储备资产,贷方外汇储备资产,贷方其它债权储备资产
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,3122789.94852187,,13882.6731434289,133450.275378445,2975457.0,
2013,132025.990088,0.0,20655.9874979999,111370.00259,0.0,0.0
2012,1355102.842227,0.0,69463.6003429999,161593.241884,1124046.0,0.0
2011,101643.88544995,0.0,46518.2143326829,55125.671117267,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0
2009,14132.59291,0.0,2535.47074,11597.12217,0.0,0.0
2008,10498.61727,0.0,5930.20287,4568.4144,0.0,0.0
2007,47898.3166799999,0.0,3025.6,44872.71668,0.0,0.0
2006,64597.0,0.0,33588.0,31009.0,0.0,0.0
2005,194400.0,0.0,1499.99999999999,192900.0,0.0,0.0
2004,48700.0,0.0,0.0,48700.0,0.0,0.0
2003,26600.0,0.0,8100.0,18500.0,0.0,0.0
2002,18425.924399466,0.0,0.0,18425.924399466,0.0,0.0
2001,0.0,0.0,187.552126572001,3500.0,0.0,0.0
2000,58000.0,0.0,0.0,58000.0,0.0,0.0
