年份,机械设备制造业总投入,机械设备制造业中间使用,农、林、牧、渔业提供给机械设备制造业的中间使用,采矿业提供给机械设备制造业的中间使用,食品、饮料制造及烟草制品业提供给机械设备制造业的中间使用,纺织、服装及皮革产品制造业提供给机械设备制造业的中间使用,其他制造业提供给机械设备制造业的中间使用,电力、热力及水的生产和供应业提供给机械设备制造业的中间使用,炼焦、燃气及石油加工业提供给机械设备制造业的中间使用,化学工业提供给机械设备制造业的中间使用,非金属矿物制品业提供给机械设备制造业的中间使用,金属产品制造业提供给机械设备制造业的中间使用,机械设备制造业提供给机械设备制造业的中间使用,建筑业提供给机械设备制造业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给机械设备制造业的中间使用,批发零售贸易、住宿和餐饮业提供给机械设备制造业的中间使用,房地产业、租赁和商务服务业提供给机械设备制造业的中间使用,金融业提供给机械设备制造业的中间使用,其他服务业提供给机械设备制造业的中间使用,机械设备制造业增加值,机械设备制造业固定资产折旧,机械设备制造业劳动者报酬,机械设备制造业生产税净额,机械设备制造业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,3309824388.27577,2640140890.44942,157262.899915151,3266177.03765952,17657914.1281745,15390995.1794166,4559002.66154467,38146903.8861179,154603915.81727,,49386606.1475501,419863498.779457,1463235140.04276,931580.365998331,,,,,96364180.4545911,669683497.826342,75007431.4961124,292473708.530355,118833232.621997,183369125.177879
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,3237532701.43116,2593410691.17338,273793.174819245,3115818.60898464,14877770.5154122,20222237.1116848,36787937.633007,29792014.5411201,6452608.27614006,173771980.405066,45466764.3943041,457718862.242611,1346666318.65168,5002542.66028873,92858347.2072369,155566036.471954,66147690.5634664,67244202.9020021,71445765.8135972,644122010.257777,75145402.5169072,278708210.105854,92378564.7322892,197889832.902727
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,2583436487.47989,2092464904.31399,190174.078387558,4233025.36330011,9864683.71073171,13602758.4212879,29359994.0276077,30933788.4868754,9711740.79438996,148771053.267605,34344498.9448046,439035055.780409,1045910420.60541,3860360.68714429,72177674.7115858,107852738.804949,37150325.0622707,50963528.0896534,54503083.4775796,490971583.165892,59871462.273022,229213675.386193,74144389.0350911,127742056.471586
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,2345737070.91639,1918493266.60151,116271.35536369,6878701.69577159,8014624.6052345,12733874.8306202,48608147.8189588,35824634.4469656,13237790.977802,136763028.847635,32050748.763647,414545659.334656,961425152.525429,649157.523516963,64019969.4790977,79939569.1049086,35843173.934541,33031104.591358,34811656.7660067,427243804.314874,51324246.7809692,181948157.225608,76508815.3334567,117462584.97484
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1456899652.83944,1176814542.47194,52775.8726865191,4529452.57982993,4588265.16657691,7051854.63001237,29281267.08398,20913526.5017935,8646251.72258532,84842149.8679516,16861737.477407,258485039.967389,610576583.086427,336203.140981248,32480739.1641406,44524690.4580065,17337407.170806,17270879.6574097,19035718.9239546,280085110.367505,32159130.3741196,99998540.2772227,59209569.2534116,88717870.4627511
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,908864181.26649,720950146.79484,253354.129382901,6800130.94128882,709.39551663107,3994504.02221694,15791682.9911707,16085838.3488389,6423030.45909493,71895353.7831298,15328671.5603479,146463704.545723,327664398.290788,578242.266970297,36589157.5445865,36318386.4502862,18980117.597365,8639184.10115966,9143680.36697343,187914034.47165,27582031.529921,67836822.9005589,31905725.2201815,60589454.8209888
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,444322891.409176,333721139.640844,111058.6637496,2442910.94607909,345.433416152065,1934548.12054538,7263082.69563736,6776944.22380139,2221718.69242757,30438265.5641779,5821777.06400991,62980220.73732,161357091.852121,217570.494834632,11346932.9816784,20006052.7969238,11947151.1711314,5142130.96698508,3713337.23600481,110601751.768332,15039311.6679537,45865650.9336499,22052278.9123984,27644510.2543304
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,416297688.060152,316494112.822,101902.94,1992402.165,4396.3,2495449.1,5855303.265,5646931.0,3606135.41,37294993.0,4514651.2,60529836.0,161245584.7,409796.0,8072905.822,14260571.1,5040606.68,4320328.0,1102320.14,99803575.2381524,17599116.582302,44696373.7703003,16238911.4185002,21269173.4670499
