年份,运输仓储邮政、信息传输、计算机服务和软件业总投入,运输仓储邮政、信息传输、计算机服务和软件业中间使用,农、林、牧、渔业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,采矿业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,食品、饮料制造及烟草制品业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,纺织、服装及皮革产品制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,其他制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,电力、热力及水的生产和供应业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,炼焦、燃气及石油加工业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,化学工业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,非金属矿物制品业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,金属产品制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,机械设备制造业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,建筑业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,批发零售贸易、住宿和餐饮业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,房地产业、租赁和商务服务业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,金融业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,其他服务业提供给运输仓储邮政、信息传输、计算机服务和软件业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业增加值,运输仓储邮政、信息传输、计算机服务和软件业固定资产折旧,运输仓储邮政、信息传输、计算机服务和软件业劳动者报酬,运输仓储邮政、信息传输、计算机服务和软件业生产税净额,运输仓储邮政、信息传输、计算机服务和软件业营业盈余
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1193191609.79384,704844446.547086,7930998.97595036,534159.001659559,15057078.2816651,4323132.53683338,18420864.8340612,9297988.50408616,88116118.1572802,12445402.3733629,1253890.13249673,3723803.49669373,137104789.378367,7669438.95665267,194586432.653253,46824986.2384642,45468199.1491998,85355295.2195245,26731868.6575352,488347163.246759,124296303.695144,257101763.149234,-384623.458305275,107333719.860686
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,870517515.273177,523175307.957565,8469781.90628293,579644.645139318,9860567.80322971,2870133.45209189,12206073.8782695,9589233.44116312,97820235.2397445,9867406.43889017,959658.240954675,4415210.58797944,94154491.5683931,5971732.48040487,127969385.202654,29892261.3745437,26867495.5710789,61492484.4094094,20189511.7173354,347342207.315612,80036868.652569,146990164.089588,12481612.9534102,107833561.620045
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,661343668.186574,378202315.471045,11463047.4512121,2393010.64483581,4222020.71911074,4502406.88036279,8831213.2465044,11218001.9933007,90207336.8543497,9386463.54252704,1107051.50734572,5495407.08676304,75779844.8372442,2889553.57883848,59453606.343564,23534924.3670249,18591085.9326516,31965144.1112881,17162196.3741215,283141352.715529,57375756.1209184,104106145.574784,22632647.4705041,99026803.5493221
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,424612908.130587,214575371.648912,3797406.65114685,1515689.42251721,2650461.27119658,2625754.60002473,4105473.56005747,6241333.56806496,59857020.2367151,4595095.03450046,557256.555791571,2439405.39318473,46287539.4847024,1369374.9165555,30896051.673226,12111215.5970087,8333011.71428967,17250417.2020149,9942864.76791517,210037536.481675,53504991.3739698,51981000.1016928,17670207.3333332,86881337.6726796
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,350611486.089967,193915206.595385,3534741.45279987,2155261.68414102,720542.094619645,1371664.11928667,5766340.02906594,7365134.60219632,42836257.1509129,3620578.94984873,482062.572729936,2583349.05380134,49306843.9490017,4889866.05271194,37461067.3195544,11066662.7611634,5591783.74556209,10018543.3563986,5144507.70159008,156696279.494582,40680122.3968609,37220936.4741839,13247314.043899,65547906.5796382
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,146064292.101843,75805408.6920599,1316764.23965889,777985.650559427,361186.748743006,619769.914808304,1442645.80937563,2104394.80113531,18079700.9438263,1372514.04494536,256964.222222002,828340.337091978,14442298.930436,1961900.18090857,16286143.0105676,4253101.00107497,3046149.54912217,7251456.06416638,1404093.24341811,70258883.4097833,18403661.9567898,30961105.2412657,6110360.43879114,14783755.7729367
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,105707978.729791,51245687.263,126774.34,388500.391,483231.0,555077.1,1700366.4,2520127.0,11542863.6,1426581.0,247507.4,526231.5,17182136.47,2081578.0,4130580.23,2097770.0,3845842.1,1617536.0,772984.732,54462291.4667909,19920751.9395261,22579368.4224762,3381508.62448572,8580662.48030282
