年份,农村居民消费,农、林、牧、渔业用于农村居民消费的金额,采矿业用于农村居民消费的金额,食品、饮料制造及烟草制品业用于农村居民消费的金额,纺织、服装及皮革产品制造业用于农村居民消费的金额,其他制造业用于农村居民消费的金额,电力、热力及水的生产和供应业用于农村居民消费的金额,炼焦、燃气及石油加工业用于农村居民消费的金额,化学工业用于农村居民消费的金额,非金属矿物制品业用于农村居民消费的金额,金属产品制造业用于农村居民消费的金额,机械设备制造业用于农村居民消费的金额,建筑业用于农村居民消费的金额,运输仓储邮政、信息传输、计算机服务和软件业用于农村居民消费的金额,批发零售贸易、住宿和餐饮业用于农村居民消费的金额,房地产业、租赁和商务服务业用于农村居民消费的金额,金融业用于农村居民消费的金额,其他服务业用于农村居民消费的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,647387865.680441,86826037.5669583,809172.271890281,164402927.265019,22072083.1962839,1022482.01723457,8114404.50432964,18750287.9095808,,1260281.25224654,719856.62654848,34211645.1104738,,,,,,109674596.853075
2016,,,,,,,,,,,,,,,,,,
2015,591432851.313041,63351858.2394243,1704464.86975962,125031078.52,32677738.9953321,17980595.5085509,12483301.426838,10151697.0022656,19610177.9856206,2163696.73742888,1098185.87609708,42864709.2645384,,29092336.7411581,46462590.0460146,93795747.6143457,22504991.796272,70459680.6893947
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,452228451.56,80368698.4715759,992965.997672397,104067822.75911,22379729.7561671,6847689.73021963,7214289.82896097,2721232.03289078,10841058.4891874,1493455.37041276,876818.786699993,26404380.6630502,,23879560.4054797,46133906.5418365,47127056.6894162,14231498.7684422,56648287.2638858
2011,,,,,,,,,,,,,,,,,,
2010,325752111.37,57424947.6164632,839009.126142842,77371622.4704841,17804619.6763851,6905167.05494857,7619661.59081842,1265143.65694542,7851246.14791967,293452.056780284,787098.537314422,19804819.4490945,,15042863.3549282,38590033.9138582,29591979.6274244,10004163.5472791,34556283.5412952
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,243172440.41,51593464.1814479,873463.11209023,44016662.2803272,12015253.8791819,3582899.56852341,5590814.63704616,1370560.33301704,6135329.72910943,502316.044210614,704375.664574074,14357404.3521302,,11611531.9734021,33575643.3579794,23599829.6921232,7070858.25838468,26572033.3452646
2006,,,,,,,,,,,,,,,,,,
2005,192281799.65,49565041.7202434,610128.791399146,33230146.2750961,8082866.59973508,2986255.6745253,2675758.74147815,922789.422954749,5864261.25703246,1245151.39651582,1047235.05655393,11299741.829391,,8698598.06458529,16078867.959433,22729305.8295358,5763400.0,21482251.0326242
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,162717000.0,49328791.5725105,778639.832236615,24895830.9018921,6498773.22978009,2463038.63242766,2290655.2559682,415227.229217308,4982991.34281098,995231.803313909,757054.083014139,6166088.86372333,,4683771.16932833,14151138.0825331,22260259.5749772,5371883.13256443,16677625.2937021
2001,,,,,,,,,,,,,,,,,,
2000,246034170.0,64185460.959079,792332.583024223,40425924.3988601,12596968.9521987,4968866.9149888,2131846.77987476,477818.82652206,7748718.44814823,1971900.96332046,1705711.928124,14883423.0042316,,6563143.68228735,11563064.74,14860589.4523759,5712306.02413672,7093228.36199779
