年份,固定资本形成总额,农、林、牧、渔业用于固定资本形成总额的金额,采矿业用于固定资本形成总额的金额,食品、饮料制造及烟草制品业用于固定资本形成总额的金额,纺织、服装及皮革产品制造业用于固定资本形成总额的金额,其他制造业用于固定资本形成总额的金额,电力、热力及水的生产和供应业用于固定资本形成总额的金额,炼焦、燃气及石油加工业用于固定资本形成总额的金额,化学工业用于固定资本形成总额的金额,非金属矿物制品业用于固定资本形成总额的金额,金属产品制造业用于固定资本形成总额的金额,机械设备制造业用于固定资本形成总额的金额,建筑业用于固定资本形成总额的金额,运输仓储邮政、信息传输、计算机服务和软件业用于固定资本形成总额的金额,批发零售贸易、住宿和餐饮业用于固定资本形成总额的金额,房地产业、租赁和商务服务业用于固定资本形成总额的金额,金融业用于固定资本形成总额的金额,其他服务业用于固定资本形成总额的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,3591511331.42459,19909101.2391924,,,,,,,,,25586644.4124361,784260648.148057,2180439905.42086,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,2919390015.5642,32581985.7057019,,,,17921458.818029,,,,,29364354.6789868,722782855.732906,1790724840.0,152694530.786888,68562574.2774884,95956515.5642024,,8800900.0
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,2377506059.98963,30944274.3902495,,,,17645127.30565,,,,,28568213.0603529,760593392.398938,1289122577.61883,97809381.829401,46661633.3965823,94064000.0,,12097459.9896293
2011,,,,,,,,,,,,,,,,,,
2010,1836151622.3,33947967.1447719,,,,28962231.6199725,,,,,4527207.23538518,655167021.357308,962683064.403476,37733559.32143,28964571.2176557,74636000.0,,9530000.0
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,1054358700.0,10671736.3009226,,,,19632058.5303488,,,,,9529549.15565702,355016413.91598,588465911.689337,14974384.5804981,18821091.920114,34062553.9071428,,3185000.0
2006,,,,,,,,,,,,,,,,,,
2005,773048005.658478,14119437.2530266,,,,6213608.32313829,,,,,8834199.73778974,266360662.483776,412394111.961125,11461104.4846421,17868881.41498,33730300.0,,2065700.0
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,436321000.0,7727340.61559297,,,,2595050.08080483,,,,,3215874.75072707,125817797.766345,272753592.325233,1975652.37703038,9547810.23282421,11426735.0726962,,1261146.77874707
2001,,,,,,,,,,,,,,,,,,
2000,326238000.320994,7239835.71474033,,,,2188983.66296955,,,,,2165857.47899423,88229098.9174006,216877093.846889,771846.1,3721584.6,5043700.0,,
