年份,存货增加,农、林、牧、渔业用于存货增加的金额,采矿业用于存货增加的金额,食品、饮料制造及烟草制品业用于存货增加的金额,纺织、服装及皮革产品制造业用于存货增加的金额,其他制造业用于存货增加的金额,电力、热力及水的生产和供应业用于存货增加的金额,炼焦、燃气及石油加用于存货增加的金额,化学用于存货增加的金额,非金属矿物制品业用于存货增加的金额,金属产品制造业用于存货增加的金额,机械设备制造业用于存货增加的金额,建筑业用于存货增加的金额,运输仓储邮政、信息传输、计算机服务和软件业用于存货增加的金额,批发零售贸易、住宿和餐饮业用于存货增加的金额,房地产业、租赁和商务服务业用于存货增加的金额,金融业用于存货增加的金额,其他服务业用于存货增加的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,53091323.6904089,4099101.83544647,3156725.56283968,15002842.0984874,-1482809.87201344,789101.118771975,703047.435663845,7393133.50044022,,781168.5101971,2832141.32819654,10115646.4446922,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,113327150.851123,4545441.35573672,1957567.59331084,20590618.7467937,19615870.8778509,14730909.5494872,,-2068018.6053725,-8139197.48377072,-2040553.26295603,-26362544.4142508,73152724.2234382,,1530812.07951762,15813520.1913382,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,106392893.970236,35981552.8125143,6175683.95284262,18035235.4084296,3423087.80468042,8429873.87669377,,5035428.12549727,2298943.21622989,-681010.32412904,2609079.94970421,13325465.8959442,,2999267.97482461,8760285.27700444,,,
2011,,,,,,,,,,,,,,,,,,
2010,99887489.9717605,3861073.74791735,10193968.7647735,12601815.1204779,6945181.03324553,5520937.60557574,147042.603852219,-391919.643674476,11652841.2910067,4335521.98016248,11941958.0866862,33079069.3817374,,,,,,
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,54835514.4051362,9744621.6195591,2491280.50273482,9481045.33996816,2525505.26513485,2446765.10424126,,-531633.116678275,4922679.00705045,541400.819932353,7807989.08410699,14118999.3236524,,259669.671367684,1027191.78406646,,,
2006,,,,,,,,,,,,,,,,,,
2005,33415001.0050369,1352181.22263762,-3908317.30062631,27908079.2360999,4614341.68139564,-3629673.11068008,,24347.856065466,-9444649.01001801,1770327.19680415,-4053935.11136354,15212995.8018958,,1689442.97506828,1879859.56775802,,,
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,19329000.0,3319719.73030378,1923194.25998719,2698465.19243423,125848.726596016,1427937.9711627,,-349708.0,2433749.81524113,-1465234.11955529,-36341.7010262061,7441837.94663146,,424044.359969707,1385485.96731656,,,
2001,,,,,,,,,,,,,,,,,,
2000,-1240000.0,3848220.78,1526456.0,-2541879.19,-1980675.82,-1334132.35464604,,-1517859.73813034,902689.864570015,-50600.18,-1942471.2493407,1930977.91234706,,-17218.793,-63507.2318,,,
