年份,为生产电力、热力及水的生产和供应业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对其他服务业部门中间产品的完全消耗量
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,0.024459312213103,0.319769519237271,0.031749384964627,0.01795988697802,0.01290156230045,0.422645356555883,0.145852814416311,,0.015207799417823,0.085116314627923,0.277281316619032,0.006343603647271,,,,,0.098758715947911
2016,,,,,,,,,,,,,,,,,
2015,0.042517232974605,0.042517232974605,0.05071400574419,0.027192721285257,0.05686977652314,0.702441808324941,0.100079749623896,0.125358318471002,0.020592310922484,0.129627823271365,0.340796647938843,0.014739965187196,0.111332319964768,0.100816377834653,0.090446023774393,0.177446455965296,0.070458202705958
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,0.027401572815188,0.44002305209368,0.030605365558412,0.018595673996756,0.045816297954903,0.54801361105386,0.108440974994092,0.105575939462226,0.01730339873518,0.133034969155002,0.276159949738135,0.011752345637333,0.081828173730968,0.068700445203015,0.05705789642569,0.128192442981538,0.050566744515659
2011,,,,,,,,,,,,,,,,,
2010,0.034083361167748,0.445329256251507,0.030349225905492,0.029400063067623,0.052283611029702,0.584626829302071,0.095998387445513,0.126321254204369,0.025100697319333,0.161072459550348,0.35931596493013,0.003190019377196,0.096343214521025,0.065518377393052,0.038713143541537,0.098769417368611,0.064678912465539
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,0.028045759300599,0.312980417476863,0.026458224871801,0.027156754896225,0.052056657375668,0.638489727713406,0.117024603685805,0.115788024424954,0.020160831930839,0.163692240803578,0.37173666474148,0.002719977375992,0.083610745774585,0.059470473019914,0.030629494979728,0.087958064498825,0.064866374621118
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
