年份,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产运输仓储邮政、信息传输、计算机服务和软件业部门单位最终产品，对其他服务业部门中间产品的完全消耗量
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,
2015,0.054043581308187,0.097964647040841,0.058192343804214,0.028102388385212,0.061952223365767,0.063158155523114,0.126986825870109,0.11382799302343,0.016965670794479,0.104586481928151,0.314953863124511,0.013193386190957,0.252844805615277,0.106794533682708,0.113416737236116,0.144410337940475,0.05657698633882
2014,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2012,0.048791633372738,0.170804346638574,0.045320513686835,0.023776695291034,0.057839471251243,0.068014256730015,0.177283601888508,0.113336995085637,0.016595245490989,0.120977170521168,0.283065036292679,0.013646277499642,0.223270567851532,0.088818275723463,0.088126672633499,0.132906208926335,0.05303635861846
2011,,,,,,,,,,,,,,,,,
2010,0.059910701395037,0.20396811287195,0.03905926118269,0.031359576101336,0.059899052950833,0.095200056962942,0.197694245535748,0.125785479437689,0.020026862060027,0.131216739230714,0.319310377529861,0.007284643310817,0.156239427258299,0.08245891345599,0.061163145389837,0.087335570934921,0.053050070080761
2009,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,
2007,0.040421225572966,0.17629463203455,0.030804956328023,0.027334374130652,0.051684789515627,0.089871075106644,0.198625444736948,0.107180623936851,0.015379373399938,0.127172829294626,0.302769772648688,0.005369143876286,0.126409067212811,0.068292073399661,0.043567710540205,0.070776057171095,0.048323341087615
2006,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
