年份,其他制造业总投入,其他制造业部门生产1单位总产出对中间投入产品的消耗量,其他制造业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,其他制造业部门生产1单位总产出对采矿业部门产品的消耗量,其他制造业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量,其他制造业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,其他制造业部门生产1单位总产出对其他制造业部门产品的消耗量,其他制造业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,其他制造业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,其他制造业部门生产1单位总产出对化学工业部门产品的消耗量,其他制造业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,其他制造业部门生产1单位总产出对金属产品制造业部门产品的消耗量,其他制造业部门生产1单位总产出对机械设备制造业部门产品的消耗量,其他制造业部门生产1单位总产出对建筑业部门产品的消耗量,其他制造业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,其他制造业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,其他制造业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,其他制造业部门生产1单位总产出对金融业部门产品的消耗量,其他制造业部门生产1单位总产出对其他服务业部门产品的消耗量,其他制造业部门生产1单位总产出对增加值产品的消耗量,其他制造业部门生产1单位总产出对劳动者报酬产品的消耗量,其他制造业部门生产1单位总产出对生产税净额产品的消耗量,其他制造业部门生产1单位总产出对固定资产折旧产品的消耗量,其他制造业部门生产1单位总产出对营业盈余产品的消耗量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1.0,0.430861933722138,0.018532588688811,0.001466086958749,0.004148424797844,0.029974298737773,0.069279734780642,0.016938293485513,0.068130019467087,,0.003227839109261,0.065655358139673,0.065735376963116,0.00050566618315,,,,,0.018762485581821,0.569138066277862,0.135896639834516,0.110988524855655,0.026909134660424,0.295343766927268
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1.0,0.786567632617058,0.06618389238498,0.004969594228759,0.008672248267537,0.044152883704352,0.293418520667688,0.018141276268733,0.003337286553488,0.108368799779198,0.005376953705582,0.062853739470782,0.031541847696746,0.002215590195123,0.036479603654423,0.043202085624337,0.021636307233729,0.023371954700627,0.012645048480974,0.213432367382942,0.094749702444868,0.033326569929658,0.025352181574239,0.060003913434178
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,0.72710361574016,0.063162460342863,0.0086358706121,0.005460617365406,0.037210673336502,0.285792909272301,0.019607072315388,0.004661410014775,0.103617885188008,0.004802865518324,0.064522345989198,0.023290431333661,0.001780265134687,0.030538443154405,0.032987995408938,0.013661754944198,0.018031225044976,0.009339390764431,0.27289638425984,0.10236971435897,0.037760877099287,0.030673302188795,0.102092490612788
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,0.732660613562406,0.076909701535174,0.007973308145009,0.005997357329203,0.039460442721985,0.285763477882879,0.024128455231674,0.00598547564661,0.102954801030538,0.008182090928752,0.053181877429214,0.030715976551864,0.000223900052626,0.030780159674822,0.026262963381799,0.012364411420851,0.013786947564092,0.007989267035312,0.267339386437594,0.080593910048076,0.036931000714521,0.024482642611282,0.125331833063716
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.0,0.691753027465278,0.069475431493437,0.00581237233726,0.005221988963671,0.037196195625061,0.276101839268931,0.021382311901646,0.005628824072345,0.10211745310388,0.007495481573243,0.053592710317361,0.029642240032798,0.000194884543174,0.025983447014588,0.023293642390055,0.010194410360184,0.011252398272724,0.007167396194922,0.308246972534722,0.082662304897512,0.0462566035503,0.02439855797146,0.154929506115451
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
