年份,建筑业总投入,建筑业部门生产1单位总产出对中间投入产品的消耗量,建筑业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,建筑业部门生产1单位总产出对采矿业部门产品的消耗量,建筑业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量,建筑业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,建筑业部门生产1单位总产出对其他制造业部门产品的消耗量,建筑业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,建筑业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,建筑业部门生产1单位总产出对化学工业部门产品的消耗量,建筑业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,建筑业部门生产1单位总产出对金属产品制造业部门产品的消耗量,建筑业部门生产1单位总产出对机械设备制造业部门产品的消耗量,建筑业部门生产1单位总产出对建筑业部门产品的消耗量,建筑业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,建筑业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,建筑业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,建筑业部门生产1单位总产出对金融业部门产品的消耗量,建筑业部门生产1单位总产出对其他服务业部门产品的消耗量,建筑业部门生产1单位总产出对增加值产品的消耗量,建筑业部门生产1单位总产出对劳动者报酬产品的消耗量,建筑业部门生产1单位总产出对生产税净额产品的消耗量,建筑业部门生产1单位总产出对固定资产折旧产品的消耗量,建筑业部门生产1单位总产出对营业盈余产品的消耗量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1.0,0.758293620033832,0.008287885229925,0.008369592612158,0.002126411442753,0.001362981967423,0.001390130579651,0.013479238639733,0.058801183204207,,0.176670725243541,0.153726915222343,0.05040851560901,0.031938273127498,,,,,0.030410383023869,0.241706379966168,0.149536293662,0.035288394314193,0.008556879445815,0.04832481254416
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1.0,0.769514675430407,0.009133215559816,0.006266818016852,0.003874036322473,0.006563418189932,0.029653937102068,0.01269202495266,0.010298881089179,0.04681718834585,0.194462710737059,0.165650177108093,0.057371593548179,0.03208619432562,0.058470980418778,0.033078761716198,0.010561655863911,0.036065431275293,0.05646765085845,0.230485324569592,0.144010678291302,0.032667485964882,0.008046395237663,0.045760765075745
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,0.734477378074243,0.007885763912841,0.005856616115217,0.002504303017075,0.004384798770243,0.027090835866831,0.013685694433942,0.012684608985538,0.043760651117904,0.194522994952569,0.199817124982119,0.050941295520981,0.026946427685643,0.042603382567396,0.024454753359708,0.006839717537923,0.027819306410389,0.042679102837922,0.265522621925757,0.162046744261952,0.03694807391781,0.011874307312655,0.054653496433341
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,0.739494628813591,0.004388966852812,0.010884062579664,0.003988032608884,0.004645271189401,0.022409863539324,0.007818763472595,0.012877572107357,0.030816021622085,0.226353924930898,0.157013698883694,0.076075510933104,0.010595837828242,0.107741868524333,0.034566193895329,0.004182138879637,0.009450838682588,0.015686062283644,0.260505371186409,0.148368177993072,0.041203021252204,0.014414112844451,0.056520059096683
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.0,0.768605711689905,0.004134134841233,0.0142152915828,0.003904248728934,0.004275224406694,0.022168857045367,0.013559232575041,0.020308571047358,0.039138240177516,0.212606910881912,0.192731564940766,0.08175462364749,0.009534748685326,0.090507160937295,0.032249240613998,0.004055669011326,0.008755172505674,0.014706820061176,0.231394288310094,0.118066259462247,0.028704042373138,0.012367134549147,0.072256851925563
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
