年份,批发零售贸易、住宿和餐饮业总投入,批发零售贸易、住宿和餐饮业部门生产1单位总产出对中间投入产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对采矿业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对其他制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对化学工业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对金属产品制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对机械设备制造业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对建筑业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对金融业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对其他服务业部门产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对增加值产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对劳动者报酬产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对生产税净额产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对固定资产折旧产品的消耗量,批发零售贸易、住宿和餐饮业部门生产1单位总产出对营业盈余产品的消耗量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1.0,0.420119601156652,0.026603034201203,1.9698406498e-05,0.074808836344133,0.003120316283251,0.009459570304798,0.008166352614624,0.00249146237749,0.003081815772758,0.00011765252843,0.000332369467938,0.015767489028435,0.002574400422731,0.035682408060645,0.042940437463338,0.147858232898644,0.033835639745884,0.013259885235853,0.579880398843348,0.269646324034724,0.121467067174174,0.028783589742433,0.159983417892017
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,0.378280049665963,0.027234819643515,4.1108726229e-05,0.076690070429713,0.003354533400103,0.009265157291111,0.010584223974021,0.003742041175811,0.003699838181794,0.000155288039274,0.00041095116283,0.01346313853868,0.002906745416801,0.033948532961485,0.04058310303193,0.107044850841829,0.033082486438525,0.012073160412314,0.621719950334037,0.221796456436968,0.179772919215415,0.040431037736453,0.179719536945201
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,0.402987183642584,0.038652857384774,0.00041337641218,0.119137706748613,0.009189505337647,0.009121967227249,0.016646590107191,0.003738135354569,0.008227475419328,0.000854344844464,0.000963659117526,0.017832389003183,0.002385645875001,0.055318025322008,0.024577288793897,0.052149983822983,0.026986759360379,0.016791473511592,0.597012816357416,0.205232798580084,0.143015503712452,0.047080460768175,0.201684053296705
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.0,0.475367255635203,0.040887785755827,0.001265861761984,0.105266323441359,0.011092862707233,0.017433746429916,0.020358409154194,0.006127030684434,0.010482856662322,0.000800785208479,0.001315929522192,0.02860450692937,0.002923423559779,0.073132577004258,0.032245017177434,0.06551057566342,0.032250200318341,0.02566936365466,0.524632744364797,0.131197194722594,0.110435873464947,0.040415923064431,0.242583753112826
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
