年份,金属产品制造业总投入,金属产品制造业部门生产1单位总产出对中间投入产品的消耗量,金属产品制造业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,金属产品制造业部门生产1单位总产出对采矿业部门产品的消耗量,金属产品制造业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量,金属产品制造业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对其他制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,金属产品制造业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,金属产品制造业部门生产1单位总产出对化学工业部门产品的消耗量,金属产品制造业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,金属产品制造业部门生产1单位总产出对金属产品制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对机械设备制造业部门产品的消耗量,金属产品制造业部门生产1单位总产出对建筑业部门产品的消耗量,金属产品制造业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,金属产品制造业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,金属产品制造业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,金属产品制造业部门生产1单位总产出对金融业部门产品的消耗量,金属产品制造业部门生产1单位总产出对其他服务业部门产品的消耗量,金属产品制造业部门生产1单位总产出对增加值产品的消耗量,金属产品制造业部门生产1单位总产出对劳动者报酬产品的消耗量,金属产品制造业部门生产1单位总产出对生产税净额产品的消耗量,金属产品制造业部门生产1单位总产出对固定资产折旧产品的消耗量,金属产品制造业部门生产1单位总产出对营业盈余产品的消耗量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,1.0,0.76980110751907,8.0336236062e-05,0.14414965789224,0.006313433755721,0.001847241134736,0.039476845957502,0.04846749990384,0.052564386214351,,0.013848847384902,0.331304397707683,0.025321645910871,0.000157195009534,,,,,0.016767597139432,0.23019889248093,0.084212784223812,0.033854100117667,0.034680525942375,0.077451482197076
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,1.0,0.847573516234981,0.000264547554796,0.131147566447961,0.006216643872487,0.003538323263807,0.034672610174184,0.056738272427707,0.033556108662621,0.02938789531638,0.018289662143504,0.37924629605554,0.038309765375859,0.001613891143161,0.029837289868706,0.022051942605664,0.012027093867828,0.036947403828337,0.013728203626439,0.152426483765019,0.058573205706336,0.028501521673411,0.028490485058845,0.036861271326427
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,0.815678025433106,0.000194740174583,0.149394432232878,0.004011365639407,0.002200347218525,0.040565066659342,0.043469972569303,0.037657862990061,0.023777367133615,0.014844901371484,0.386486173509533,0.028966006275252,0.001216840786663,0.024366461585426,0.01438784998195,0.006607442127818,0.027347463040844,0.010183732136421,0.184321974566894,0.063286819580887,0.029810684223747,0.033275775136669,0.057948695625591
2011,,,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,0.819855763559253,0.000117380794353,0.184300869438642,0.003266067324547,0.002848384453306,0.03766808279879,0.052820015436185,0.035772241098836,0.01952739408425,0.01928551068374,0.33629208591694,0.050879173587438,0.000285038197571,0.028396265153082,0.023137442481784,0.003220939070276,0.013061417644733,0.008977455394779,0.180144236440747,0.06746044812207,0.031449954668765,0.03480480451465,0.046429029135263
2009,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
2007,1.0,0.801835068219945,9.2392827626e-05,0.13402050015326,0.003157412723112,0.002719608306796,0.043960112043736,0.047778244111089,0.039036294876335,0.018958015860641,0.012878129013167,0.37718745431579,0.049419919248221,0.000261189458514,0.028344191275461,0.021182584335281,0.002609771479231,0.011428038445507,0.008801209746177,0.198164931780055,0.055475065095216,0.049175168914331,0.027145204961761,0.066369492808747
2006,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
