年份,政府部门实物交易资金运用_净出口,政府部门实物交易资金运用_增加值,政府部门实物交易资金运用_劳动者报酬,政府部门实物交易资金运用_工资及工资性收入,政府部门实物交易资金运用_单位社会保险付款,政府部门实物交易资金运用_生产税净额,政府部门实物交易资金运用_生产税,政府部门实物交易资金运用_生产补贴,政府部门实物交易资金运用_财产收入,政府部门实物交易资金运用_利息,政府部门实物交易资金运用_红利,政府部门实物交易资金运用_地租,政府部门实物交易资金运用_其他财产收入,政府部门实物交易资金运用_初次分配总收入,政府部门实物交易资金运用_经常转移,政府部门实物交易资金运用_收入税,政府部门实物交易资金运用_社会保险缴款,政府部门实物交易资金运用_社会保险福利,政府部门实物交易资金运用_社会补助,政府部门实物交易资金运用_其他经常转移,政府部门实物交易资金运用_可支配总收入,政府部门实物交易资金运用_最终消费,政府部门实物交易资金运用_居民消费,政府部门实物交易资金运用_政府消费,政府部门实物交易资金运用_总储蓄,政府部门实物交易资金运用_资本转移,政府部门实物交易资金运用_投资性补助,政府部门实物交易资金运用_其他资本转移,政府部门实物交易资金运用_资本形成总额,政府部门实物交易资金运用_固定资本形成总额,政府部门实物交易资金运用_存货增加,政府部门实物交易资金运用_其他非金融资产获得减处置,政府部门实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,81435.0071898274,,,289.691008137622,,,10485.0685002645,8620.36544443158,,,1864.70305583287,,64673.5887685865,,,49586.7,14868.6832923223,218.205476264215,,,,,,11803.8401584297,11745.6665216678,58.1736367619158,70526.1724637799,70477.632440863,48.5400229168818,-18086.4530452339,-44968.4965145732
2017,,,62200.4222206711,,,369.975299987341,,,9756.33625325346,7778.52858870277,,,1977.80766455069,,74327.1856437975,,12351.76,48652.99,13105.6922059488,216.74343784869,,119188.0,,119188.0,,9906.66765445695,9884.90494472952,21.7627097274279,53434.0760029139,52219.3804837864,1214.69551912752,-14345.9881841308,-21036.1245750768
2016,,,53966.9386823627,,,342.350798740044,,,9498.06275881613,7802.55389339614,,,1695.50886541999,,67156.2688277289,,11088.6033,43604.8474,12230.0608460594,232.757281669493,,106467.0,,106467.0,,9045.82126704423,9002.0361225834,43.7851444608298,47513.2507489582,46592.6975876191,920.553161339093,-10234.8222588779,-20401.7203891239
2015,,,48215.8634490861,,,318.647023498113,,,7758.52729846278,7748.72729846278,,,9.8,,61150.1413415226,,10244.1680663699,39117.6609268015,11396.5862942189,391.726054132278,,96286.4,,96286.4,,8762.8648564284,8750.59887493405,12.2659814943525,37759.3237944667,37370.1924281144,389.131366352306,-5749.51285928111,-6009.01533615683
2014,,,41014.0791479275,,,304.993532886782,,,6313.06696433777,6313.06696433777,,,,,52827.7438299071,,8446.725595,33680.572168,10419.1763979608,281.269668946245,,85773.0,,85773.0,,8283.12902047643,8161.87595243448,121.253068041948,33577.2989985195,33142.4409968048,434.858001714696,-6444.08488254997,4418.68031914073
2013,,,37081.8730996347,,,286.134288323247,,,5760.18804621232,5760.18804621232,,,,,46454.3703752291,,7425.7608,28743.9264,9899.63709129029,385.046083938832,,81245.9,,81245.9,,7793.5785306671,7707.34359611097,86.234934556126,28262.6085536507,27879.7917688431,382.816784807555,-7461.68717393444,4393.48954548447
2012,,,33604.9797657147,,,261.886275100593,,,7697.52967918007,6850.58267918007,,,846.947,,39681.248838144,,6349.4244,23930.6977,8541.9090330012,859.217705142835,,71409.0,,71409.0,,6640.07160363143,6622.54401217583,17.527591455598,26122.4280831134,25744.1575223218,378.270560791651,-6317.98594139729,6453.78627010034
2011,,,34400.0215201856,,,300.843121005599,,,6788.89434344033,6156.00194344033,,,632.8924,,34189.5535556929,,5416.3794,20363.89,7444.17553154888,965.108624144,,63154.9,,63154.9,,6230.69892541008,6219.44472476208,11.254200648,23868.3606744154,23433.5747804835,434.785893931967,-9033.18675862392,8408.06858512021
2010,,,30784.8287044313,,,256.797758200508,,,4999.99523316185,4621.56753316185,,,378.4277,,26337.3625299989,,3244.9,16207.243134,6011.70478653894,873.51460946,,53356.4,,53356.4,,5187.04953031832,5174.52257056832,12.52695975,22900.0397180333,22557.0573326279,342.982385405356,-11799.5328113143,6076.57405984958
2009,,,27499.13012615,,,210.165919133921,,,4131.2689172081,3813.8005529816,,,317.4683642265,,20524.07651801,,1694.7,12302.6,6136.6139,390.16261801,,45690.2,,45690.2,,3830.95434893689,3817.29234893689,13.662,19574.2507342591,19306.9918218316,267.258912427448,-7530.59622031318,2044.98878816633
2008,,,23889.80345,,,498.230582126769,,,3854.31157345228,3587.13707345228,,,267.1745,,16730.235175881,,1560.83,9925.1,5061.73,182.575175881,,41752.1,,41752.1,,3181.21526799007,3162.56915715007,18.64611084,15064.7707579058,14713.1292579058,351.6415,-4421.97327849,5735.98970136105
2007,,,20640.858298,,,594.43956535102,,,2545.38320734088,2380.48320734088,,,164.9,,12539.82574808,,1218.87,7887.9,3269.44989,163.60585808,,35900.4,,35900.4,,2524.05493240924,2507.65918760924,16.3957448,11571.3723818641,11571.3723818641,,-6611.3146993862,8462.73198397593
2006,,,16651.832891667,,,486.012615577961,,,1898.41474691879,1796.04044691879,,,102.3743,,10291.663453548,,960.4,6477.4,2735.81,118.053453548,,30528.4,,30528.4,,1971.65097638759,1965.08540190759,6.56557448,10231.4299703403,10231.4299703403,,-4345.772849138,1897.6565533414
2005,,,14470.610331202,,,418.313423204996,,,1332.09969739064,1255.00275301064,,,77.09694438,,8355.946206806,,668.1,5400.8,2179.35,107.696206806,,26398.83,,26398.83,,1786.33573481963,1781.96573481963,4.37,8385.82629280538,8385.82629280538,,-3179.87587442095,-336.739235076284
2004,,,12768.347304151,,,349.812671996186,,,1111.41073580067,1052.54073580067,,,58.87,,7226.113846656,,612.62,4627.4,1966.32,19.773846656,,22334.12,,22334.12,,1500.18725628342,1494.47405628342,5.7132,7568.30525827924,7568.30525827924,,-3425.13543607294,-1384.86122722145
2003,,,10909.727883774,,,168.02,,,1246.38807775991,1202.18807775991,,,44.2,,6059.06776872,,558.0,4016.4,1472.546,12.12176872,,20035.7,,20035.7,,4041.34349745726,4041.34349745726,,6265.58760500645,6265.58760500645,,-3212.5122,-5146.02032706789
2002,,,9712.76675574,,,150.56,,,870.718558728937,835.318558728937,,,35.4,,5173.71495334,,565.1,3471.5,1123.64,13.47495334,,18759.9,,18759.9,,3655.70090519552,3655.70090519552,,4017.1254808049,4017.1254808049,,-1210.813051518,-5695.46325998556
2001,,,8052.721568,,,120.825893894611,,,962.064303643287,922.444303643287,,,39.62,,4250.57690144,,360.6162,2748.0,1124.83,17.13070144,,17498.0,,17498.0,,3449.23015631822,3449.23015631822,,3390.02680415396,3390.02680415396,,-649.24069461,-7353.50383018417
2000,,,6438.3265488,,,105.945650284267,,,874.925177350046,828.045177350046,,,46.88,,3666.35516448,,323.3656,2385.6,949.4607,7.92886448,,15661.4,,15661.4,,2938.00263232725,2938.00263232725,,2986.61892662126,2986.61892662126,,-298.3879848,-6965.1818575102
