年份,非金融企业部门实物交易资金运用_净出口,非金融企业部门实物交易资金运用_增加值,非金融企业部门实物交易资金运用_劳动者报酬,非金融企业部门实物交易资金运用_工资及工资性收入,非金融企业部门实物交易资金运用_单位社会保险付款,非金融企业部门实物交易资金运用_生产税净额,非金融企业部门实物交易资金运用_生产税,非金融企业部门实物交易资金运用_生产补贴,非金融企业部门实物交易资金运用_财产收入,非金融企业部门实物交易资金运用_利息,非金融企业部门实物交易资金运用_红利,非金融企业部门实物交易资金运用_地租,非金融企业部门实物交易资金运用_其他财产收入,非金融企业部门实物交易资金运用_初次分配总收入,非金融企业部门实物交易资金运用_经常转移,非金融企业部门实物交易资金运用_收入税,非金融企业部门实物交易资金运用_社会保险缴款,非金融企业部门实物交易资金运用_社会保险福利,非金融企业部门实物交易资金运用_社会补助,非金融企业部门实物交易资金运用_其他经常转移,非金融企业部门实物交易资金运用_可支配总收入,非金融企业部门实物交易资金运用_最终消费,非金融企业部门实物交易资金运用_居民消费,非金融企业部门实物交易资金运用_政府消费,非金融企业部门实物交易资金运用_总储蓄,非金融企业部门实物交易资金运用_资本转移,非金融企业部门实物交易资金运用_投资性补助,非金融企业部门实物交易资金运用_其他资本转移,非金融企业部门实物交易资金运用_资本形成总额,非金融企业部门实物交易资金运用_固定资本形成总额,非金融企业部门实物交易资金运用_存货增加,非金融企业部门实物交易资金运用_其他非金融资产获得减处置,非金融企业部门实物交易资金运用_净金融投资
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,250203.393567066,,,87929.6842905708,,,60907.322426675,28433.8218066833,24802.0319439917,7668.776876,2.6918,,32796.1528056744,27630.7775955116,,,442.548837523526,4722.82637263928,,,,,,,,,227174.015352216,219484.128796206,7689.88655600957,51817.7599048104,-93337.5417475012
2017,,,220487.224618961,,,82449.7434641077,,,64811.4335046916,30988.7538965194,26026.3478519885,7791.9947561837,4.337,,29610.5486975535,24182.2868735769,,,384.825076107414,5043.43674786917,,,,,,,,,258780.112174146,246650.349820448,12129.7623536979,41101.3132018404,-150997.849031361
2016,,,185224.530130623,,,74999.3148793848,,,62002.8124990331,29289.273203546,25860.3280553809,6845.6089401061,7.6023,,25152.9390516964,20131.6206704702,,,334.630500962969,4686.68788026319,,,,,,,,,228317.675788937,219125.173713184,9192.50207575381,29322.780560832,-130196.714282283
2015,,,172402.986519345,,,67736.720818332,,,56503.9383872258,25830.9679483507,23789.4058388751,6697.6752,185.8894,,23688.4771484191,18741.0962044722,,,290.983044315625,4656.39789963132,,,,,,3736.5737,,3736.5737,200717.847519846,192556.024481749,8161.82303809722,21345.5764870249,-103871.179528403
2014,,,162388.213474132,,,69823.0288605717,,,50388.725635556,25099.3945923776,18131.2326431784,5810.8399,1347.2585,,22113.2404605742,17627.4090024001,,,253.0287341875,4232.80272398659,,,,,,3815.9999,,3815.9999,191859.078578662,182738.163731919,9120.91484674247,23924.2367337796,-95175.1527659866
2013,,,147383.069647847,,,65701.3169287025,,,48864.3198793164,22246.6143302008,19995.6164491156,5070.1182,1551.9709,,21908.8752731687,16537.0415097395,,,191.326075,5180.50768842927,,,,,,3196.8007,,3196.8007,172643.31046435,164613.932409064,8029.37805528587,30833.3290678216,-98761.7430833455
2012,,,119076.02307854,,,63208.7826200253,,,51673.6099950383,30116.0232219492,15319.0164748727,4360.126282584,1878.4440156324,,19309.1184225139,14751.5608281167,,,166.3705,4391.18709439721,,,,,,2661.7675,,2661.7675,163348.128968903,155414.105539633,7934.02342927053,20769.8145675342,-101281.236617206
2011,,,98610.2142448124,,,57843.2056312496,,,44709.3442658607,23905.594098578,16449.8240672828,3033.2061,1320.72,,16933.222514469,13367.0466479005,,,144.67,3421.50586656851,,,,,,2005.3175,,2005.3175,147080.401732964,137960.999308538,9119.40242442651,23626.1861324267,-87501.9937013765
2010,,,84068.1009168353,,,48936.7413674455,,,32011.7945905086,15766.0208518871,12800.0608453047,2402.0775257363,1043.6353675805,,12266.371009079,10193.8787377778,,,125.81,1946.68227130114,,,,,,1278.3,,1278.3,129794.415163831,122600.542407944,7193.87275588709,21689.0343279511,-75518.0527394723
2009,,,73831.8938315403,,,38824.2852400393,,,26284.1375674344,13714.6577127628,10114.7232026716,1707.210314,747.546338,,10073.5161491073,8353.89152926392,,,109.417831,1610.20678884335,,,,,,719.56,,719.56,110710.262552782,105104.649288976,5605.61326380526,14101.0796974498,-57542.5253079862
2008,,,67129.0297477405,,,35237.2777824225,,,24353.5041262591,14813.5451201478,7510.32890611136,1312.6201,717.01,,10509.2757667709,8717.31651554759,,,95.14594,1696.81331122334,,,,,,537.43,,537.43,95647.7026921359,88272.2096221359,7375.49307,8758.27735312475,-36329.9058046439
2007,,,57175.56618895,,,30491.7615717974,,,19541.814275676,10706.2265268316,7346.53714884433,941.2166,547.834,,8152.76929113932,6907.44688616777,,,95.14594,1150.17646497155,,,,,,403.1,,403.1,76258.5987060374,69988.6907646845,6269.90794135291,9633.20739495864,-29579.2903664209
2006,,,48030.3659899833,,,24994.5394140971,,,16006.2882670429,8916.3814220389,6134.884545004,560.4934,394.5289,,6193.43781292546,5146.75959606964,,,71.944,974.734216855823,,,,,,231.47,,231.47,62000.0465919784,57518.091108219,4481.95548375948,6343.83579233235,-23923.1599112247
2005,,,41978.3127825076,,,21310.9312181855,,,11518.4219987421,5487.91855825112,5709.977440491,292.3404,28.1856,,5176.70935054927,4247.11278462918,,,62.56,867.03656592009,,,,,,140.314,,140.314,47514.6264215052,44266.1180809097,3248.50834059551,4635.27993553267,-13520.3851694741
2004,,,36368.8001608286,,,18340.6476694957,,,8134.10456747603,4754.32305443602,3198.43391304,164.6876,16.66,,4296.53767929911,3491.72989938193,,,54.4,750.407779917179,,,,,,75.04,,75.04,44090.408938176,40459.4120465507,3630.99689162534,5011.23382456802,-14435.5493758179
2003,,,33085.3285190234,,,15048.0351818652,,,7046.48593450427,4009.24802854426,2869.20030596,115.7376,52.3,,3259.2115886334,2607.52298372379,,,47.304347826087,604.384257083517,,,,,,37.28,,37.28,36367.4284138519,33970.0465956701,2397.38181818182,4798.61553563752,-12826.862761672
