年份,住户部门金融交易资金运用_净金融投资,住户部门金融交易资金运用_资金运用,住户部门金融交易资金运用_资金来源,住户部门金融交易资金运用_通货,住户部门金融交易资金运用_存款,住户部门金融交易资金运用_贷款,住户部门金融交易资金运用_证券,住户部门金融交易资金运用_证券投资基金份额,住户部门金融交易资金运用_证券公司客户保证金,住户部门金融交易资金运用_保险准备金,住户部门金融交易资金运用_未贴现的银行承兑汇票,住户部门金融交易资金运用_金融机构往来,住户部门金融交易资金运用_准备金,住户部门金融交易资金运用_库存现金,住户部门金融交易资金运用_中央银行贷款,住户部门金融交易资金运用_其他(净),住户部门金融交易资金运用_直接投资,住户部门金融交易资金运用_其他对外债权债务,住户部门金融交易资金运用_国际储备资产,住户部门金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,55347.5508619834,135700.936183139,,1968.60580279382,77091.6944905982,,,5600.58623969853,-366.3965296198,22155.1785614413,,,,,,26510.6688827392,,,,
2017,42482.0,121970.0,,2086.0,49603.0,,,6935.0,-1466.0,19914.0,,,,,,41068.0,,,,
2016,47870.1498466124,118698.298866017,,4516.53896527857,59333.7582357154,,4742.619938,3975.2028,-2105.8737711296,16997.8225348732,,,,,,31238.2301632791,,,,
2015,81184.7125223753,122681.759449181,,2101.33487841,46817.7538962317,,8155.960815,8927.414,4231.5537705976,14446.4328808764,,,,,,38001.309208065,,,,
2014,50328.0,88407.0,,1132.0,44788.0,,2720.0,3837.0,2045.0,13262.0,,,,,,20624.0,,,,
2013,48913.0858645606,90763.3721157646,,3249.77996658342,55887.6184799641,,4881.3775338783,368.59609,-84.6175787238,13160.2305794948,,,,,,13300.3870445678,,,,
2012,69335.0,97059.0,,3245.0,58929.0,,4493.0,3097.0,-408.0,13628.0,,,,,,14076.0,,,,
2011,48644.0,74140.0,,4961.0,47690.0,,2484.0,606.0,-1840.0,6417.0,,,,,,13823.0,,,,
2010,37715.0646894748,68262.8233594748,,5441.4451348925,44491.542902,,6498.48016323793,-456.530796920308,-737.23539791568,5638.12372,,,,,,7386.9976341804,,,,
2009,35907.0,60796.0,,3358.0,43160.0,,4507.0,-1035.0,2356.0,8396.0,,,,,,54.0,,,,
2008,50290.0,57302.0,,3413.0,46543.0,,1748.0,2936.0,-5340.0,8084.0,,,,,,-81.0,,,,
2007,23119.0,35098.0,,2741.0,10407.0,,1912.0,3438.0,8986.0,6221.0,,,,,,1410.0,,,,
2006,27706.0,34370.0,,2524.0,21284.0,,1083.0,1519.0,3416.0,4365.0,,,,,,185.0,,,,
2005,26372.1733724484,29913.011565248,,2127.59655213069,21053.4569981216,,270.438487802216,,,4201.5604016,,,,,,1343.4676758775,,,,
2004,15450.3564928123,21252.8493347475,,1434.20286319225,15678.2397324632,,511.1419539884,,,3515.8214634,,,,,,139.42214437,,,,
2003,16122.3884066712,23110.0111602622,,2048.0,16559.6931996589,,1306.7248296638,,,3036.0411,,,,,,142.4785468467,,,,
2002,14646.5369466841,19720.8540838068,,1319.06111680596,14251.7036840049,,1514.8014050105,,,2543.138323,,,,,,94.34,,,,
2001,10611.12,14117.9,,873.87,9973.25,,1907.66,,,1155.93,,,,,,241.91,,,,
2000,,,,,,,,,,,,,,,,,,,,
