年份,国外部门金融交易资金来源_净金融投资,国外部门金融交易资金来源_资金运用,国外部门金融交易资金来源_资金来源,国外部门金融交易资金来源_通货,国外部门金融交易资金来源_存款,国外部门金融交易资金来源_贷款,国外部门金融交易资金来源_证券,国外部门金融交易资金来源_证券投资基金份额,国外部门金融交易资金来源_证券公司客户保证金,国外部门金融交易资金来源_保险准备金,国外部门金融交易资金来源_未贴现的银行承兑汇票,国外部门金融交易资金来源_金融机构往来,国外部门金融交易资金来源_准备金,国外部门金融交易资金来源_库存现金,国外部门金融交易资金来源_中央银行贷款,国外部门金融交易资金来源_其他(净),国外部门金融交易资金来源_直接投资,国外部门金融交易资金来源_其他对外债权债务,国外部门金融交易资金来源_国际储备资产,国外部门金融交易资金来源_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,,,24623.8394414291,,404.739811574454,1183.82876935559,,,,,,7442.10858207084,,-24.8516164974138,,,6383.9780414275,3897.33954838871,1249.84015281377,
2017,,,25538.0,,3336.0,3492.0,,,,,,1468.0,,4.0,,,6881.0,-229.0,6179.0,
2016,,,14442.2698384212,,3122.48117765953,2697.10042084623,6125.55687636587,,,,,5685.89520535758,,14.6123325961256,,,14427.1842680231,11838.7955126445,-29469.3559550718,
2015,,,2644.62068550228,,5498.44643995599,3147.2036829948,2474.92549883418,,,,,-494.282144876224,,14.2289876638,,,11297.9840178457,2096.60612452363,-21390.4919214396,
2014,,,31216.0,,5334.0,2303.0,85.0,,,,,6035.0,,260.0,,,4903.0,5115.0,7181.0,
2013,,,39874.1738650159,,3278.51177240102,2670.96359421264,156.107250514192,,,,,-3908.19398399351,,22.0711830263392,,,4517.43077311919,6531.3273038839,26605.9559718521,
2012,,,24947.0,,2527.0,2624.0,-128.0,,,,,5363.0,,43.0,,,3919.0,4529.0,6069.0,
2011,,,38492.0,,3026.0,1417.0,-71.0,,,,,4291.0,,30.0,,,3211.0,1530.0,25057.0,
2010,,,39976.8640000375,,,1814.201419,,,,,,-221.479630602347,,,,,4071.8999029698,2377.8688616173,31934.3734470527,
2009,,,27211.0,,,3448.0,,,,,,-4530.0,,,,,2999.0,-1922.0,27216.0,
2008,,,41752.0,,2411.0,2820.0,,,,,,1286.0,,,,,3716.0,2401.0,29119.0,
2007,,,43423.0,,168.0,1470.0,,,,,,,,-187.0,,,1201.0,8154.0,32618.0,
2006,,,32369.0,,790.0,-393.0,,,,,,,,33.0,,,1421.0,10825.0,19692.0,
2005,,,24013.4412381057,,845.165704614,1064.358557878,,,,,,,,-23.1309154553,,,926.128043896,4242.790175173,16958.129672,
2004,,,16529.01459328,,-1572.1319190085,799.368295152,,,,,,,,-100.3344884635,,,149.400626704,172.376526896,17080.335552,
2003,,,10909.84922217,,501.9060113348,-1152.770898,,,,,,,,40.4117195152,,,-12.60371898,1846.9041213,9686.001987,
2002,,,7713.89234886,,192.5179042776,446.2230024,,,,,,,,13.2721534824,,,208.44854739,603.71138511,6249.7193562,
2001,,,4473.79,,215.17,-1267.47,,,,,,,,50.84,,,569.89,988.35,3917.01,
2000,,,,,,,,,,,,,,,,,,,,
