年份,出口商品总额,初级产品出口额,食品及主要供食用的活动物出口额,饮料及烟类出口额,非食用原料出口额,矿物燃料、润滑油及有关原料出口额,动、植物油脂及蜡出口额,工业制成品出口额,化学品及有关产品出口额,轻纺产品、橡胶制品矿冶产品及其制品出口额,机械及运输设备出口额,杂项制品出口额,未分类的其他商品出口额
2019,2499482.089188,133969.569535,65000.160868,3467.858343,17224.103749,47123.139733,1154.306842,2365512.519653,161765.389938,406732.633337,1195443.574242,583502.153019,18068.769117
2018,2486682.0,134992.829,65471.187,3713.236,18021.011,46722.217,1065.178,2351688.681,167465.649,404659.166,1207787.541,565605.763,6170.562
2017,2263345.0,117733.186,62626.14,3468.288,15439.768,35389.098,809.892,2145638.143,141293.46,368564.136,1082329.148,547691.707,5759.692
2016,2097631.193,105186.792,61097.646,3539.152,13101.67,26873.185,575.138,1992444.401,121928.761,351244.676,984212.264,529488.414,5570.285
2015,2273468.224113,103927.110256,58154.355898999995,3309.2902999999997,13917.136332,27901.511433,644.816292,2169541.1138569997,129579.574716,391017.71135399997,1059118.224089,587444.659047,2380.9446510000002
2014,2342293.0,112692.127,58913.616,2883.014,15826.367,34446.007,623.122,2229600.57,134543.225,400224.208,1070504.351,622061.623,2267.162
2013,2209004.0,107267.627,55726.089,2608.873,14562.732,33786.102,583.832,2101736.372,119617.54,360606.39,1038534.386,581249.011,1729.045
2012,2048714.0,100558.212,52074.909,2590.405,14341.466,31006.959,544.473,1948156.134,113565.357,333140.809,964361.302,535671.874,1416.792
2011,1898381.0,100545.0,50493.0,2276.0,14977.0,32274.0,526.0,1797836.0,114788.0,319560.0,901774.0,459370.0,2343.0
2010,1577754.0,81685.755,41148.26,1905.91,11603.027,26673.092,355.465,1496068.56,87571.926,249108.067,780268.755,377651.927,1467.884
2009,1201612.0,63111.794,32627.782,1640.951,8153.077,20373.732,316.252,1138483.473,62017.021,184815.98,590274.465,299746.872,1629.134
2008,1430693.0,77956.932,32761.992,1529.425,11318.901,31772.923,573.691,1352736.134,79346.416,262391.215,673329.153,335959.317,1710.033
2007,1220060.0,61509.101,30742.648,1396.535,9116.295,19950.868,302.755,1156266.655,60323.845,219877.195,577044.663,296844.464,2176.487
2006,968978.0,52919.0,25723.0,1193.0,7860.0,17770.0,373.0,916017.0,44530.0,174816.0,456343.0,238014.0,2315.0
2005,761953.0,49037.0,22480.0,1183.0,7484.0,17622.0,268.0,712916.0,35772.0,129121.0,352234.0,194183.0,1606.0
2004,593326.0,40549.0,18864.0,1214.0,5843.2,14480.0,148.0,552777.0,26360.0,100646.0,268260.0,156398.0,1112.0
2003,438228.0,34812.0,17531.0,1019.0,5032.0,11114.0,115.0,403416.0,19581.0,69018.0,187773.0,126088.0,956.0
2002,325596.0,28540.0,14621.0,984.0,4402.0,8435.0,98.0,297056.0,15325.0,52955.0,126976.0,101153.0,648.0
2001,266098.0,26338.0,12777.0,873.0,4172.0,8405.0,111.0,239760.0,13352.0,43813.0,94901.0,87110.0,584.0
2000,249203.0,25460.0,12282.0,745.0,4462.0,7855.0,116.0,223743.0,12098.0,42546.0,82600.0,86278.0,221.0
