年份,合同利用外资项目,合同利用外资额,外商直接投资项目,合同利用外商直接投资金额,合同利用外商其他投资额
2019,40888,,40888,,
2018,60533,,60533,,
2017,35652,,35652,,
2016,27900,,27900,,
2015,26575,,26575,,
2014,23778,,23778,,
2013,22773,,22773,,
2012,24925,,24925,,
2011,27712,,27712,,
2010,27406,,27406,,
2009,23435,,23435,,
2008,27514,,27514,,
2007,37871,,37871,,
2006,41473,19821600.0,41473,19372700.0,448900.0
2005,44001,19259300.0,44001,18906500.0,352800.0
2004,43664,15658800.0,43664,15347900.0,310900.0
2003,41081,11690100.0,41081,11506900.0,183200.0
2002,34171,8475100.0,34171,8276800.0,198200.0
2001,26140,7197600.0,26140,6919500.0,278100.0
2000,22347,7113000.0,22347,6238000.0,875000.0
