年份,中国同拉丁美洲进出口总额,中国同安提瓜和巴布达进出口总额,中国同阿根廷进出口总额,中国同阿鲁巴岛进出口总额,中国同巴哈马进出口总额,中国同巴巴多斯进出口总额,中国同伯利兹进出口总额,中国同玻利维亚进出口总额,中国同博内尔进出口总额,中国同巴西进出口总额,中国同开曼群岛进出口总额,中国同智利进出口总额,中国同哥伦比亚进出口总额,中国同多米尼克进出口总额,中国同哥斯达黎加进出口总额,中国同古巴进出口总额,中国同库腊索岛进出口总额,中国同多米尼加共和国进出口总额,中国同厄瓜多尔进出口总额,中国同法属圭亚那进出口总额,中国同格林纳达进出口总额,中国同瓜德罗普岛进出口总额,中国同危地马拉进出口总额,中国同圭亚那进出口总额,中国同海地进出口总额,中国同洪都拉斯进出口总额,中国同牙买加进出口总额,中国同马提尼克岛进出口总额,中国同墨西哥进出口总额,中国同蒙特塞拉特进出口总额,中国同尼加拉瓜进出口总额,中国同巴拿马进出口总额,中国同巴拉圭进出口总额,中国同秘鲁进出口总额,中国同波多黎各进出口总额,中国同萨巴进出口总额,中国同圣卢西亚进出口总额,中国同圣马丁岛进出口总额,中国同圣文森特和格林纳丁斯进出口总额,中国同萨尔瓦多进出口总额,中国同苏里南进出口总额,中国同特立尼达和多巴哥进出口总额,中国同特克斯和凯科斯群岛进出口总额,中国同乌拉圭进出口总额,中国同委内瑞拉进出口总额,中国同英属维尔京群岛进出口总额,中国同圣其茨-尼维斯进出口总额,中国同荷属安地列斯群岛进出口总额,中国同拉美其他国家(地区)进出口总额
2019,31762305.8756,7200.5995,1427513.3552,3904.2029,43405.9186,17639.8047,11697.9058,117629.9493,1.0459,11550161.0959,3838.8235,4094103.9158,1564242.7573,3422.6252,224389.1102,128363.7204,4180.1869,284476.0254,727080.4252,1750.7456,1459.2387,4612.582,259772.6649,31890.0834,56532.7436,97224.7076,70028.8286,2684.358,6071670.2019,42.2028,54762.5731,839652.9085,144846.437,2370868.0733,155472.9263,0.8755,2174.7273,658.9508,2129.2856,111456.4369,28804.1505,103266.8981,303.0557,491670.4853,640041.0116,1071.0054,1007.5203,1717.0691,1474.8767
2018,30717170.2,5540.5,1193522.5,3240.4,49290.7,15800.6,9292.2,116587.3,63.6,11123439.0,10128.2,4260434.0,1460559.8,3461.6,243995.4,155592.1,4106.8,228850.8,570652.7,1400.1,1314.9,4262.1,241946.4,26511.7,62340.2,103599.9,65964.0,2231.3,5801882.8,33.8,57971.4,702189.5,171121.4,2297899.4,177609.8,0.7,1891.8,1320.8,3719.6,109161.3,26789.2,73255.9,300.7,462065.1,857718.6,3684.2,1255.6,2876.4,292.0
2017,25859011.6,4487.8,1382143.8,2430.9,29950.2,13256.9,8766.0,108375.0,111.8,8780769.3,25697.8,3558538.1,1132518.9,4983.8,228670.4,175503.2,2969.4,187053.5,409094.6,1602.2,1071.2,3761.3,206624.1,22702.9,54018.4,86875.8,56466.3,2721.7,4770862.6,27.4,65254.2,668899.6,159358.5,2032623.9,109410.4,0.5,1597.2,954.7,4253.2,88892.3,20378.7,61222.3,271.8,480174.1,896632.7,1195.1,939.1,4437.1,453.5
2016,21700736.4,13348.6,1232179.7,2567.0,41115.9,9106.7,9092.9,93664.3,66.9,6783431.7,16912.3,3141170.5,930074.7,3475.4,219270.9,205685.7,2315.0,169746.9,319794.8,1318.3,735.0,3359.3,195567.2,20661.6,46041.9,74852.0,52186.8,2366.1,4269215.8,34.9,64210.1,638174.0,119208.6,1548237.1,127115.1,5.5,1698.7,681.7,1754.2,81816.2,16602.5,52130.1,90.9,372135.5,808235.5,3714.0,464.8,4946.8,155.6
2015,23589324.7,5307.7,1452258.2,4828.4,160973.7,8402.7,8028.3,101267.1,34.7,7150158.3,6094.5,3172928.5,1112593.4,3141.0,215663.7,221637.5,2774.6,176544.2,412986.5,1444.3,993.9,3316.5,225376.7,20832.1,44469.0,88927.7,65668.3,2455.7,4381927.2,49.8,70097.8,883409.5,130974.5,1430489.4,164933.1,7.5,1836.1,1268.7,3716.7,78044.6,25005.3,51751.7,74.7,437110.5,1209348.6,42418.5,1119.0,6383.5,238.7
2014,26327752.8596,17240.181,1292677.3516000002,23785.6566,74306.1026,8625.7449,10313.369,119850.7784,4743.2195,8654335.9382,846.2713,3400337.6676,1564222.4772,3760.6038999999996,529580.7046,139548.06629999998,2565.3393,154743.048,430965.16160000005,1294.9492,1486.9853999999998,3652.8703,191867.96899999998,20750.7583,40621.1371,84820.3242,56055.7925,2439.7199,4342880.4458,42.548899999999996,61150.24250000001,943488.4528000001,145186.9679,1424171.9334000002,204022.0345,10.483,2993.5906999999997,597.5305999999999,3729.4028,61236.5228,22953.6737,52871.0911,109.98530000000001,508758.4477,1697747.509,11498.2688,2708.6423,5989.3856,167.5129
2013,26139024.5,24582.1,1483619.8,2148.2,33678.7,8289.8,13075.0,80724.3,3.5,9019459.4,1145.3,3381315.4,1044630.8,2307.8,568503.1,187942.0,2155.8,133552.6,374210.9,1459.1,760.4,3052.3,164924.2,18126.7,33850.4,103390.8,63087.0,2369.9,3920477.7,17.3,61473.7,1103667.8,141717.1,1459690.0,170990.8,123.4,1990.6,303.7,2523.2,53094.4,20212.1,44089.2,38.6,479002.2,1918459.8,1115.6,1586.8,5952.9,132.4
2012,26128785.1,74704.8,1443018.8,2948.7,70896.2,10655.5,6029.9,67599.3,5.4,8574896.0,11370.2,3322612.4,938649.8,2644.5,617199.5,174275.3,2629.4,143960.1,355231.9,1551.0,1987.3,3431.7,135217.4,22560.0,29367.6,130770.3,81678.3,2237.6,3667509.4,4.8,58263.7,1535904.2,138363.6,1379883.4,153860.0,90.0,2890.5,218.9,2906.2,49789.3,21246.5,45184.2,29.7,432448.6,2384754.4,15382.9,283.9,11563.8,
2011,24138749.847999997,65682.2917,1475933.6691,1772.4234,61303.8145,15057.0497,5239.3039,65799.3865,3.3147,8423112.1723,2963.4924,3138528.5425,823361.0088,2688.5337,472855.2808,194769.4866,2020.6991,125426.7467,280349.6262,1286.3642,591.2752,3839.6578999999997,127731.9296,14714.0084,31100.7227,56853.6696,37488.3907,2758.0962,3334445.698,10.2663,44639.876299999996,1459866.82,129254.3812,1250999.0192,160018.3131,27.4011,1043.9417,342.9163,7796.3054999999995,45636.8987,15208.4595,62667.2024,39.9755,341494.9147,1826010.82,15546.6223,486.0144,9933.4479,49.4256
2010,18363966.8,80621.4,1291989.5,1175.8,62796.3,7516.5,4057.4,36206.9,3.0,6258587.0,1391.6,2597770.7,592332.0,4342.1,379488.0,183150.7,1563.1,103507.7,200277.1,679.3,511.9,3090.5,105452.6,10075.0,26171.3,41597.1,23933.4,2383.8,2476012.2,3.5,30667.3,1198356.6,109647.1,993456.7,114266.1,,823.8,279.5,7373.7,37267.9,12718.3,39913.1,42.4,262941.6,1036146.6,14182.9,297.3,8843.5,55.0
