年份,中国从亚洲进口总额,中国从阿富汗进口总额,中国从巴林进口总额,中国从孟加拉国进口总额,中国从不丹进口总额,中国从文莱进口总额,中国从缅甸进口总额,中国从柬埔寨进口总额,中国从塞浦路斯进口总额,中国从朝鲜进口总额,中国从中国香港进口总额,中国从印度进口总额,中国从印度尼西亚进口总额,中国从伊朗进口总额,中国从伊拉克进口总额,中国从以色列进口总额,中国从日本进口总额,中国从约旦进口总额,中国从科威特进口总额,中国从老挝进口总额,中国从黎巴嫩进口总额,中国从中国澳门进口总额,中国从马来西亚进口总额,中国从马尔代夫进口总额,中国从蒙古进口总额,中国从尼泊尔进口总额,中国从阿曼进口总额,中国从巴基斯坦进口总额,中国从巴勒斯坦进口总额,中国从菲律宾进口总额,中国从卡塔尔进口总额,中国从沙特阿拉伯进口总额,中国从新加坡进口总额,中国从韩国进口总额,中国从斯里兰卡进口总额,中国从叙利亚进口总额,中国从泰国进口总额,中国从土耳其进口总额,中国从阿联酋进口总额,中国从也门共和国进口总额,中国从越南进口总额,中国从中华人民共和国进口总额,中国从中国台湾进口总额,中国从东帝汶进口总额,中国从哈萨克斯坦进口总额,中国从吉尔吉斯斯坦进口总额,中国从塔吉克斯坦进口总额,中国从土库曼斯坦进口总额,中国从乌兹别克斯坦进口总额,中国从亚洲其他国家(地区)进口总额
2019,114658229.5581,2927.9265,19533.0151,103653.3766,4.6967,45287.7043,638805.9154,144432.3229,5528.1032,21524.0258,906716.0516,1798587.9105,3411387.4419,1344562.9531,2392733.6322,515418.532,17176869.564,43406.0039,1344747.4953,215700.039,2600.7161,6707.6949,7190997.5137,3371.8734,633435.7304,3353.8072,1965015.5145,180612.5989,13.9926,2019939.3176,871310.7686,5419593.6612,3523781.8236,17355902.5773,39700.8323,140.9486,4616164.9902,349681.9906,1533673.8558,86662.5199,6411667.4838,12979219.8042,17301276.191,2456.4329,927366.9859,6604.1403,8461.9584,868602.2768,218078.1409,6.7065
2018,119298429.1,2407.9,15012.5,98442.3,0.8,24751.0,468433.8,137665.5,5398.8,21315.2,850236.7,1883334.7,3414977.6,2110228.0,2249527.4,464115.7,18066053.7,21418.2,1534386.6,201815.3,4898.4,6408.7,6320504.6,103.3,634411.2,2200.0,1889851.1,217208.6,44.4,2061160.0,914639.0,4585438.0,3372777.2,20464340.1,32174.5,86.9,4462963.7,375686.0,1623776.7,71993.3,6395634.9,14622157.0,17759986.9,301.4,852660.9,5432.7,7684.4,811937.0,232446.0,0.3
2017,103018440.7,342.8,12394.6,87514.5,17.7,35181.0,452634.8,100758.2,5334.2,173098.7,731718.4,1634537.1,2857430.6,1855369.3,1381411.2,420623.6,16579400.6,27918.5,893495.0,160499.7,2304.0,10400.0,5442613.9,62.1,516731.3,1785.4,1338327.8,183321.9,11.8,1923917.7,640027.4,3176187.3,3424962.4,17755315.4,31003.0,133.4,4159608.3,378343.0,1231115.8,65996.2,5037461.7,13236937.2,15596059.1,157.3,637869.1,8705.5,4673.7,657512.6,147144.9,71.2
2016,90579343.6,453.4,6372.3,86939.8,13.2,22154.6,409770.9,83051.3,4778.7,257245.5,1670066.7,1176412.5,2141403.6,1482719.2,1066327.1,317290.3,14567068.8,21116.1,637028.4,135960.8,1767.3,14033.8,4926963.7,23.8,362260.1,2240.6,1204102.4,191259.3,30.9,1739589.1,401237.4,2362601.9,2601424.9,15897453.1,27344.4,326.4,3853234.3,278541.5,999436.3,16602.8,3717160.4,12802993.1,13884722.5,29.2,480507.9,7123.5,3124.5,556329.5,160705.8,0.2
2015,95430935.7,1177.1,11154.3,81684.5,35.0,10115.6,544929.5,66659.5,4990.6,256768.5,1274581.3,1336855.3,1988619.4,1605744.7,1267463.0,280203.1,14290257.3,28752.1,749706.5,154734.1,1732.3,18536.0,5327733.1,17.7,379537.7,3200.2,1504742.0,247476.4,44.3,1896565.4,461436.6,3002105.1,2758076.3,17450608.3,25851.6,358.8,3716874.5,294363.8,1151403.2,89813.8,2983174.5,14336930.9,14320421.5,72.5,584894.7,5857.1,5203.5,782766.1,126706.4,
2014,108509735.9779,1737.1806,18396.4392,76110.7883,10.447199999999999,18971.719699999998,1560127.9451,48291.465299999996,6257.6711000000005,286793.11209999997,1262137.4455,1635869.0559,2448524.6982,2750384.9631000003,2076123.9088,314063.6714,16292051.2065,26320.4026,1000496.4203,177788.3187,2538.7258,21240.7753,5565224.2622,38.043,510208.7078,4706.74,2379585.5636,275386.9881,8.6494,2098413.2158,833672.7789,4850802.597999999,3082873.3314,19010877.3465,24827.2984,212.8134,3833192.8398,370539.5699,1576335.6629,293285.3594,1990639.7835000001,14488043.6618,15200712.6793,9.985,974182.244,5542.4061,4769.8839,951615.8297,159791.0202,0.3552
2013,108993820.8,959.5,30518.1,60236.6,0.9,8980.4,285686.7,36363.5,5280.0,292749.7,1620657.5,1697025.1,3142426.2,2538986.4,1798476.4,318131.7,16224540.3,16987.5,958663.8,101007.9,4557.9,38712.1,6015278.6,41.8,350954.7,4325.0,2104061.3,319684.0,18.6,1818181.0,846335.3,5345071.1,3006451.5,18307275.7,18256.4,470.5,3852264.6,448623.4,1282352.6,306130.1,1689189.3,15754044.1,15640490.7,39.7,1605083.8,6235.0,8875.1,889325.7,193809.3,3.9
2012,103829336.5,518.7,34802.6,47992.2,1.3,37309.9,129822.6,21532.3,14451.1,250376.3,1788037.4,1879581.6,3195070.3,2486839.2,1265577.3,292231.7,17783394.7,29710.3,1046780.9,78663.4,2032.7,27917.6,5830676.5,18.5,394770.3,2952.0,1697544.1,313825.4,33.8,1964413.1,727810.3,5486187.1,2853077.8,16873761.5,16195.5,1091.5,3855465.6,351101.2,1085196.9,360405.5,1623129.4,,13220363.5,68.8,1468084.3,8894.9,10882.9,867338.2,109184.9,
2011,100408462.6042,440.3087,32583.6051,44864.2584,7.5999,56681.574,167990.0256,18429.7983,2626.1288,247676.7444,1549242.7298,2337115.1041,3133738.2984,3034131.3753,1044363.3870999999,303770.4818,19456351.7475,25672.182999999997,917520.4536,82460.83540000001,2591.5697,16226.9072,6213671.1857,13.5718,370107.0929,1386.4962,1487648.7883,211862.0157,104.0844,1799165.5358,469430.8733,4946753.5399,2813992.0833,16270628.9525,15288.7599,2615.5456,3903909.5408,312375.6587,830637.4606,313570.2068,1111770.0164,12261441.4537,12490866.4506,174.2791,1539470.3569,9816.334299999999,7222.7602,469317.3232,80737.1215,
2010,83495622.7,368.0,25191.2,26887.6,1.3,66433.0,96654.6,9362.7,1720.7,119453.7,1226041.6,2084624.5,2079671.9,1829908.3,627519.1,260739.1,17673609.8,16470.6,670835.7,60149.4,2727.5,12355.1,5044680.2,4.8,255206.3,1141.6,977922.6,173102.3,36.3,1622197.0,245583.5,3282904.8,2472875.1,13834885.2,10227.5,4028.8,3319594.2,316854.3,445154.9,277908.1,698454.2,10687905.5,11573865.4,25.0,1112844.8,7212.2,5606.2,104451.9,130224.4,
