年份,中国对世界直接投资净额,中国对亚洲直接投资净额,中国对中国香港直接投资净额,中国对印度尼西亚直接投资净额,中国对日本直接投资净额,中国对中国澳门直接投资净额,中国对新加坡直接投资净额,中国对韩国直接投资净额,中国对泰国直接投资净额,中国对越南直接投资净额,中国对非洲直接投资净额,中国对阿尔及利亚直接投资净额,中国对苏丹直接投资净额,中国对几内亚直接投资净额,中国对马达加斯加直接投资净额,中国对尼日利亚直接投资净额,中国对南非直接投资净额,中国对欧洲直接投资净额,中国对英国直接投资净额,中国对德国直接投资净额,中国对法国直接投资净额,中国对俄罗斯直接投资净额,中国对拉丁美洲直接投资净额,中国对巴哈马直接投资净额,中国对开曼群岛直接投资净额,中国对墨西哥直接投资净额,中国对英属维尔京群岛直接投资净额,中国对北美洲直接投资净额,中国对加拿大直接投资净额,中国对美国直接投资净额,中国对大洋洲直接投资净额,中国对澳大利亚直接投资净额,中国对新西兰直接投资净额
2019,13690756.0,11084094.0,9055007.74805,222308.453746,67378.401229,59444.925398,482567.341184,56179.591021,137190.649533,164851.509237,270442,-12361.99,-7077.79,5303.68,-16.11,12326.85,33891.430055,1051992,110345.251894,145901.2,8722.097393,-37922.6,639407,,-435668.113957,16356.382008,868257.33,436713,47288.333878,380668.482327,208108,208666.949847,1140.154242
2018,14303730.505705,10550488.07104,8686917.436648,186482.295845,46840.716158,81067.328781,641125.705065,103366.128133,73728.83455,115083.146262,538910.585821,17864.93,5712.17,20316.55,5559.92,19469.75,64205.934763,658838.518117,102663.661752,146799.153074,-7502.415346,72524.051554,1460846.73767,,547312.075162,37845.041035,714978.3,872383.413301,156350.191218,747716.578914,222263.179756,198597.488386,25745.60137
2017,15828830.0,11003986.0,9115278.49,168224.53,44404.92,-102446.52,631990.23,66079.89,105758.85,76440.01,410500,-14053.49,25487.4,622.95,7119.93,13795.45,31735.91,1846319,206629.71,271584.62,95215.29,154841.79,1407659,,-660595.65,17133.07,1930117.49,649827,32083.3,642549.28,510539,424195.9,59661.07
2016,19614943.0,13026769.0,11423259.0,146088.0,34401.0,82150.0,317186.0,114837.0,112169.0,127904.0,239873,-9989.0,-68994.0,3667.0,-655.0,10850.0,84322.0,1069323,148039.0,238058.0,149957.0,129307.0,2722705,,1352283.0,21184.0,1228849.0,2035096,287150.0,1698081.0,521177,418688.0,90585.0
2015,14566715.104538,10837087.0,8978978.0,145057.0,24042.0,108065.0,1045248.0,132455.0,40724.0,56017.0,297792,21057.0,3171.0,-2572.0,3384.0,5058.0,23317.086536,711843,184816.272444,40963.482986,32788.453079,296085.709871,1261036,,1021303.0,-627.6206,184899.844052,1071848,156282.743505,802867.248728,387109.169135,340131.163331,34809.233804
2014,12311986.0,8498803.0,7086730.0,127198.0,39445.0,59610.0,281363.0,54887.0,83946.0,33289.0,320192,66571.0,17407.0,6770.0,3676.0,19977.0,4209.0,1083791,149890.0,143892.0,40554.0,63356.0,1054739,,419172.0,14057.0,457043.0,920766,90384.0,759613.0,433695,404911.0,25002.0
2013,10784371.0,7560426.0,6282378.0,156338.0,43405.0,39477.0,203267.0,26875.0,75519.0,48050.0,337064,19130.0,14091.0,10013.0,1551.0,20913.0,-8919.0,594853,141958.0,91081.0,26044.0,102225.0,1435895,,925340.0,4973.0,322156.0,490101,100865.0,387343.0,366032,345798.0,19040.0
2012,8780353.0,6478494.0,5123844.0,136129.0,21065.0,1660.0,151875.0,94240.0,47860.0,34943.0,251666,24588.0,-169.0,6444.0,843.0,33305.0,-81491.0,703509,277473.0,79933.0,15393.0,78462.0,616974,,82743.0,10042.0,223928.0,488200,79516.0,404785.0,241510,217298.0,9406.0
2011,7465404.0,4549445.0,3565484.0,59219.0,14942.0,20288.0,326896.0,34172.0,23011.0,18919.0,317314,11434.0,91186.0,2455.0,2310.0,19742.0,-1417.0,825108,141970.0,51238.0,348232.0,71581.0,1193582,,493646.0,4154.0,620833.0,248132,55407.0,181142.0,331823,316529.0,2789.0
2010,6881131.0,4489046.0,3850521.0,20131.0,33799.0,9604.0,111850.0,-72168.0,69987.0,30513.0,211199,18600.0,3096.0,974.0,3358.0,18489.0,41117.0,676019,33033.0,41235.0,2641.0,56772.0,1053827,,349613.0,2673.0,611976.0,262144,114229.0,130829.0,188896,170170.0,6375.0
