年份,中国对世界直接投资存量,中国对亚洲直接投资存量,中国对中国香港直接投资存量,中国对印度尼西亚直接投资存量,中国对日本直接投资存量,中国对中国澳门直接投资存量,中国对新加坡直接投资存量,中国对韩国直接投资存量,中国对泰国直接投资存量,中国对越南直接投资存量,中国对非洲直接投资存量,中国对阿尔及利亚直接投资存量,中国对苏丹直接投资存量,中国对几内亚直接投资存量,中国对马达加斯加直接投资存量,中国对尼日利亚直接投资存量,中国对南非直接投资存量,中国对欧洲直接投资存量,中国对英国直接投资存量,中国对德国直接投资存量,中国对法国直接投资存量,中国对俄罗斯直接投资存量,中国对拉丁美洲直接投资存量,中国对巴哈马直接投资存量,中国对开曼群岛直接投资存量,中国对墨西哥直接投资存量,中国对英属维尔京群岛直接投资存量,中国对北美洲直接投资存量,中国对加拿大直接投资存量,中国对美国直接投资存量,中国对大洋洲直接投资存量,中国对澳大利亚直接投资存量,中国对新西兰直接投资存量
2019,219888069.0,146022156.0,127535517.883809,1513254.604628,409805.230603,985168.41299,5263655.716304,667340.137456,718584.777007,707371.031958,4439022,177534.96,120309.36,76325.57,27291.23,219400.21,614657.066919,11438386.0,1714389.945203,1423399.467937,595434.017903,1280397.086415,43604697.0,,27614505.707485,116107.978795,14187883.51016,10022553.0,1409146.857869,7779749.51667,4361255,3806838.275147,245973.202172
2018,198226585.313849,127613436.591083,110039107.709752,1281128.456624,349052.481389,886578.231686,5009382.96221,671011.16983,594669.52512,560543.276923,4610352.774793,206285.56,132507.08,74244.28,80335.37,245348.53,653167.74846,11279692.098878,1988323.021932,1368861.05482,659879.494147,1420821.932726,40677193.117522,,25922371.422974,110688.221056,13049678.24782,9634833.083552,1252272.239036,7550728.977214,4411077.648021,3837867.782517,259120.315504
2017,180903652.0,113932379.0,98126567.86,1053880.32,319733.66,968029.18,4456809.16,598347.41,535846.74,496535.73,4329650,183366.2,120156.47,7638.98,76629.97,286152.88,747276.87,11085468.0,2031817.3,1216319.61,570270.62,1387159.55,38689230.0,,24968218.63,89801.58,12206074.5,8690597.0,1093685.77,6738100.44,4176327,3617530.72,249179.78
2016,135739045.0,90944547.0,78074489.0,954554.0,318401.0,678339.0,3344564.0,423724.0,453348.0,498363.0,3987747,255248.0,110434.0,41774.0,29763.0,254168.0,650084.0,8720192.0,1761210.0,784175.0,511617.0,1297951.0,20715257.0,,10420893.0,57860.0,8876589.0,7547246.0,1272599.0,6057998.0,3824056,3335056.0,210247.0
2015,109786459.0,76890132.0,65685524.0,812513.641401,303819.726139,573912.0,3198491.043138,369804.149589,344012.389563,337355.578264,3469440,253155.0,180936.0,38272.0,34770.0,237676.0,472296.874529,8367897.0,1663246.14295,588176.428857,572354.650016,1401962.651498,12631893.0,,6240408.091821,52475.5462,5167214.030572,5217926.0,851624.647131,4080195.337247,3209171,2837384.755605,120871.866842
2014,88264242.0,60096561.0,50991983.0,679350.0,254704.0,393074.0,2063995.0,277157.0,307947.0,286565.0,3235007,245157.0,174712.0,41907.0,35261.0,232301.0,595402.0,6939987.0,1280465.0,578550.0,844488.0,869463.0,10611113.0,,4423672.0,54121.0,4932041.0,4795149.0,778908.0,3801097.0,2586425,2388226.0,96241.0
2013,66047840.0,44740828.0,37709314.0,465665.0,189824.0,340914.0,1475070.0,196308.0,247243.0,216672.0,2618577,149721.0,150704.0,33858.0,28610.0,214607.0,440040.0,5316156.0,1179790.0,397938.0,444794.0,758161.0,8609593.0,,4232406.0,40987.0,3390298.0,2860974.0,619619.0,2189956.0,1901712,1744968.0,54173.0
2012,53194058.0,36440706.0,30637245.0,309804.0,161991.0,292927.0,1238333.0,308190.0,212693.0,160438.0,2172971,130533.0,123660.0,23467.0,27455.0,194987.0,477507.0,3697512.0,893427.0,310435.0,395077.0,488849.0,6821163.0,,3007200.0,36848.0,3085095.0,2550299.0,505072.0,1707977.0,1511407,1387305.0,27385.0
2011,42478067.0,30343470.0,26151852.0,168791.0,136622.0,267589.0,1060269.0,158268.0,130726.0,129066.0,1624432,105945.0,152564.0,16843.0,25363.0,141561.0,405973.0,2445003.0,253058.0,240144.0,372389.0,376364.0,5517175.0,160.0,2169232.0,26388.0,2926141.0,1347243.0,372756.0,899303.0,1200744,1104125.0,18546.0
2010,31721059.0,22814597.0,19905557.0,115044.0,110563.0,222929.0,606910.0,63725.0,108000.0,98660.0,1304212,93726.0,61336.0,13641.0,22987.0,121085.0,415298.0,1571031.0,135835.0,150229.0,24362.0,278756.0,4387564.0,160.0,1725627.0,15287.0,2324276.0,782926.0,260260.0,487399.0,860729,786775.0,15911.0
2009,24575538.0,18554720.0,16449894.0,79906.0,69286.0,183723.0,485732.0,121780.0,44788.0,72850.0,933227,75126.0,56389.0,12932.0,19622.0,102596.0,230686.0,867678.0,102828.0,108224.0,22103.0,222037.0,3059548.0,160.0,1357707.0,17390.0,1506069.0,518470.0,167034.0,333842.0,641895,586310.0,9385.0
2008,18397071.0,13131699.0,11584528.0,54333.0,50969.0,156078.0,333477.0,85034.0,43716.0,52173.0,780383,50882.0,52825.0,9637.0,14652.0,79591.0,304862.0,513396.0,83766.0,84550.0,16713.0,183828.0,3224015.0,60.0,2032745.0,17308.0,1047733.0,365978.0,126843.0,238990.0,381600,335529.0,6965.0
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
