年份,中国对亚洲劳务合作年末在外人员,中国对阿富汗劳务合作年末在外人员,中国对巴林劳务合作年末在外人员,中国对孟加拉国劳务合作年末在外人员,中国对不丹劳务合作年末在外人员,中国对文莱劳务合作年末在外人员,中国对缅甸劳务合作年末在外人员,中国对柬埔寨劳务合作年末在外人员,中国对塞浦路斯劳务合作年末在外人员,中国对朝鲜劳务合作年末在外人员,中国对中国香港劳务合作年末在外人员,中国对印度劳务合作年末在外人员,中国对印度尼西亚劳务合作年末在外人员,中国对伊朗劳务合作年末在外人员,中国对伊拉克劳务合作年末在外人员,中国对以色列劳务合作年末在外人员,中国对日本劳务合作年末在外人员,中国对约旦劳务合作年末在外人员,中国对科威特劳务合作年末在外人员,中国对老挝劳务合作年末在外人员,中国对黎巴嫩劳务合作年末在外人员,中国对中国澳门劳务合作年末在外人员,中国对马来西亚劳务合作年末在外人员,中国对马尔代夫劳务合作年末在外人员,中国对蒙古劳务合作年末在外人员,中国对尼泊尔劳务合作年末在外人员,中国对阿曼劳务合作年末在外人员,中国对巴基斯坦劳务合作年末在外人员,中国对巴勒斯坦劳务合作年末在外人员,中国对菲律宾劳务合作年末在外人员,中国对卡塔尔劳务合作年末在外人员,中国对沙特阿拉伯劳务合作年末在外人员,中国对新加坡劳务合作年末在外人员,中国对韩国劳务合作年末在外人员,中国对斯里兰卡劳务合作年末在外人员,中国对叙利亚劳务合作年末在外人员,中国对泰国劳务合作年末在外人员,中国对土耳其劳务合作年末在外人员,中国对阿联酋劳务合作年末在外人员,中国对也门共和国劳务合作年末在外人员,中国对越南劳务合作年末在外人员,中国对中国台湾劳务合作年末在外人员,中国对东帝汶劳务合作年末在外人员,中国对哈萨克斯坦劳务合作年末在外人员,中国对吉尔吉斯斯坦劳务合作年末在外人员,中国对塔吉克斯坦劳务合作年末在外人员,中国对土库曼斯坦劳务合作年末在外人员,中国对乌兹别克斯坦劳务合作年末在外人员,中国对亚洲其他国家劳务合作年末在外人员
2019,507138,,1,303,,1240,897,1933,411,,60809,227,3845,222,578,5518,143662,64,1403,2691,,134728,6580,1517,1724,421,31,1684,,572,1172,7643,96949,9706,821,,880,540,3971,,2609,9718,7,500,274,112,46,1129,
2018,483956,,,270,,3385,550,1874,359,,53449,249,1935,246,268,5233,141010,204,1465,2659,,130919,6399,1246,2157,297,30,856,,290,1168,8441,94368,10497,695,,615,491,4006,,2246,4661,7,967,155,109,46,134,
2017,474146,,2,336,,214,1031,1981,298,,58001,165,1371,284,339,712,143384,106,887,2908,,127302,6705,123,822,284,36,428,0.0,208,1220,7427,91900,11002,603,,863,443,3886,,2108,4807,13,1614,218,106,,,
2016,469996,,2,226,,,1271,2012,284,,47066,139,1002,227,326,299,145488,246,2110,2060,,121209,6885,,593,366,20,506,0.0,207,1514,10436,96537,11029,586,,694,32,5393,7.0,3452,6462,,961,205,112,,30,1.0
2015,487077,,9,119,,,787,2311,324,,52371,149,835,227,163,231,154353,1040,2285,1534,,120414,5267,,657,366,20,477,,183,1463,10643,96726,13207,1678,,901,31,6177,16.0,3246,7238,,1265,228,105,,31,
2014,469013,,73,137,,,632,2345,260,38.0,50850,149,867,,183,243,159384,1050,2252,1151,6.0,113489,3779,21,2169,158,23,478,,65,1482,9548,86020,14465,297,,721,33,6187,,3308,6273,,345,271,103,,114,43.0
2013,396417,,73,49,,,839,1715,181,38.0,33174,209,729,,339,261,153380,1153,2723,1664,6.0,88172,2468,21,2853,9,2,434,,70,1487,7569,66805,12762,193,,910,21,6045,,3498,6166,,306,24,39,,29,1.0
2012,417465,,74,44,,,639,1613,170,36.0,32973,219,737,,53,413,173349,3229,2107,1458,6.0,67475,2759,18,2257,61,20,413,,49,1535,7197,68749,26793,27,,1006,204,6933,,4624,8512,6,909,174,85,517,21,
2011,420443,,6,247,1.0,,502,1165,166,37.0,21992,373,597,,31,499,177560,4325,1245,928,6.0,58103,3065,28,2798,61,56,365,,115,1587,6243,71463,40941,62,,1086,269,7196,,5266,10851,15,922,94,96,,81,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
