年份,中国对欧洲承包工程完成营业额,中国对比利时承包工程完成营业额,中国对丹麦承包工程完成营业额,中国对英国承包工程完成营业额,中国对德国承包工程完成营业额,中国对法国承包工程完成营业额,中国对爱尔兰承包工程完成营业额,中国对意大利承包工程完成营业额,中国对卢森堡承包工程完成营业额,中国对荷兰承包工程完成营业额,中国对希腊承包工程完成营业额,中国对葡萄牙承包工程完成营业额,中国对西班牙承包工程完成营业额,中国对阿尔巴尼亚承包工程完成营业额,中国对安道尔承包工程完成营业额,中国对奥地利承包工程完成营业额,中国对保加利亚承包工程完成营业额,中国对芬兰承包工程完成营业额,中国对直布罗陀承包工程完成营业额_x,中国对匈牙利承包工程完成营业额,中国对冰岛承包工程完成营业额,中国对直布罗陀承包工程完成营业额_y,中国对马耳他承包工程完成营业额,中国对摩纳哥承包工程完成营业额,中国对挪威承包工程完成营业额,中国对波兰承包工程完成营业额,中国对罗马尼亚承包工程完成营业额,中国对圣马力诺承包工程完成营业额,中国对瑞典承包工程完成营业额,中国对瑞士承包工程完成营业额,中国对爱沙尼亚承包工程完成营业额,中国对拉脱维亚承包工程完成营业额,中国对立陶宛承包工程完成营业额,中国对格鲁吉亚承包工程完成营业额,中国对亚美尼亚承包工程完成营业额,中国对阿塞拜疆承包工程完成营业额,中国对白俄罗斯承包工程完成营业额,中国对摩尔多瓦承包工程完成营业额,中国对俄罗斯承包工程完成营业额,中国对乌克兰承包工程完成营业额,中国对斯洛文尼亚承包工程完成营业额,中国对克罗地亚承包工程完成营业额,中国对捷克承包工程完成营业额,中国对斯洛伐克承包工程完成营业额,中国对马其顿共和国承包工程完成营业额,中国对波斯尼亚-黑塞哥维那承包工程完成营业额,中国对梵蒂冈城国承包工程完成营业额,中国对法罗群岛承包工程完成营业额,中国对塞尔维亚承包工程完成营业额,中国对黑山承包工程完成营业额
2019,1062769,15945,1918,64045,50129,127388,100,19426,,17496,18125,13361,78236,2458,,6137,7984,130,,2668,,,,766,25739,5515,6997,,8026,1884,3,0,25,29936,5037,2626,63714,,276681,72809,250,0,5880,500,12569,190,,,61743,0
2018,1001574,725,1283,57018,81436,125834,,27342,,13420,19572,25610,44436,266,,10179,4984,218,,3881,,,,,3756,6267,8218,,9667,1881,9,0,,27792,5903,4253,99603,67.0,234979,57612,640,0,5739,166,10758,5560,,,34508,0
2017,931617,14280,495,108268,63631,144236,,20105,,16163,15973,4939,27916,182,,7490,3997,1676,,3390,1704.0,,213.0,,20666,966,9322,,6057,1112,,,1063,38840,5226,2363,66747,11.0,199234,35320,826,0,6003,201,14071,693,,,36897,0
2016,798582,15389,100,71896,59559,136049,,20105,,17588,29930,5645,29689,896,,4469,7758,357,,3883,,,31.0,47,5797,5814,18457,,10528,255,,,287,10918,1750,1392,109905,,148599,28915,688,0,5698,,20958,1724,,,17889,0
2015,878279,3638,218,84736,52252,184421,,14498,0.0,24584,7632,6561,18809,,,3041,8537,2613,,4650,,,3443.0,4032,6873,5037,14794,,11506,96,,0,,19049,,7592,98955,,171440,31375,194,0,7754,,36906,19410,,,19801,0
2014,715057,7002,102,48281,38138,148177,713,6176,,23173,3345,5044,8902,616,,1895,20894,,,3693,,,105.0,,1432,12952,16331,,9284,485,,0,,19323,857,12947,117515,16.0,115501,16937,76,0,4618,,16515,29548,,,23525,
2013,822737,7385,2399,61519,46660,145083,1173,10874,,41067,18018,4033,25225,50,,3304,20679,5,,3272,,,704.0,,722,3484,18722,,8924,1629,,0,,21226,157,20341,164638,528.0,137161,30865,37,0,4730,,287,4242,,,7975,
2012,706182,35075,2957,37562,87818,117932,,9700,,30436,8553,4481,10362,83,,12073,5969,306,,4835,163.0,,29.0,,86,628,22498,,4416,693,755,,,36250,1478,13836,56693,102.0,164631,16363,19,,4913,700,,,,,13685,
2011,460042,2197,420,24078,30255,86753,29,8263,,9868,5491,2595,7984,2268,,3765,2307,82,,5647,1684.0,,4.0,,10,3369,5416,,1487,1897,,,128,18617,3836,25586,40511,25.0,139797,15866,,,3753,880,4,56,,,5114,
2010,498723,11322,241,43241,34556,46848,11,7790,0.0,11927,3333,4377,22156,1945,,1788,13209,105,,4429,1410.0,,,,3529,5898,5727,,1291,366,66,,6,3925,1136,55097,48876,284.0,143128,12915,3,,6468,75,57,,,,426,0
2009,317464,7345,4414,28525,45887,20319,201,10678,,10332,3970,5083,16109,8639,,1059,406,53,,6503,474.0,,,,1059,3362,5460,,519,235,,,27,426,1831,12509,8327,,88382,22114,202,,2569,114,,,,,303,0
2008,329932,19298,491,17487,41682,37861,580,3389,,2685,32311,1080,11406,5063,,514,933,370,,2690,712.0,,486.0,,6659,1239,6595,,1564,436,,0,,2385,42,6411,7444,132.0,99637,16346,172,0,1241,46,,70,,,144,
2007,358596,12697,1245,18324,38408,32856,,9971,,31253,53928,2139,15975,2341,,1905,1834,199,,2981,444.0,,370.0,,1644,7131,7306,,3806,509,,,480,369,,2828,11198,274.0,76151,18852,2,0,744,34,,,,,,
