年份,中国对亚洲承包工程年末在外劳务人员,中国对阿富汗承包工程年末在外劳务人员,中国对巴林承包工程年末在外劳务人员,中国对孟加拉国承包工程年末在外劳务人员,中国对不丹承包工程年末在外劳务人员,中国对文莱承包工程年末在外劳务人员,中国对缅甸承包工程年末在外劳务人员,中国对柬埔寨承包工程年末在外劳务人员,中国对塞浦路斯承包工程年末在外劳务人员,中国对朝鲜承包工程年末在外劳务人员,中国对中国香港承包工程年末在外劳务人员,中国对印度承包工程年末在外劳务人员,中国对印度尼西亚承包工程年末在外劳务人员,中国对伊朗承包工程年末在外劳务人员,中国对伊拉克承包工程年末在外劳务人员,中国对以色列承包工程年末在外劳务人员,中国对日本承包工程年末在外劳务人员,中国对约旦承包工程年末在外劳务人员,中国对科威特承包工程年末在外劳务人员,中国对老挝承包工程年末在外劳务人员,中国对黎巴嫩承包工程年末在外劳务人员,中国对中国澳门承包工程年末在外劳务人员,中国对马来西亚承包工程年末在外劳务人员,中国对马尔代夫承包工程年末在外劳务人员,中国对蒙古承包工程年末在外劳务人员,中国对尼泊尔承包工程年末在外劳务人员,中国对阿曼承包工程年末在外劳务人员,中国对巴基斯坦承包工程年末在外劳务人员,中国对巴勒斯坦承包工程年末在外劳务人员,中国对菲律宾承包工程年末在外劳务人员,中国对卡塔尔承包工程年末在外劳务人员,中国对沙特阿拉伯承包工程年末在外劳务人员,中国对新加坡承包工程年末在外劳务人员,中国对韩国承包工程年末在外劳务人员,中国对斯里兰卡承包工程年末在外劳务人员,中国对叙利亚承包工程年末在外劳务人员,中国对泰国承包工程年末在外劳务人员,中国对土耳其承包工程年末在外劳务人员,中国对阿联酋承包工程年末在外劳务人员,中国对也门共和国承包工程年末在外劳务人员,中国对越南承包工程年末在外劳务人员,中国对中国台湾承包工程年末在外劳务人员,中国对东帝汶承包工程年末在外劳务人员,中国对哈萨克斯坦承包工程年末在外劳务人员,中国对吉尔吉斯斯坦承包工程年末在外劳务人员,中国对塔吉克斯坦承包工程年末在外劳务人员,中国对土库曼斯坦承包工程年末在外劳务人员,中国对乌兹别克斯坦承包工程年末在外劳务人员,中国对亚洲其他国家承包工程年末在外劳务人员
2019,203956,65,63,15532,,1576,3848,8466,,,2869,1846,21138,2030,13040,1745,488,573,8113,22283,5,1594,13033,2702,1456,1629,1890,16857,,4025,1204,19462,1632,100,4017,,4234,929,5999,21,8493,112,784,4547,1882,974,321,2379,
2018,214261,231,63,12523,,9573,2427,4719,,,724,1483,20928,3268,11514,1635,484,470,11413,21230,5,1279,17912,3920,1556,1409,2294,22819,0.0,3761,1763,18516,2711,89,4267,,3069,2465,5535,21,7486,58,900,3867,2008,1035,383,2418,
2017,193438,162,2,7861,,3814,3651,3896,,,641,1279,16363,2149,9100,511,510,343,6903,16879,,1345,21214,724,2852,1439,916,20850,0.0,3564,1855,22080,3588,86,3705,,2542,6330,4847,21,7636,25,843,8065,1650,891,481,1823,
2016,173780,17,137,4936,,400,3362,4732,,80.0,759,1289,15433,1899,7822,86,519,199,3253,9428,,1427,12312,342,3589,1028,585,14582,,1582,2897,31633,4075,92,3775,,2567,7917,4682,139,8966,23,908,7271,2722,1327,498,2010,2480.0
2015,168038,49,3,3335,,202,4548,5573,,721.0,783,1491,12940,2030,10421,105,521,57,2728,10247,,1581,9351,252,3875,711,467,9038,,1474,2807,27334,5659,87,3432,,2787,6709,5485,162,8521,16,332,11129,3505,1633,990,2904,2043.0
2014,165571,31,7,3799,,124,4025,4763,,666.0,690,1873,15468,1371,11586,106,65,80,2833,13664,5,1394,10130,185,3791,1883,495,7481,,1498,2404,22960,7615,60,3043,,3021,3495,5461,503,9132,15,167,8960,2841,1262,1019,2164,3436.0
2013,166523,47,8,2197,,209,8701,5410,,312.0,646,2828,9816,1719,15223,213,75,78,3490,10912,5,980,8017,170,4297,1162,833,5586,,829,2578,27756,7109,17,5840,,1735,4528,6954,318,9542,27,139,5803,2440,2306,554,2469,2645.0
2012,156276,367,11,1900,,291,13374,5037,15.0,259.0,2125,3709,6866,2203,9683,185,119,173,3077,8715,2,741,6232,227,3821,940,701,5411,,1065,4805,28382,8756,146,4390,131.0,1769,1944,7324,525,7310,27,402,2900,2466,2070,821,1060,
2011,150496,521,21,1885,,233,16012,5082,59.0,148.0,2054,4363,6677,2537,4310,90,104,408,3061,7011,,440,5220,272,7727,878,805,4395,,832,5097,24363,12666,130,3624,329.0,418,1481,9621,738,9358,7,511,2511,582,1413,1526,976,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
