年份,谷物及谷物粉进口数量,小麦进口数量,稻谷和大米进口数量,大豆进口数量,食用植物油进口数量,食糖进口数量,天然橡胶进口数量,合成橡胶进口数量,原木进口数量,锯材进口数量,纸浆进口数量,羊毛及毛条进口数量,棉花进口数量,纺织用合成纤维进口数量,聚酯纤维进口数量,聚丙烯腈纤维进口数量,铁矿砂及其精矿进口数量,锰矿砂及其精矿进口数量,铜矿砂及其精矿进口数量,铬矿砂及其精矿进口数量,氧化铝进口数量,煤进口数量,原油进口数量,成品油进口数量,乙二醇进口数量,对苯二甲酸进口数量,己内酰胺进口数量,医药品进口数量,肥料进口数量,尿素进口数量,氮、磷、钾复合肥进口数量,磷酸氢二胺进口数量,氯化钾进口数量,原形聚乙烯进口数量,原形聚丙烯进口数量,原形聚苯乙烯进口数量,ABS树脂进口数量,原形聚氯乙烯进口数量,聚酯切片进口数量,农药进口数量,纸及纸板进口数量,钢材进口数量,未锻造的铜及铜合金进口数量,铜材进口数量,未锻造的铝及铝合金进口数量,铝材进口数量,锅炉进口数量,制冷设备用压缩机进口数量,金属加工机床进口数量,阀门进口数量,自动数据处理设备及其部件进口数量,电话机进口数量,收音设备(包括收录音组合机及整套散件)进口数量,电视机进口数量,电视显像管进口数量,汽车进口数量,小轿车进口数量,货车进口数量,自卸车进口数量,装有引擎的汽车底盘进口数量,汽车零件进口数量,飞机进口数量,船舶进口数量,医疗仪器及器械进口数量,机电产品进口数量,高新技术产品进口数量
2019,1785.0669182,348.7626228,254.5725832,8851.2810866,953.2819783,339.0134435,245.5288073,4116963.051,,,2718.0369127,286245.371,184.8851772,42.3387982,219377.003,89540.525,106865.4595185,3415.9191597,2198.186353,1589.393459,164.5424897,29952.4540585,50567.6037748,3055.9015598,9947023.038,1036883.117,202093.772,158022.356,1110.725361,18.150747,139.372641,,907.5601965,11427528.534,3491011.525,4177254.912,2044849.062,874223.253,594444.533,89734.471,626.4247986,1230.4075264,4476223.808,503333.121,291224.142,354573.008,263,765.8005,55401,103294.4935,,7728990,119.3043,1.2202,,1048344,487747,16136,27,1295,,957,,,,
2018,2047.0,310.0,308.0,8804.0,629.0,280.0,260.0,4410000.0,5969.0,36630000.0,2479.0,377382.0,157.0,45.0,191669.0,149472.0,106412.0,2760.0,1970.0,1428.0,51.0,28189.0,46189.0,3348.0,9800000.0,780000.0,173555.0,152709.0,950.0,16.3913,146.0,6.0,746.0,9660000.0,3280000.0,3850000.0,2010000.0,940000.0,380000.0,79202.0,627.0,1317.0,4750000.0,550926.0,199306.0,397119.0,164,942.0,87895,104008.0,469180000.0,4200000,144.0,4.1136,,1130000,485730,14316,39,1665,,1028,,,,
2017,2559.0,442.0,403.0,9553.0,577.0,229.0,279.0,4360000.0,5540.0,37390000.0,2372.0,352055.0,116.0,40.0,159544.0,147405.0,107474.0,2126.0,1735.0,1385.0,287.0,27090.0,41957.0,2964.0,8720000.0,540000.0,237362.0,138712.0,918.0,11.4655,111.0,0.0001,753.0,8770000.0,3180000.0,3140000.0,1790000.0,1000000.0,200000.0,83544.0,475.0,1330.0,4110000.0,582268.0,186181.0,396621.0,563,1031.0,88656,106226.0,505880000.0,5990000,163.0,6.2294,,1240000,473471,9662,17,1467,,14266,,,,
2016,2199.0,341.0,356.0,8391.0,553.0,306.0,250.0,3310000.0,4873.0,31500000.0,2107.0,323841.0,90.0,32.0,123680.0,138381.0,102395.0,1705.0,1696.0,1058.0,303.0,25543.0,38101.0,2784.0,7520000.0,500000.0,221290.0,124078.0,832.0,6.5794,113.0,3.0,682.0,7330000.0,3020000.0,2910000.0,1690000.0,870000.0,180000.0,84797.0,297.0,1322.0,4390000.0,563022.0,255635.0,390819.0,349,995.0,69655,85923.0,556820000.0,15070000.0,161.0,11.6492,,1070000,377370,7743,27,1888,,7385,,,,
2015,3270.4421956,300.5936067,337.6876729,8169.1891583,676.4979694,484.5871134,273.5663054,1982850.384,4456.8962,26577134.0,1983.9942285,365664.44,147.4889405,33.9549329,126718.717,158462.963,95272.2916632,1575.7449903,1328.9186719,1039.2691111,465.3843845,20406.176189,33550.0304734,2989.7892215,8718171.387,751909.503,222864.324,106063.902,1116.4875669,0.7639619,146.1655038,7.730742,942.3606757,7305735.203,3397036.529,2878149.082,1623748.761,928509.427,166695.052,89974.613,286.3034036,1278.2444391,4245288.211,563276.092,223710.15,472079.568,219,1013.7294,90910,72378.3442,720321993.0,18492645.0,173.2245,5.8486,0.1441,1097418,352461,4883,39,2208,,68274,,,,
2014,1951.0687417,300.0,257.8981969,7140.3050885,650.1617078,348.5795977,260.9996582,1483167.382,5119.4868,25648618.0,1796.4210798,343414.54,243.9176234,34.0257014,132487.564,158610.246,93234.1829239,1620.6773234,1180.697228,938.3264375,527.6413934,29120.0629277,30837.4527391,2999.6320892,8386739.497,1163671.694,223269.842,112385.339,958.7486897,0.635834,110.6742461,22.9155943,802.9549458,6651352.912,3636042.417,3010597.751,1667724.254,926000.272,180053.536,92550.96,281.6185478,1443.2494359,4220954.235,603862.03,350000.0,499878.382,253,1197.4661,106132,74842.0486,765106815.0,11880918.0,166.2613,6.0648,21.2073,1422717,469617,9589,107,1455,,10771,,,,
2013,1458.0,553.5125,227.1052,6338.0,810.0,455.0,247.0,1525985.0,4516.0,24020000.0,1685.0,359533.0,415.0,38.0,128460.0,212094.0,81910.0,1660.0,1007.0,1209.0,383.0,32702.0,28174.0,3959.0,8232678.0,2743418.0,452889.0,97584.0,793.0,3.0443,135.0,22.0,603.0,6462077.0,3593535.0,3072995.0,1670810.0,1044413.0,188984.0,76928.0,284.0,1408.0,3843115.0,650042.0,481341.0,481716.0,369,1274.0,75490,61765.0,747430000.0,10016117.0,142.0,5.0,41.0,1192179,423399,9418,234,1254,,741,5335.0,,,
2012,1398.0,370.0977,236.8558,5838.0,845.0,375.0,218.0,1439081.0,3789.0,20630000.0,1646.0,318094.0,513.0,33.0,112422.0,186527.0,74360.0,1235.0,783.0,929.0,502.0,28841.0,27103.0,3982.0,7931345.0,5365149.0,706527.0,100066.0,843.0,17.0978,132.0,16.0,634.0,5582183.0,3915019.0,3124532.0,1666698.0,1209681.0,183003.0,68928.0,311.0,1366.0,3978897.0,668723.0,639814.0,531156.0,365,1196.0,109957,47827.0,733160000.0,11674100.0,164.0,3.0,118.0,1129731,446783,17998,242,1099,,517,3540.0,,,
2011,545.0,125.8053,59.777,5264.0,657.0,292.0,210.0,1444985.0,4233.0,21560000.0,1445.0,331292.0,336.0,35.0,120205.0,195292.0,68608.0,1297.0,638.0,944.0,188.0,22220.0,25378.0,4060.0,7269178.0,6526203.0,632739.0,85887.0,795.0,0.2064,102.0,9.0,640.0,4988773.0,3778628.0,3316633.0,1852818.0,1317341.0,196912.0,52890.0,328.0,1558.0,3291469.0,781623.0,333123.0,577364.0,493,1307.0,115227,39154.0,729890000.0,11443807.0,212.0,2.0,265.0,1035557,410270,18034,242,1888,,421,6352.0,,,
2010,571.0,123.0665,38.8161,5480.0,687.0,177.0,186.0,1565440.0,3435.0,14760000.0,1137.0,333362.0,284.0,37.0,143019.0,196425.0,61863.0,1158.0,647.0,866.0,431.0,16310.0,23768.0,3688.0,6639920.0,6641616.0,631438.0,75423.0,718.0,1.3256,108.0,42.0,524.0,4878924.0,3869070.0,3697742.0,2169958.0,1509812.0,237755.0,50701.0,331.0,1643.0,3381942.0,910545.0,364873.0,590560.0,384,1339.0,114496,29047.0,734510000.0,20698023.0,152.0,3.0,390.0,810085,343653,13350,184,1817,,344,3347.0,,,
