年份,进口商品总额,初级产品进口额,食品及主要供食用的活动物进口额,饮料及烟类进口额,非食用原料进口额,矿物燃料、润滑油及有关原料进口额,动、植物油脂及蜡进口额,工业制成品进口额,化学品及有关产品进口额,轻纺产品、橡胶制品矿冶产品及其制品进口额,机械及运输设备进口额,杂项制品进口额,未分类的其他商品进口额
2019,2078408.983196,729952.34201,80735.301894,7660.562365,284940.700414,347233.263527,9382.51381,1348456.64079,218732.975829,140042.228987,786638.192391,144212.381603,58830.86198
2018,2135734.0,701744.1,64800.884,7664.959,272143.65,349356.167,7778.441,1433989.783,223636.11,151350.691,839656.461,143739.665,75606.855
2017,1843793.0,579638.43,54314.258,7028.202,261000.05,249617.494,7678.426,1264154.51,193731.471,135147.269,734865.042,134331.872,66078.856
2016,1587926.219,441054.916,49156.371,6095.989,202544.71,176525.62,6732.226,1146871.303,164116.528,121919.98,657825.457,126141.241,76868.097
2015,1679564.497587,472057.165417,50500.983681000005,5774.418009,209709.876598,198589.034868,7482.852261,1207507.33217,171265.822999,133011.03180599998,682418.062377,134692.4962,86119.91878800001
2014,1959235.0,646939.885,46826.873,5222.191,269642.043,316755.738,8493.041,1312294.763,193255.684,172369.106,724197.412,139708.404,82764.157
2013,1949989.0,658080.843,41701.168,4509.43,286370.741,315160.15,10339.354,1291908.625,190304.46,147872.07,710141.196,138854.543,104736.356
2012,1818405.0,634934.183,35259.844,4402.873,269659.516,313084.909,12527.041,1183470.816,179286.808,145952.546,652940.68,136518.762,68772.02
2011,1743484.0,604269.0,28774.0,3685.0,284923.0,275776.0,11112.0,1139215.0,181106.0,150304.0,630570.0,127722.0,49513.0
2010,1396247.0,433849.922,21570.29,2428.17,212111.239,188999.9,8740.324,962394.084,149699.773,131278.148,549420.649,113560.489,18435.024
2009,1005923.0,289804.194,14827.193,1953.647,141346.691,124037.598,7639.065,716119.002,112090.04,107739.087,407796.84,85186.068,3306.968
2008,1132562.0,362394.71,14051.178,1920.046,166695.129,169241.994,10486.363,770167.452,119187.83,107164.906,441764.784,97641.209,4408.723
2007,956115.0,243085.441,11499.623,1401.138,117910.225,104930.09,7344.366,712864.82,107554.022,102877.256,412459.135,87509.754,2464.653
2006,791461.0,187128.569,9994.272,1040.618,83156.652,89000.589,3936.437,604332.299,87046.841,86923.8,357020.746,71310.507,2030.404
2005,659953.0,147714.0,9388.0,783.0,70226.0,63947.0,3370.0,512239.0,77734.0,81157.0,290478.0,60862.0,2008.0
2004,561229.0,117267.0,9154.0,548.0,55358.0,47993.0,4214.0,443962.0,65473.0,73986.0,252830.0,50143.0,1529.0
2003,412760.0,72763.0,5960.0,490.0,34124.0,29189.0,3000.0,339996.0,48975.0,63902.0,192826.0,33011.0,1282.0
2002,295170.0,49271.0,5238.0,387.0,22736.0,19285.0,1625.0,245899.0,39036.0,48489.0,137010.0,19801.0,1564.0
2001,243553.0,45743.0,4976.0,412.0,22127.0,17466.0,763.0,197810.0,32104.0,41938.0,107015.0,15076.0,1676.0
2000,225094.0,46739.0,4758.0,364.0,20003.0,20637.0,977.0,178355.0,30213.0,41807.0,91931.0,12751.0,1653.0
