年份,个体户数,个体就业人数,城镇就业人数,乡村个体就业人数
2019,8261.0208,17691.2373,11691.5858,5999.6515
2018,7328.5782,16037.6393,10440.0,5597.0
2017,6579.3743,14225.3,9348.0,4878.0
2016,5929.95,12862.0,8627.0,4235.0
2015,5407.9372,11682.0,7800.0,3882.0
2014,4984.0561,10584.0,7009.0,3575.0
2013,4436.3,9335.0,6142.0,3193.0
2012,4059.2731,8629.0,5643.0,2986.0
2011,3756.4672,7945.4,5227.0,2718.0
2010,3452.8876,7007.1,4467.0,2540.0
2009,3197.3663,6585.8,4245.0,2341.0
2008,2917.3323,5776.0,3609.0,2167.0
2007,2741.5298,5497.0,3310.0,2187.0
2006,2595.6066,5159.2,3012.0,2147.0
2005,2463.8934,4900.8,2778.0,2123.0
2004,2350.4911,4586.9,2521.0,2065.9
2003,2353.1857,4636.6,2377.0,2259.6
2002,2377.5,4743.1,2269.0,2474.1
2001,2433.0,4760.0,2131.0,2629.0
2000,2571.4,5069.9,2136.0,2933.9
