年份,城镇单位就业人员平均工资,国有单位就业人员平均工资,城镇集体单位就业人员平均工资,股份合作单位就业人员平均工资,联营单位就业人员平均工资,有限责任公司就业人员平均工资,股份有限公司就业人员平均工资,其他单位就业人员平均工资,港、澳、台商投资单位就业人员平均工资,外商投资单位就业人员平均工资
2019,90501,98899,62612,81058,75220,79515,103087,71329,91304,106604
2018,82413,89474,60664,77751,72107,72114,93316,61666,82027,99367
2017,74318,81114,55243,71871,61467,63895,85028,54417,73016,90064
2016,67569,72538,50527,65962,53455,58490,78285,49759,67506,82902
2015,62029,65296,46607,60369,50733,54481,72644,46945,62017,76302
2014,56360,57296,42742,54806,49078,50942,67421,42224,55935,69826
2013,51483,52657,38905,48657,43973,46718,61145,38306,49961,63171
2012,46769,48357,33784,43433,42083,41860,56254,34694,44103,55888
2011,41799,43483,28791,36740,36142,37611,49978,29961,38341,48869
2010,36539,38359,24010,30271,33939,32799,44118,25253,31983,41739
2009,32244,34130,20607,25020,29474,28692,38417,21633,28090,37101
2008,28898,30287,18103,21497,27576,26198,34026,19591,26083,34250
2007,24721,26100,15444,17613,23746,22343,28587,16280,22593,29594
2006,20856,21706,12866,15190,19883,19366,24383,13262,19678,26552
2005,18200,18978,11176,13808,17476,17010,20272,11230,17833,23625
2004,15920,16445,9723,11710,15218,15103,18136,10211,16237,22250
2003,13969,14358,8627,10558,13556,13358,15738,10670,15155,21016
2002,12373,12701,7636,9498,12438,11994,13815,10444,14197,19409
2001,10834,11045,6851,8446,11882,11024,12333,11888,12959,17553
2000,9333,9441,6241,7479,10608,9750,11105,9888,12210,15692
