年份,城镇就业人员,国有单位城镇就业人员,城镇集体单位城镇就业人员,股份合作单位城镇就业人员,联营单位城镇就业人员,有限责任公司城镇就业人员,股份有限公司城镇就业人员,私营企业城镇就业人员,港澳台商投资单位城镇就业人员,外商投资单位城镇就业人员,个体城镇就业人员
2019,44247,5472.6668,295.6216,60.3928,12.3661,6607.632,1879.4602,14566.6494,1157.4718,1202.9792,11691.5858
2018,43419,5739.7053,347.3982,66.2651,11.9583,6554.56,1874.9244,13952.0,1153.4703,1211.6511,10440.0
2017,42462,6064.0,406.0,77.0,13.0,6367.0996,1845.9953,13327.0,1289.9759,1291.4683,9348.0
2016,41428,6170.0,453.0,86.0,18.0,6381.0,1824.0,12083.0,1305.0,1361.0,8627.0
2015,40410,6208.2666,481.4449,91.6651,20.2601,6389.3861,1797.95,11180.0,1343.9148,1445.8524,7800.0
2014,39310,6312.3127,536.7103,103.2483,22.1159,6315.131,1751.1618,9857.0,1392.8339,1562.0827,7009.0
2013,38240,6365.1039,566.1703,108.0,25.0,6069.0,1721.0,8242.0,1397.0,1566.0,6142.0
2012,37102,6839.0322,589.6674,149.0,39.0,3787.0,1243.0,7557.0,969.0,1246.0,5643.0
2011,35914,6704.1993,603.0617,149.0,37.0,3269.0,1183.0,6912.0,932.0,1217.0,5227.0
2010,34687,6516.4379,597.496,156.0,36.0,2613.0,1024.0,6071.0,770.0,1053.0,4467.0
2009,33322,6420.1597,618.1304,160.0,37.0,2433.0,956.0,5544.0,721.0,978.0,4245.0
2008,32103,6447.0331,661.8208,164.0,43.0,2194.0,840.0,5124.0,679.0,943.0,3609.0
2007,30953,6423.5494,718.4366,170.0,43.0,2075.0,788.0,4581.0,680.0,903.0,3310.0
2006,29630,6430.4735,763.6301,178.0,45.0,1920.0,741.0,3954.0,611.0,796.0,3012.0
2005,28389,6488.199,809.9329,188.0,45.0,1750.0,699.0,3458.4308,557.0,688.0,2778.0
2004,27293,6709.9251,897.1599,192.0,44.0,1436.0,625.0,2994.0,470.0,563.0,2521.0
2003,26230,6875.5671,999.867,173.0,44.0,1261.0,592.0,2545.0,409.0,454.0,2377.0
2002,25159,7162.9376,1121.9637,161.0,45.0,1083.0,538.0,1999.0,367.0,391.0,2269.0
2001,24123,7639.9101,1291.0455,153.0,45.0,841.0,483.0,1527.0,326.0,345.0,2131.0
2000,23151,8101.8623,1499.3089,155.0,42.0,687.0,457.0,1268.0,310.0,332.0,2136.0
