年份,城镇单位就业人员平均工资,农、林、牧、渔业城镇单位就业人员平均工资,采矿业城镇单位就业人员平均工资,制造业城镇单位就业人员平均工资,电力、燃气及水的生产和供应业城镇单位就业人员平均工资,建筑业城镇单位就业人员平均工资,交通运输、仓储和邮政业城镇单位就业人员平均工资,信息传输、计算机服务和软件业城镇单位就业人员平均工资,批发和零售业城镇单位就业人员平均工资,住宿和餐饮业城镇单位就业人员平均工资,金融业城镇单位就业人员平均工资,房地产业城镇单位就业人员平均工资,租赁和商务服务业城镇单位就业人员平均工资,科学研究、技术服务和地质勘查业城镇单位就业人员平均工资,水利、环境和公共设施管理业城镇单位就业人员平均工资,居民服务和其他服务业城镇单位就业人员平均工资,教育城镇单位就业人员平均工资,卫生、社会保障和社会福利业城镇单位就业人员平均工资,文化、体育和娱乐业城镇单位就业人员平均工资,公共管理和社会组织城镇单位就业人员平均工资
2019,90501,39340,91068,78147,107733,65580,97050,161352,89047,50346,131405,80157,88190,133459,61158,60232,97681,108903,107708,94369
2018,82413,36466,81429,72088,100162,60501,88508,147678,80551,48260,129837,75281,85147,123343,56670,55343,92383,98118,98621,87932
2017,74318,36504,69500,64452,90348,55568,80225,133150,71201,45751,122851,69277,81393,107815,52229,50552,83412,89648,87803,80372
2016,67569,33612,60544,59470,83863,52082,73650,122478,65061,43382,117418,65497,76782,96638,47750,47577,74498,80026,79875,70959
2015,62029,31947,59404,55324,78886,48886,68822,112042,60328,40806,114777,60244,72489,89410,43528,44802,66592,71624,72764,62323
2014,56360,28356,61677,51369,73339,45804,63416,100845,55838,37264,108273,55568,67131,82259,39198,41882,56580,63267,64375,53110
2013,51483,25820,60138,46431,67085,42072,57993,90915,50308,34044,99653,51048,62538,76602,36123,38429,51950,57979,59336,49259
2012,46769,22687,56946,41650,58202,36483,53391,80510,46340,31267,89743,46764,53162,69254,32343,35135,47734,52564,53558,46074
2011,41799,19469,52230,36665,52723,32103,47078,70918,40654,27486,81109,42837,46976,64252,28868,33169,43194,46206,47878,42062
2010,36539,16717,44196,30916,47309,27529,40466,64436,33635,23382,70146,35870,39566,56376,25544,28206,38968,40232,41428,38242
2009,32244,14356,38038,26810,41869,24161,35315,58154,29139,20860,60398,32242,35494,50143,23159,25172,34543,35662,37755,35326
2008,28898,12560,34233,24404,38515,21223,32041,54906,25818,19321,53897,30118,32915,45512,21103,22858,29831,32185,34158,32296
2007,24721,10847,28185,21144,33470,18482,27903,47700,21074,17046,44011,26085,27807,38432,18383,20370,25908,27892,30430,27731
2006,20856,9269,24125,18225,28424,16164,24111,43435,17796,15236,35495,22238,24510,31644,15630,18030,20918,23590,25847,22546
2005,18200,8207,20449,15934,24750,14112,20911,38799,15256,13876,29229,20253,21233,27155,14322,15747,18259,20808,22670,20234
2004,15920,7497,16774,14251,21543,12578,18071,33449,13012,12618,24299,18467,18723,23351,12884,13680,16085,18386,20522,17372
2003,13969,6884,13627,12671,18574,11328,15753,30897,10894,11198,20780,17085,17020,20442,11774,12665,14189,16185,17098,15355
2002,12373,,,,,,,,,,,,,,,,,,,
2001,10834,,,,,,,,,,,,,,,,,,,
2000,9333,,,,,,,,,,,,,,,,,,,
