年份,原煤产量,原油产量,天然气产量,原盐产量,精制食用植物油产量,成品糖产量,罐头产量,啤酒产量,卷烟产量,纱产量,布产量,机制纸及纸板产量,汽油产量,柴油产量,焦炭产量,硫酸(折100%)产量,烧碱(折100%)产量,纯碱(碳酸钠)产量,乙烯产量,合成氨产量,农用氮、磷、钾化肥产量,氮肥产量,磷肥产量,化学农药原药产量,初级形态的塑料产量,合成橡胶产量,合成洗涤剂产量,化学药品原药产量,中成药产量,化学纤维产量,橡胶轮胎外胎产量,水泥产量,平板玻璃产量,生铁产量,粗钢产量,钢材产量,重轨产量,大型型钢产量,中小型型钢产量,棒材产量,钢筋产量,线材产量,特厚板产量,厚钢板产量,中厚宽钢带产量,热轧薄宽钢带产量,冷轧薄宽钢带产量,镀层板产量,十种有色金属产量,精炼铜产量,原铝(电解铝)产量,氧化铝产量,发动机产量,金属切削机床产量,矿山专用设备产量,炼油、化工生产专用设备产量,大中型拖拉机产量,铁路客车产量,铁路货车产量,汽车产量,轿车产量,客车产量,载货汽车产量,摩托车整车产量,两轮脚踏自行车产量,发电机组产量,家用电冰箱产量,房间空气调节器产量,家用电风扇产量,家用吸排油烟机产量,家用洗衣机产量,家用吸尘器产量,程控交换机产量,电话单机产量,传真机产量,移动通信手持机产量,微型计算机设备产量,笔记本计算机产量,显示器产量,集成电路产量,彩色电视机产量,组合音响产量,照相机产量,数码照相机产量,复印和胶版印制设备产量,发电量,火电发电量,水电发电量
2019,38.46,19101.41,1761.74,6701.43941846321,5421.764661,1389.39420086677,1034.62780890216,3765.294864,23642.487002,2827.15652,555.187892299114,12515.296898,14120.68,16638.27,47126.16,9119.23757759,3457.891055,2986.462747,2052.29472,4735.029277,5731.18350132977,3556.25271262305,1308.40346324009,211.805969,9743.64528307119,743.961527282654,1048.56043462333,276.850251790731,282.356188047591,5883.371868,84445.2816343479,234430.619935156,94461.215911,80849.379499,99541.891074,120456.94312,405.725876,1586.871626,4889.765501,8035.735269,24916.206065,15681.995603,859.873917,3202.643231,14938.25261,8361.982354,5374.776915,5738.866754,5865.96460918662,978.423836,3512.9557707,7230.156903,267228.951574,42.1025,673.108117,127.09243,28.0835,1641,60330,2567.6736,1028.493,46.6273,380.4885,1698.8365,4978.9663067098,9073.690909,7904.2548,21866.1559,21607.1680712753,3711.7958502797,7432.9862,11214.5992,790.4626,5710.1575,60.6937,169603.3571,34163.2176,18533.2203,16982.9491,20182151.04,18999.0602,16706.8071401917,1595.2366,818.5979,487.786,75034.28,52201.48,13044.38
2018,36.98,18932.42,1601.59,6363.61,4940.43,1198.77,1047.85,3800.83,23375.59,3078.88,698.47,12045.97,13964.69,17360.07,44834.2,9209.27,3475.47,2647.96,1861.76,4587.05,5403.51,3457.12,1296.26,240.02,8854.87,691.39,1027.58,230.37,259.01,5418.02,88608.72,223609.62,93963.26,77987.63,92903.84,113287.33,377.24,1395.328205,4970.45,7652.51,22226.66,14414.96,808.33,2926.69,14203.43,7944.88,5571.45,5213.64,5893.7,978.33,3683.1,7457.41,269946.86,54.07,592.53,119.88,26.21,914,50539,2782.74,1217.38,54.77,370.32,1820.52,5723.9,10903.07,8108.79,20955.68,20524.43,3432.04,7261.5,11297.47,1036.65,6146.61,177.01,180050.62,31580.23,17761.32,16530.72,18526000.0,19695.03,15686.43,2086.95,1278.13,576.05,71661.33,50963.18,12317.87
2017,35.24,19150.61,1480.35,6654.17,6071.82,1472.04,1314.31,4401.49,23448.25,3191.39,691.05,12542.01,13276.19,18318.02,43142.55,9212.92,3329.17,2767.14,1821.84,4946.26,5891.71,3795.15,1501.05,250.74,8458.08,592.09,1311.49,355.44,383.61,4877.05,92789.58,233084.06,83765.8,71361.93,87074.09,104642.05,369.33,1460.7,4604.81,6743.96,19898.78,12862.24,729.67,2608.92,13779.55,5503.33,5270.83,5262.99,5498.31,896.95,3328.96,6900.67,267405.13,60.85,812.66,150.84,34.44,330,51847,2901.81,1194.54,55.02,343.61,2267.66,7105.24,11822.93,8314.48,17861.53,18643.05,3144.03,7500.88,9892.33,937.86,7239.37,230.19,188982.37,30678.37,17243.52,17437.32,15645800.0,15932.62,11421.7,2308.27,1614.87,626.14,66044.47,47545.95,11978.65
2016,34.11,19968.5242,1368.65,6620.1,6907.54,1443.3,1394.86,4506.44,23825.76,3732.6,906.75,12319.22,12932.0293,17917.6644,44911.4756,9133.03,3201.68,2584.98,1781.14,5708.27,6629.62,4105.47,1859.11,320.97,8307.81,559.97,1338.01,340.83,374.6,4886.36,94974.05,241030.98,80408.45,70227.33,80760.94,104813.45,348.56,1549.43,4774.57,6516.81,19051.35,13390.85,748.84,2530.36,12923.48,5459.56,4941.47,5322.61,5345.11,843.63,3264.53,6090.6,226001.13,67.28,794.85,186.73,61.84,1303,24590,2811.91,1211.12,60.85,301.24,2390.69,6615.22,13119.78,8481.57,14342.37,17631.87,3180.31,7620.85,8765.79,1457.69,10524.8,178.48,184845.66,29008.51,16498.14,19727.8,13179500.0,15769.64,9037.85,2306.77,1527.27,684.41,61331.6,44370.6848,11840.48
2015,37.47,21455.58157,1346.097221,6665.54,6734.3,1474.11,1309.93,4715.6,25890.7,3538.0,892.58,11742.77,12103.56,18007.89,44822.542233,8975.7,3020.66,2591.8,1714.6,5791.4,7431.99,4970.57,1857.2,374.0,7807.66,534.17,1311.08,334.81,350.35,4831.71,92831.39,235918.83,78651.63,69141.3,80382.5,103468.41,331.27,1322.21,5212.95,6567.3,18815.57,13559.43,709.59,2341.52,11359.74,4989.25,4200.27,4798.24,5155.82,796.2,3141.0,5897.9,203179.4,75.5,730.0,217.3,68.82,2572,27264,2450.35,1162.97,80.42,272.92,2502.8,6882.24,12431.38,7992.75,14200.35,17173.56,3046.39,7274.5,8703.6,1880.3,11664.7,168.04,181261.4,31418.7,17436.03,17365.4,10872000.0,14475.73,9665.9,2845.4,1922.7,734.2,58145.73,42841.878322,11302.7
2014,38.74,21142.9,1301.57,7049.71,6534.1,1642.67,1256.32,4936.29,26098.49,3379.2,893.68,11785.8,11029.85,17635.34,47980.86,8901.55,3063.51,2525.84,1696.69,5699.5,6876.85,4564.24,1743.01,374.4,7088.84,549.55,1209.73,303.4,328.77,4389.75,111913.11,249207.08,83128.16,71374.78,82230.63,112513.12,405.4,1349.4,5617.43,7941.8,21553.51,15313.91,727.0,2638.5,12300.8,5296.8,4259.6,5074.9,4828.81,764.37,2885.79,5239.91,214105.4,85.8,786.2,241.1,64.37,3438,34416,2372.52,1248.31,158.7,312.9,2691.7,7910.14,15053.02,8796.09,14463.27,16551.17,3082.25,7114.4,8799.8,2148.15,12286.8,175.18,168202.75,35079.63,22728.73,16396.1,10155300.0,14128.9,11589.91,3123.0,2467.5,712.9,57944.57,44001.107947,10728.82
2013,39.74,20991.9,1208.58,7367.6,5590.55,1592.76,1163.62,4982.79,25603.86,3200.0,897.59,11323.06,9834.04,17275.71,48179.38,8154.49,2927.44,2431.63,1599.31,5739.0,7026.18,4832.61,1673.08,303.14,6293.03,480.64,1094.27,263.3,272.05,4160.28,110440.12,241923.89,79285.8,71149.88,81313.89,108200.54,428.2,1282.61,5723.8,7789.95,20774.38,15001.38,619.24,2499.95,12192.53,5444.56,3977.09,4514.46,4412.13,664.45,2543.81,4774.96,193670.93,87.55,778.6,207.17,66.56,3631,51921,2212.09,1210.43,162.09,321.5,2527.1,7545.25,14197.66,9255.74,13069.3,15875.5,2783.55,7300.53,8981.07,2698.53,12519.67,172.08,152343.9,35348.41,24041.53,13631.16,9034600.0,12745.21,12527.94,4690.89,3620.14,698.2,54316.35,42470.1,9202.92
2012,39.45,20747.8,1106.08,6911.78,5172.97,1409.47,1043.01,4778.58,25160.9,2984.0,848.94,10956.54,8976.07,17063.81,43831.4452174371,7876.63,2696.82,2395.93,1486.8,5528.4,6832.1,4865.58,1564.41,290.88,5330.92,397.39,933.8,292.19,313.04,3837.37,89370.49,220984.08,75050.5,66354.4,72388.22,95577.83,321.5,1134.07,4718.32,7451.16,17810.18,13659.94,537.08,2341.56,10870.03,5036.01,3644.31,3776.14,3990.33,575.73,2314.14,4071.59,136111.48,88.23,688.3,205.46,52.73,7562,59227,1927.62,1077.0,271.75,302.04,2603.02,7612.85,13005.52,8427.0,12398.72,16593.59,2235.37,6791.12,8145.09,2829.08,12773.84,263.57,118154.57,31806.71,25289.37,12713.27,7796100.0,12823.52,13145.56,8801.71,7007.07,609.69,49875.53,38928.1,8721.07
2011,37.64,20287.55,1053.37,6742.16,4331.8,1187.43,1093.41,4834.5,24474.0,2717.86,814.14,11010.89,8158.06,16676.31,43432.9977114693,7482.7,2473.52,2294.03,1527.5,5252.7,6419.39,4500.97,1561.22,230.0,4992.31,367.13,888.14,248.85,259.48,3390.07,83566.22,209925.86,79107.55,64050.88,68528.31,88619.57,291.5,1085.25,4471.91,6987.37,15573.99,12461.56,618.04,2608.15,10505.1,4256.94,3269.51,3176.78,3628.94,524.02,1961.39,3417.2,137099.43,88.68,444.1,175.76,40.19,6853,66928,1841.64,1012.67,227.19,324.74,2735.5,7169.11,14410.52,8699.2,13912.5,18845.89,2032.06,6715.94,8400.46,3034.04,14017.91,268.13,113257.71,32036.93,23897.41,12680.54,7195200.0,12231.34,15491.81,8241.34,8051.25,655.05,47130.19,38337.02,6989.45
2010,34.28,20301.4,957.91,7037.76,3878.54,1117.59,980.52,4490.16,23752.6,2572.82109098849,800.0,9832.63,7676.04,15888.15,38657.8261583967,7090.47,2228.39,2034.82,1421.34,4964.59,6337.86,4458.67,1532.91,223.52,4432.59,319.52,752.59,226.14,215.74,3090.0,77611.83,188191.17,66330.8,59733.34,63722.99,80276.58,433.5,946.54,4116.58,6608.86,13876.93,10572.67,582.78,2350.3,10281.96,3750.89,2934.93,2849.22,3120.98,458.65,1577.13,2893.02,138592.03,69.73,419.7,132.22,33.68,7450,48136,1826.53,957.59,246.53,391.57,2734.17,6819.48,12880.21,7295.72,10887.47,18067.92,2028.33,6247.73,7669.36,3137.97,16769.68,181.09,99827.36,24584.46,18584.12,13926.99,6525000.0,11830.03,11613.84,9327.7,9128.5,534.82,42071.6,33319.28,7221.72
