年份,工业企业主营业务收入,轻工业企业主营业务收入,重工业企业主营业务收入,大型工业企业主营业务收入,中型工业企业主营业务收入,小型工业企业主营业务收入,内资工业企业主营业务收入,国有工业企业主营业务收入,集体工业企业主营业务收入,股份合作工业企业主营业务收入,联营工业企业主营业务收入,国有联营工业企业主营业务收入,集体联营工业企业主营业务收入,国有与集体联营工业企业主营业务收入,其他联营工业企业主营业务收入,有限责任公司工业企业主营业务收入,国有独资公司工业企业主营业务收入,其他有限责任公司工业企业主营业务收入,股份有限公司工业企业主营业务收入,私营工业企业主营业务收入,私营独资工业企业主营业务收入,私营合伙工业企业主营业务收入,私营有限责任公司工业企业主营业务收入,私营股份有限公司工业企业主营业务收入,其他工业企业主营业务收入,港、澳、台商投资工业企业主营业务收入,合资经营(港或澳、台资)工业企业主营业务收入,合作经营(港或澳、台资)工业企业主营业务收入,港澳台商独资经营工业企业主营业务收入,港澳台商投资股份有限公司工业企业主营业务收入,其他港澳台商投资工业企业主营业务收入,外商投资工业企业主营业务收入,中外合资经营工业企业主营业务收入,中外合作经营工业企业主营业务收入,外资工业企业主营业务收入,外商投资股份有限公司工业企业主营业务收入,其他外商投资工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1057327.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1133160.76,338732.9,794427.86,452178.45,269166.2,411816.1,885541.07,38464.95,4790.4,902.81,201.6,14.2,59.2,30.24,97.96,347278.41,54249.55,293028.85,111615.35,381034.44,14430.94,2337.19,337802.34,26463.97,1253.12,102299.62,35025.37,2204.2,59773.99,4398.81,897.25,145320.06,66993.29,2241.4,69768.24,4941.96,1375.17
2016,1158998.52,363320.46,795678.06,436444.53,286489.86,436064.14,908605.53,40648.98,5919.95,1321.61,226.82,16.54,72.75,20.17,117.37,344805.22,46872.46,297932.76,103912.04,410188.06,18110.4,2836.11,359305.58,29935.97,1582.84,99172.8,33639.15,2392.26,58383.78,3960.94,796.68,151220.19,70409.04,2454.2,72703.57,4872.65,780.72
2015,1109852.97,343012.77,766840.2,421567.32,272360.51,415925.14,864155.41,45201.64,6726.92,1499.31,271.6,45.22,69.01,32.59,124.78,321610.14,46618.03,274992.12,99630.68,386394.6,20811.9,3273.33,335261.81,27047.56,2820.53,96925.99,31870.24,2268.58,58643.74,3819.64,323.79,148771.56,69030.36,2503.68,71946.68,4685.92,604.92
2014,1107032.52,326378.03,780654.49,436745.72,268281.4,402005.4,854402.45,49586.34,7667.6,1593.85,396.2,153.84,77.47,32.38,132.5,314613.56,48587.77,266025.79,105261.09,372175.7,22471.96,3502.05,320657.47,25544.21,3108.12,94794.89,32680.02,2273.43,56123.36,3601.47,116.6,157835.19,73747.54,3076.03,75355.31,5090.39,565.93
2013,1038659.45,301863.69,736795.77,418215.09,247068.24,373376.13,795695.29,53126.18,7717.2,1660.01,524.37,213.56,118.98,50.67,141.17,285143.14,47394.67,237748.46,101784.95,342002.6,23840.87,3931.64,290754.52,23475.57,3736.85,88811.39,30475.4,2167.78,52280.86,3770.98,116.37,154152.77,70618.65,3151.42,74541.95,5367.61,473.15
2012,929291.51,263864.49783,665427.01113,384664.50884,218356.88243,326270.11769,707342.72709,77520.5678,10970.25626,4073.73851,1130.11849,499.33119,228.00501,170.6124,232.16989,224155.00409,33113.78752,191041.21657,90111.6539,285621.48469,48318.30847,6878.5101,211677.99525,18746.67087,13759.90335,80678.20187,28080.8643,1937.17297,47070.00199,3361.82389,228.33872,141270.58,63255.38781,2990.53832,69531.79137,5080.26193,412.60057
2011,841830.24,233984.30898,607845.92971,358893.1553,195162.67525,287774.40814,625525.9437,69029.96688,11148.25742,3936.21764,1618.47019,681.21973,242.97629,336.82875,357.44542,198771.63369,31911.60871,166860.02498,83554.20368,247277.8909,43559.28749,6754.19933,181021.53991,15942.86417,10189.3033,76367.52649,26851.28708,1962.55464,44161.51452,3275.73664,116.43361,139936.7685,63535.0039,2887.2654,68339.76512,5046.39688,128.3372
2010,697744.0,197073.87081,500670.12569,238016.82095,200996.90102,258730.27453,509014.58538,58956.90162,10335.30928,3755.8019,1201.16463,688.57542,215.75669,155.87364,140.95888,159709.41772,29213.29428,130496.12344,64414.19577,207838.22472,37812.10158,6105.83756,150787.62275,13132.66283,2803.56974,64893.29935,22623.57952,1934.5098,37388.315,2946.89503,,123836.11177,56515.28327,2443.41259,60087.67574,4789.74017,
2009,542522.43,157799.12941,384723.303,180700.71847,155050.41838,206771.29556,392259.37699,47035.38359,9450.54744,3529.08532,1143.50314,703.30527,192.96758,103.06516,144.16513,122604.28172,23674.34709,98929.93463,49752.73623,156603.56623,28982.21043,4752.63758,112883.30754,9985.41068,2140.27332,51130.17513,18057.66886,1662.69399,29201.3538,2208.45848,,99132.88029,45333.73164,2041.14285,48248.9817,3509.0241,
