年份,工业企业单位数,轻工业企业单位数,重工业企业单位数,大型工业企业单位数,中型工业企业单位数,小型工业企业单位数,内资工业企业单位数,国有工业企业单位数,集体工业企业单位数,股份合作工业企业单位数,联营工业企业单位数,国有联营工业企业单位数,集体联营工业企业单位数,国有与集体联营工业企业单位数,其他联营工业企业单位数,有限责任公司工业企业单位数,国有独资公司工业企业单位数,其他有限责任公司工业企业单位数,股份有限公司工业企业单位数,私营工业企业单位数,私营独资工业企业单位数,私营合伙工业企业单位数,私营有限责任公司工业企业单位数,私营股份有限公司工业企业单位数,其他工业企业单位数,港、澳、台商投资工业企业单位数,合资经营(港或澳、台资)工业企业单位数,合作经营(港或澳、台资)工业企业单位数,港澳台商独资经营工业企业单位数,港澳台商投资股份有限公司工业企业单位数,其他港澳台商投资工业企业单位数,外商投资工业企业单位数,中外合资经营工业企业单位数,中外合作经营工业企业单位数,外资工业企业单位数,外商投资股份有限公司工业企业单位数,其他外商投资工业企业单位数
2019,377815,,,8210,39974,329631,334227,1522,1113,732,57,6,28,11,12,75513,4161,71352,11557,243640,8630,1388,223656,9966,93,20044,5450,315,13699,424,156,23544,7522,379,14936,380,327
2018,374964,,,9103,49778,319559,330704,1836,1675,772,96,9,40,18,29,92935,3480,89455,11980,235424,10887,1817,198651,9273,782,22829,6700,534,14840,490,265,24907,8366,491,15190,476,384
2017,372729,153498.0,219231.0,9240,49614,313875,325271,1946,1669,776,93,8,41,16,28,92812,3617,89195,12086,215138,10676,1808,193649,9005,751,22724,6674,537,14758,489,266,24734,8315,488,15088,458,385
2016,378599,156920.0,221679.0,9631,52681,316287,329045,2459,2092,946,110,10,49,22,29,96240,3434,92806,12007,214309,12337,2102,190690,9180,882,23429,7037,580,15175,478,159,26125,9037,540,15858,454,236
2015,383148,156604.0,226544.0,9633,54070,319445,330390,3234,2637,1136,147,18,57,29,43,94299,3179,91120,11061,216506,14671,2501,190410,8924,1370,24488,7436,625,15854,487,86,28270,9958,630,17024,465,193
2014,377888,152838.0,225050.0,9893,55408,312587,322716,3450,3133,1222,169,18,71,32,48,88964,3003,85961,10475,213789,16262,2885,185721,8921,1514,25444,7991,687,16243,482,41,29728,10729,708,17711,464,116
2013,369813,149519.0,220294.0,9806,55708,304299,312445,3957,3777,1422,232,28,88,45,71,82310,2846,79464,10308,208409,18644,3408,177467,8890,2030,26455,8384,784,16758,494,35,30913,11248,789,18308,496,72
2012,343769,139177.0,204592.0,9448,53866,280455,286861,6770,4814,2397,481,103,131,101,146,66955,1444,65511,9012,189289,34678,5576,141884,7151,7143,25935,8467,820,16113,472,63,30973,11498,861,17986,505,123
2011,325609,132841.0,192768.0,9111,52236,264262,268393,6707,5365,2415,506,95,140,119,152,58626,1341,57285,8563,180612,36433,5928,131120,7131,5599,25952,8547,884,16037,448,36,31264,11673,926,18052,529,84
2010,452872,188040.0,264832.0,3742,42906,406224,378827,8726,9166,4481,704,130,222,175,177,70078,1479,68599,9562,273259,59926,10432,192614,10287,2851,34069,10583,1223,21671,592,,39976,15036,1237,23027,676,
2009,434364,181580.0,252784.0,3254,38036,393074,358988,9105,10285,5011,735,131,239,169,196,65926,1454,64472,9275,256031,56817,10229,179254,9731,2620,34365,10875,1284,21623,583,,41011,15472,1322,23552,665,
2008,426113,178536.0,247577.0,3188,37204,385721,348266,9682,11737,5612,833,152,277,206,198,62835,1398,61437,9422,245850,55784,10223,171150,8693,2295,35578,11297,1404,22288,589,,42269,16130,1448,24028,663,
2007,336768,146612.0,190156.0,2910,33596,300262,269312,10074,13032,5880,999,169,299,262,269,53326,1329,51997,7782,177080,39549,8044,122360,7127,1139,31949,10927,1673,19008,341,,35507,14485,1537,18968,517,
2006,301961,133642.0,168319.0,2685,30245,269031,241089,14555,14203,6313,1075,175,320,294,286,47081,1343,45738,7210,149736,33976,7316,102199,6245,916,29181,10212,1637,17038,294,,31691,13256,1499,16552,384,
2005,271835,121447.0,150388.0,2503,27271,242061,215448,16824,15935,7481,1176,209,329,343,295,41972,1314,40658,7192,123820,28130,6406,84080,5204,1048,27559,9905,1688,15662,304,,28828,12627,1648,14198,355,
2004,276474,123586.0,152888.0,2135,25557,248782,219309,23417,18095,8215,1439,278,395,427,339,41234,1449,39785,7171,119357,26525,6049,82078,4705,381,28399,10694,1863,15541,301,,28766,12930,1711,13758,367,
2003,196000,92712.0,103510.0,1984,21647,172591,157641,23228,22478,9283,1689,296,486,549,358,26606,1330,25276,6313,67607,21504,4536,38589,2978,437,21152,9096,2012,9804,240,,17429,8803,1107,7306,213,
2002,182000,92525.0,89032.0,8752,14571,158234,147091,29449,27477,10193,1964,330,546,733,355,22486,1349,21137,5998,49176,17166,3574,26195,2241,348,19546,8828,2153,8349,216,,14920,8047,983,5717,173,
2001,171000,86705.0,84551.0,8589,14398,148269,139833,34530,31018,10864,2234,384,639,829,382,18956,1372,17584,5692,36218,13986,2803,17695,1734,321,18257,8604,2188,7258,207,,13166,7474,933,4614,145,
2000,162885,81902.0,80983.0,7983,13741,141161,134440,42426,37841,10852,2510,419,736,954,401,13215,1226,11989,5086,22128,10673,2172,8240,1043,382,16490,8303,2025,5996,166,,11955,7108,1005,3730,112,
